epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68404,1.78718,4.34932,1.36262,0.008,0.92308,0.1557,0.07285,1.36481,3.35216,1.08959,0.0811,0.0021,0.0021
2,10.1169,1.34048,4.3427,1.19395,0.008,0.92308,0.18808,0.1149,1.4637,3.48378,1.10301,0.0612149,0.00421486,0.00421486
3,16.0048,1.35154,3.94513,1.1565,0.008,0.92308,0.2927,0.11906,1.29617,3.30855,1.02985,0.0412426,0.0062426,0.0062426
4,21.9474,1.26979,3.58904,1.06681,0.008,0.92308,0.34304,0.1983,0.97261,3.18619,0.88253,0.0211832,0.00818322,0.00818322
5,26.877,1.37585,4.55581,1.09717,0.008,0.92308,0.34304,0.1983,0.97261,3.18619,0.88253,0.009208,0.009208,0.009208
6,33.9957,1.24472,3.84451,1.0277,0.58981,0.38462,0.42173,0.17924,1.34997,2.7898,0.91249,0.00901,0.00901,0.00901
7,41.7377,1.40721,3.01926,1.17428,0.61154,0.53846,0.48832,0.22065,1.11816,2.33447,0.79196,0.008812,0.008812,0.008812
8,49.356,1.24341,4.09601,1.06432,0.84816,0.53846,0.5585,0.25293,0.99555,2.28961,0.80303,0.008614,0.008614,0.008614
9,55.4776,1.23234,3.09388,1.03318,0.80424,0.69231,0.77041,0.34822,0.99555,2.28961,0.80303,0.008416,0.008416,0.008416
10,63.2626,0.99257,3.57482,0.86973,0.87042,0.38462,0.45519,0.27322,0.91089,1.66513,0.78101,0.008218,0.008218,0.008218
11,70.5604,1.15414,2.83281,1.10593,0.92902,0.38462,0.51442,0.31448,0.91561,1.7052,0.79209,0.00802,0.00802,0.00802
12,76.7584,1.35261,2.47746,1.13272,0.95367,0.61538,0.76088,0.48631,0.91561,1.7052,0.79209,0.007822,0.007822,0.007822
13,86.3645,1.24374,1.9531,1.07092,0.85012,0.46154,0.51256,0.32728,0.9425,1.61344,0.80468,0.007624,0.007624,0.007624
