epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.29431,1.78718,4.34932,1.36262,0.008,0.92308,0.1557,0.07285,1.36481,3.35216,1.08959,0.0811,0.0021,0.0021
2,14.8713,1.34217,4.34007,1.19395,0.008,0.92308,0.19064,0.11331,1.46843,3.49544,1.11038,0.0611581,0.0041581,0.0041581
3,22.831,1.36804,3.9597,1.16398,0.008,0.92308,0.21924,0.10349,1.33346,3.32943,1.03791,0.041071,0.006071,0.006071
4,32.1686,1.31814,3.80771,1.11198,0.00667,0.61538,0.09642,0.05439,1.28088,3.23414,0.93453,0.0208387,0.0078387,0.0078387
5,38.9373,1.28098,4.82596,1.04326,0.00733,0.84615,0.26292,0.17113,1.28088,3.23414,0.93453,0.00868,0.00868,0.00868
6,49.6904,1.26227,4.09062,1.04569,0.52887,0.38462,0.53219,0.21064,1.37537,2.94454,0.91059,0.00835,0.00835,0.00835
7,58.3767,1.39835,3.27046,1.17889,0.53975,0.61538,0.6113,0.23124,1.41593,2.31326,0.88305,0.00802,0.00802,0.00802
8,68.7143,1.26833,3.96206,1.07299,0.83739,0.46154,0.49471,0.26656,1.29528,2.07906,0.84752,0.00769,0.00769,0.00769
9,76.7581,1.31298,2.82864,1.04869,0.846,0.61538,0.68347,0.31463,1.29528,2.07906,0.84752,0.00736,0.00736,0.00736
10,86.6198,1.09935,3.55096,0.89113,0.8738,0.53329,0.59046,0.38039,1.20913,1.62443,0.86039,0.00703,0.00703,0.00703
11,95.9692,1.14077,2.75657,1.03896,1,0.59131,0.70962,0.41314,1.07902,1.85046,0.81485,0.0067,0.0067,0.0067
12,101.444,1.42927,2.37841,1.15354,1,0.59131,0.70962,0.41314,1.07902,1.85046,0.81485,0.00637,0.00637,0.00637
13,111.993,1.20356,1.9753,1.02154,1,0.38245,0.54491,0.32407,1.06689,1.49394,0.81429,0.00604,0.00604,0.00604
14,121.534,1.11398,2.24569,1.03356,0.88119,0.76923,0.92425,0.53204,1.00119,1.6964,0.80675,0.00571,0.00571,0.00571
15,128.807,1.02088,2.23944,0.99505,0.88119,0.76923,0.92425,0.53204,1.00119,1.6964,0.80675,0.00538,0.00538,0.00538
16,138.146,1.09161,2.31693,1.02752,1,0.67529,0.731,0.38012,1.01809,1.25111,0.81793,0.00505,0.00505,0.00505
17,149.373,1.30613,2.59246,1.08924,0.98857,0.92308,0.96636,0.58453,0.838,1.28234,0.80656,0.00472,0.00472,0.00472
18,156.934,1.13995,1.9534,1.07537,0.98857,0.92308,0.96636,0.58453,0.838,1.28234,0.80656,0.00439,0.00439,0.00439
19,165.789,1.06348,2.44003,1.05881,0.98798,0.92308,0.96,0.57976,0.80145,1.22561,0.82045,0.00406,0.00406,0.00406
20,175.668,1.24522,2.0144,1.1699,1,0.68233,0.71858,0.44961,0.79956,1.34703,0.82185,0.00373,0.00373,0.00373
21,185.712,0.89877,2.14167,0.95245,1,0.90863,0.94568,0.57375,0.79956,1.34703,0.82185,0.0034,0.0034,0.0034
22,195.713,0.91989,2.178,0.93778,1,0.61394,0.70987,0.46697,1.00508,1.43412,0.9113,0.00307,0.00307,0.00307
23,203.946,0.92831,2.30483,0.88057,1,0.68845,0.71787,0.47232,0.99753,1.34226,0.91571,0.00274,0.00274,0.00274
24,213.828,1.01014,1.6965,1.01056,1,0.9184,0.94833,0.63235,0.86651,1.28416,0.8124,0.00241,0.00241,0.00241
25,218.835,0.87035,1.91674,0.95579,1,0.9184,0.94833,0.63235,0.86651,1.28416,0.8124,0.00208,0.00208,0.00208
26,226.633,0.86277,1.78253,0.94182,0.99398,0.92308,0.95176,0.65018,0.82801,1.2023,0.79399,0.00175,0.00175,0.00175
27,234.416,0.90619,1.79445,0.98908,1,0.9144,0.95638,0.64221,0.81719,1.2018,0.79123,0.00142,0.00142,0.00142
28,239.345,0.87318,2.03595,0.94539,1,0.9144,0.95638,0.64221,0.81719,1.2018,0.79123,0.00109,0.00109,0.00109
29,246.651,0.85798,2.00286,0.9586,1,0.69193,0.72781,0.49913,0.82559,1.22175,0.79796,0.00076,0.00076,0.00076
30,254.788,0.86985,1.65803,0.95681,1,0.68482,0.731,0.48364,0.83318,1.22891,0.8025,0.00043,0.00043,0.00043
