epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46505,1.47377,3.76028,1.21913,0.008,0.92308,0.1875,0.09048,1.26312,3.36536,1.05481,0.091,0.001,0.001
2,10.3832,1.26091,3.88244,1.18407,0.008,0.92308,0.19721,0.09609,1.23666,3.3485,1.01854,0.0810584,0.00205842,0.00205842
3,16.2788,1.12545,3.49306,1.14019,0.00867,1,0.20745,0.0988,1.25468,3.27584,1.00538,0.0710733,0.00307328,0.00307328
4,22.2263,1.20425,3.32955,1.07117,0.00867,1,0.21259,0.14563,1.26573,3.22169,0.97156,0.0610446,0.00404458,0.00404458
5,28.1554,1.14302,2.97737,1.0455,0.00867,1,0.29331,0.20973,1.20354,3.01809,0.93777,0.0509723,0.00497232,0.00497232
6,36.3557,1.35286,2.87817,1.16517,0.00867,1,0.75878,0.43774,1.21616,2.77435,0.94753,0.0408565,0.0058565,0.0058565
7,42.7688,1.07274,2.32786,1.07062,1,0.73552,0.88515,0.52974,1.14388,2.33308,0.90049,0.0306971,0.00669712,0.00669712
8,49.7865,1.13975,1.91697,1.01877,0.87428,0.53534,0.53713,0.24434,1.31137,1.75997,0.97326,0.0204942,0.00749418,0.00749418
9,55.9985,1.16896,5.33906,0.97873,0.86407,0.84615,0.90135,0.53105,1.31137,1.75997,0.97326,0.0102477,0.00824768,0.00824768
10,62.852,1.17428,2.27251,1.02304,0.91517,0.30769,0.43788,0.24037,1.22158,2.10846,1.01791,0.008218,0.008218,0.008218
11,72.4757,1.33384,2.32831,1.11105,0.6059,0.35719,0.36527,0.25451,1.27733,1.90444,1.12836,0.00802,0.00802,0.00802
12,79.491,1.11347,1.97657,1.01984,0.75704,0.61538,0.69533,0.40473,1.27733,1.90444,1.12836,0.007822,0.007822,0.007822
13,90.0342,1.1464,1.71775,1.02355,0.77956,0.27625,0.36583,0.15813,1.50791,2.06014,1.14897,0.007624,0.007624,0.007624
14,102.306,1.23231,1.93119,1.20183,0.77357,0.5268,0.53569,0.36134,1.17443,1.46795,0.97883,0.007426,0.007426,0.007426
15,109.115,1.17401,1.78163,1.08766,0.88477,0.69231,0.8817,0.60139,1.17443,1.46795,0.97883,0.007228,0.007228,0.007228
16,120.385,1.24197,1.42565,1.05926,1,0.75464,0.87076,0.54304,1.32401,1.53471,1.09291,0.00703,0.00703,0.00703
17,128.176,1.15715,1.72976,1.03921,0.76353,0.30769,0.29565,0.20384,1.11672,1.46493,0.95004,0.006832,0.006832,0.006832
18,137.55,1.26066,1.78793,1.11116,0.9668,0.30769,0.30965,0.15519,1.18827,1.48909,1.01535,0.006634,0.006634,0.006634
19,147.906,1.22246,1.68515,1.11292,0.94839,0.53846,0.55239,0.33841,1.18827,1.48909,1.01535,0.006436,0.006436,0.006436
20,155.013,1.10457,1.97085,1.04522,0.87067,0.5198,0.59282,0.36623,1.15269,1.38102,0.96902,0.006238,0.006238,0.006238
21,171.525,1.07736,1.74195,1.07326,0.93152,0.46154,0.56228,0.40242,1.08899,1.43145,0.9567,0.00604,0.00604,0.00604
22,193.005,1.11821,1.62492,1.08919,0.95642,0.76923,0.864,0.59742,1.08899,1.43145,0.9567,0.005842,0.005842,0.005842
23,211.292,0.99884,1.64178,1.00129,0.89328,0.76923,0.86669,0.61028,1.10092,1.35842,0.95241,0.005644,0.005644,0.005644
24,230.08,1.06513,1.70161,1.00275,0.95642,0.53846,0.57312,0.42806,1.10699,1.31235,0.97882,0.005446,0.005446,0.005446
25,249.936,1.07747,1.55342,1.10371,0.97559,0.92308,0.9614,0.68471,1.10699,1.31235,0.97882,0.005248,0.005248,0.005248
26,271.58,1.06059,1.35273,1.03394,0.83633,0.61538,0.62477,0.46117,1.04991,1.26772,0.98563,0.00505,0.00505,0.00505
27,283.408,1.13514,1.7331,1.18859,0.97706,0.61538,0.63833,0.46812,1.05817,1.17701,0.97392,0.004852,0.004852,0.004852
28,304.051,0.97365,1.46436,0.98862,0.98863,0.92308,0.94436,0.69154,1.05817,1.17701,0.97392,0.004654,0.004654,0.004654
29,332.645,1.02969,1.37465,1.0696,0.97748,0.92308,0.95176,0.71097,0.98622,1.14162,0.97038,0.004456,0.004456,0.004456
30,356.619,1.019,1.38885,1.01235,0.99004,0.84615,0.89336,0.67991,0.98263,1.15573,0.94421,0.004258,0.004258,0.004258
31,380.833,0.98672,1.23236,1.04344,0.99138,0.92308,0.96636,0.74931,0.98263,1.15573,0.94421,0.00406,0.00406,0.00406
32,399.698,1.01098,1.37143,1.05078,0.9917,0.53846,0.56127,0.39903,1.02906,1.10901,0.9547,0.003862,0.003862,0.003862
33,430.96,1.01367,1.27809,1.04787,0.99222,0.53846,0.56127,0.38754,1.05969,1.10099,0.96005,0.003664,0.003664,0.003664
34,452.742,1.03585,1.67662,1.03511,0.98947,0.53846,0.5589,0.39803,1.01528,1.06468,0.94589,0.003466,0.003466,0.003466
35,480.018,1.03628,1.33665,1.01116,0.99531,0.92308,0.94616,0.67886,1.01528,1.06468,0.94589,0.003268,0.003268,0.003268
