epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1686.84,1.48363,3.06423,1.26029,0.00875,0.30769,0.08039,0.02164,2.17094,3.43373,1.77112,0.0811,0.0021,0.0021
2,1699.29,1.97699,3.54396,1.80707,0.0022,0.07692,0.00186,0.00107,2.43543,3.87179,2.42408,0.0611581,0.0041581,0.0041581
3,1708.36,2.37833,3.33473,2.11881,0.75681,0.07692,0.07826,0.03313,3.51806,10.9207,8.44398,0.041071,0.006071,0.006071
4,1721.12,2.37389,2.88817,2.08958,0.05442,0.07692,0.01169,0.0031,3.14697,56.7332,7.1467,0.0208387,0.0078387,0.0078387
5,1737.86,2.47465,3.53483,2.26883,0.05593,0.07692,0.01186,0.00276,3.14697,56.7332,7.1467,0.00868,0.00868,0.00868
6,1764.15,2.55669,3.60858,2.08234,0.00236,0.07692,0.00101,0.0006,3.42301,1543.24,9.9927,0.00835,0.00835,0.00835
7,1820.72,2.63163,3.56642,2.48591,0.00423,0.07692,0.0011,0.00076,2.33188,396.025,4.94215,0.00802,0.00802,0.00802
8,1896.24,2.50403,3.49817,2.31218,0.00333,0.15385,0.00227,0.00148,2.40044,4497.47,4.71318,0.00769,0.00769,0.00769
9,1968.19,2.39618,3.01471,2.13709,0.00444,0.30769,0.0034,0.00123,2.40044,4497.47,4.71318,0.00736,0.00736,0.00736
10,2287.92,1.94042,2.73627,1.76851,0.00755,0.23077,0.00408,0.00188,4.15073,507.419,5.6084,0.00703,0.00703,0.00703
11,2741.25,2.04501,2.437,1.87081,0,0,0,0,2.57178,2271.85,3.90844,0.0067,0.0067,0.0067
12,2754.07,2.46395,2.68495,2.08409,0.00222,0.15385,0.00136,0.00061,2.57178,2271.85,3.90844,0.00637,0.00637,0.00637
13,3467.45,2.17437,2.51084,1.97813,0.01164,0.30769,0.00617,0.0031,2.86309,883.969,13.2963,0.00604,0.00604,0.00604
14,3576.44,2.21265,2.50983,2.0584,0,0,0,0,2.85721,2799.4,23.1552,0.00571,0.00571,0.00571
15,3871.52,2.10358,2.4474,1.95007,0,0,0,0,2.85721,2799.4,23.1552,0.00538,0.00538,0.00538
16,4271.36,1.98681,2.35516,1.80699,0.01376,0.30769,0.01075,0.00642,2.01706,374.726,2.44373,0.00505,0.00505,0.00505
17,4617.25,1.99337,2.31,1.75181,0.04392,0.38462,0.09246,0.0486,1.94367,36.1012,1.93556,0.00472,0.00472,0.00472
18,4655.43,1.96872,2.16235,1.91024,0.03623,0.84615,0.05229,0.02381,1.94367,36.1012,1.93556,0.00439,0.00439,0.00439
19,4702.19,1.83183,2.25584,1.78656,0.0157,0.38462,0.00869,0.00544,2.13318,189.218,4.21072,0.00406,0.00406,0.00406
20,4812.83,2.21098,2.41115,2.09578,0.0159,0.38462,0.01094,0.00477,2.33709,81.028,11.3164,0.00373,0.00373,0.00373
21,5025.83,1.4984,1.9753,1.6107,0.02286,0.61538,0.02073,0.00866,2.33709,81.028,11.3164,0.0034,0.0034,0.0034
22,5136.88,1.50464,1.89442,1.58037,0.04952,0.07692,0.0152,0.0076,2.35973,42.2023,2.54783,0.00307,0.00307,0.00307
23,5253.01,1.42363,1.85022,1.56469,0.88333,0.07692,0.10913,0.04166,1.56089,4.75669,1.71799,0.00274,0.00274,0.00274
24,5366.3,1.64008,1.82877,1.70358,0.21702,0.15385,0.0901,0.05101,1.7267,2.61902,1.97257,0.00241,0.00241,0.00241
25,5413.94,1.47648,1.73476,1.64783,0.20251,0.15385,0.09868,0.05173,1.7267,2.61902,1.97257,0.00208,0.00208,0.00208
26,5543.73,1.51521,1.59544,1.62005,0.16001,0.23077,0.11497,0.05648,1.7258,2.11014,2.05857,0.00175,0.00175,0.00175
27,6101.77,1.63731,1.7151,1.63127,0.20255,0.23077,0.10874,0.06633,1.68412,1.88498,1.96491,0.00142,0.00142,0.00142
28,6185.72,1.38367,1.62745,1.51764,0.26304,0.30769,0.16407,0.09539,1.68412,1.88498,1.96491,0.00109,0.00109,0.00109
29,6684.6,1.59165,1.633,1.60539,0.21557,0.23077,0.12234,0.07505,1.67625,1.80558,1.93301,0.00076,0.00076,0.00076
30,6933.06,1.5792,1.67604,1.63813,0.24743,0.30769,0.17931,0.10351,1.66641,1.73968,1.90627,0.00043,0.00043,0.00043
