epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42018,1.78719,4.34931,1.36262,0.008,0.92308,0.15571,0.07285,1.36478,3.35217,1.08958,0.0811,0.0021,0.0021
2,13.8988,1.34045,4.34292,1.19395,0.008,0.92308,0.18807,0.11489,1.4634,3.48378,1.10301,0.0612149,0.00421486,0.00421486
3,21.3994,1.35168,3.94495,1.15661,0.008,0.92308,0.29271,0.12834,1.29581,3.31086,1.0294,0.0412426,0.0062426,0.0062426
4,30.5208,1.26997,3.58742,1.06732,0.008,0.92308,0.36017,0.20743,0.99963,3.20983,0.88982,0.0211832,0.00818322,0.00818322
5,36.6863,1.37221,4.55021,1.09677,0.008,0.92308,0.36017,0.20743,0.99963,3.20983,0.88982,0.009208,0.009208,0.009208
6,47.9906,1.23071,3.84029,1.01388,0.85835,0.46675,0.70729,0.31574,1.29964,2.72164,0.87262,0.00901,0.00901,0.00901
7,60.7662,1.41973,2.84504,1.18494,0.48682,0.38462,0.36523,0.15017,1.14033,2.31911,0.81015,0.008812,0.008812,0.008812
8,72.5482,1.23976,4.0593,1.04567,0.80857,0.46154,0.59439,0.27606,1.03044,2.00776,0.79905,0.008614,0.008614,0.008614
9,88.2191,1.33961,3.01033,1.06157,0.80857,0.46154,0.59439,0.27606,1.03044,2.00776,0.79905,0.008416,0.008416,0.008416
10,99.0115,1.03362,3.80146,0.87319,0.88125,0.5731,0.6983,0.41584,0.97176,1.66322,0.80698,0.008218,0.008218,0.008218
11,110.127,1.20233,2.7797,1.10125,0.77841,0.61538,0.5795,0.34924,1.04297,1.58758,0.82317,0.00802,0.00802,0.00802
12,120.006,1.4231,2.55028,1.15853,0.78818,0.84615,0.8741,0.52577,1.04297,1.58758,0.82317,0.007822,0.007822,0.007822
13,130.362,1.27491,1.94716,1.09599,1,0.92131,0.92899,0.55157,1.19892,1.40413,0.92517,0.007624,0.007624,0.007624
14,143.709,1.2174,2.40737,1.12815,0.85498,0.90795,0.92965,0.60404,1.03309,1.81097,0.848,0.007426,0.007426,0.007426
15,157.501,1.02357,2.41057,0.9947,0.85498,0.90795,0.92965,0.60404,1.03309,1.81097,0.848,0.007228,0.007228,0.007228
16,168.176,1.16052,2.61212,1.05552,0.98092,0.84615,0.97238,0.67902,0.91587,1.35499,0.80097,0.00703,0.00703,0.00703
17,182.982,1.30873,2.80353,1.09926,0.99995,0.84615,0.94763,0.70309,0.86387,1.27802,0.78157,0.006832,0.006832,0.006832
18,194.187,1.16971,2.04639,1.09541,0.99995,0.84615,0.94763,0.70309,0.86387,1.27802,0.78157,0.006634,0.006634,0.006634
19,202.191,1.1005,2.40224,1.10159,0.98702,0.84615,0.96688,0.65294,0.95987,1.46581,0.8358,0.006436,0.006436,0.006436
20,212.596,1.25294,2.23594,1.19609,0.99895,0.84615,0.93625,0.63503,1.02008,1.42919,0.872,0.006238,0.006238,0.006238
21,227.87,1.15158,1.98843,1.15936,0.99895,0.84615,0.93625,0.63503,1.02008,1.42919,0.872,0.00604,0.00604,0.00604
22,242.692,0.91427,2.95991,0.93246,1,0.76182,0.90597,0.62686,1.03673,1.30192,0.87391,0.005842,0.005842,0.005842
23,271.381,0.96917,2.15396,1.0555,0.90594,0.76923,0.88597,0.58193,1.00721,1.29871,0.87845,0.005644,0.005644,0.005644
24,302.824,1.17035,2.15306,1.13317,0.90198,0.76923,0.89502,0.63897,1.01113,1.26535,0.87519,0.005446,0.005446,0.005446
25,319.044,1.06531,1.65503,1.16588,0.90198,0.76923,0.89502,0.63897,1.01113,1.26535,0.87519,0.005248,0.005248,0.005248
26,332.62,1.03526,1.52506,1.05673,0.91359,0.84615,0.89424,0.65028,0.93174,1.29378,0.85863,0.00505,0.00505,0.00505
27,358.166,0.99431,1.72233,1.07271,0.89475,0.84615,0.9116,0.61351,1.02929,1.27148,0.87323,0.004852,0.004852,0.004852
28,372.062,0.84252,1.99826,0.9197,0.89475,0.84615,0.9116,0.61351,1.02929,1.27148,0.87323,0.004654,0.004654,0.004654
29,389.356,1.16945,1.68698,1.18121,0.85398,0.90093,0.88213,0.58098,1.11391,1.46718,0.90537,0.004456,0.004456,0.004456
30,408.309,0.97627,1.84312,1.04525,0.90136,0.76923,0.87998,0.60808,1.07628,1.30977,0.8821,0.004258,0.004258,0.004258
31,421.631,0.90436,1.68845,0.99628,0.90136,0.76923,0.87998,0.60808,1.07628,1.30977,0.8821,0.00406,0.00406,0.00406
32,448.031,1.05557,1.37473,1.09347,0.9163,0.84239,0.91718,0.64672,0.99693,1.12826,0.85077,0.003862,0.003862,0.003862
33,476.688,0.99797,1.32672,1.11319,0.90885,0.92308,0.9212,0.65872,1.06763,1.07928,0.86493,0.003664,0.003664,0.003664
34,490.957,0.99034,2.42371,1.04094,0.90885,0.92308,0.9212,0.65872,1.06763,1.07928,0.86493,0.003466,0.003466,0.003466
35,511.507,0.93833,1.23864,1.00917,0.90562,0.84615,0.90229,0.60503,1.07731,1.10539,0.8666,0.003268,0.003268,0.003268
36,533.379,1.06681,1.78082,1.06767,1,0.61269,0.68904,0.42715,1.09157,1.18961,0.87643,0.00307,0.00307,0.00307
37,550.475,1.12905,1.61646,1.03984,0.98748,0.76923,0.88891,0.57209,1.09157,1.18961,0.87643,0.002872,0.002872,0.002872
38,571.589,0.87488,1.71304,0.95158,1,0.60901,0.68908,0.44349,1.08761,1.29997,0.8924,0.002674,0.002674,0.002674
39,592.608,0.91397,1.28973,1.0013,0.99169,0.76923,0.89818,0.61159,1.0272,1.11991,0.84499,0.002476,0.002476,0.002476
40,611.218,0.91193,1.67278,1.00532,0.99342,0.76923,0.9043,0.61444,1.02883,1.0913,0.84275,0.002278,0.002278,0.002278
41,631.65,0.96257,1.34613,1.00578,0.99342,0.76923,0.9043,0.61444,1.02883,1.0913,0.84275,0.00208,0.00208,0.00208
42,657.714,0.84815,1.28532,0.97199,0.98889,0.61538,0.6208,0.38225,1.01343,1.19093,0.83953,0.001882,0.001882,0.001882
43,691.947,0.87825,1.29693,0.98269,0.99204,0.61538,0.63974,0.40328,0.98085,1.25307,0.83422,0.001684,0.001684,0.001684
44,712.232,0.82727,1.30649,0.96488,1,0.84312,0.93821,0.62196,0.98085,1.25307,0.83422,0.001486,0.001486,0.001486
45,730.458,0.85761,1.55571,0.92721,1,0.91181,0.94616,0.63759,0.99823,1.32164,0.83916,0.001288,0.001288,0.001288
