epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.025,1.47598,3.09555,1.25959,0.00833,0.30769,0.08015,0.02879,2.0344,3.47498,1.76792,0.0811,0.0021,0.0021
2,343.261,2.04995,3.57344,1.87392,0.00234,0.07692,0.00162,0.00062,2.4926,3.94047,2.48269,0.0611581,0.0041581,0.0041581
3,678.113,2.3663,3.29393,2.05697,0.00167,0.07692,0.00119,0.00104,2.07708,4.63192,2.17913,0.041071,0.006071,0.006071
4,1145.41,2.19711,2.83048,1.97067,0.06583,0.07692,0.0216,0.01034,2.79314,35.8852,6.41004,0.0208387,0.0078387,0.0078387
5,1271.66,2.34103,4.07477,2.13187,0.02023,0.23077,0.01264,0.0055,2.79314,35.8852,6.41004,0.00868,0.00868,0.00868
6,1479.68,2.35856,3.75093,2.06013,0.00971,0.23077,0.00456,0.00233,3.06295,90.5972,5.0277,0.00835,0.00835,0.00835
7,1561.96,2.41228,3.66882,2.30219,0.00222,0.15385,0.0013,0.00072,2.78356,377.794,10.3172,0.00802,0.00802,0.00802
8,1722.89,2.27953,3.49148,2.18578,0.25,0.07692,0.04013,0.01577,3.17734,296.992,8.249,0.00769,0.00769,0.00769
9,1872.19,2.62212,3.2222,2.23951,0.08333,0.07692,0.00896,0.00345,3.17734,296.992,8.249,0.00736,0.00736,0.00736
10,1981.72,2.18311,3.04008,1.94186,0.01515,0.07692,0.00626,0.00345,3.08339,626.842,31.7426,0.00703,0.00703,0.00703
11,2007.35,2.24798,2.73839,2.09034,0.00338,0.07692,0.07684,0.01841,2.82577,282.061,10.7788,0.0067,0.0067,0.0067
12,2119.59,2.67269,2.79667,2.31853,0.0058,0.30769,0.07792,0.0185,2.82577,282.061,10.7788,0.00637,0.00637,0.00637
13,2347.23,2.19859,2.59896,1.99466,0.16667,0.07692,0.07577,0.02419,2.75922,316.538,10.1117,0.00604,0.00604,0.00604
14,2499.73,2.05097,2.38877,2.12818,0.08333,0.07692,0.00989,0.01252,2.21926,647.602,3.34734,0.00571,0.00571,0.00571
15,2513.29,2.00509,2.43808,1.85916,0.08333,0.07692,0.00988,0.01244,2.21926,647.602,3.34734,0.00538,0.00538,0.00538
16,2531.52,2.09917,2.3309,1.97412,0.2061,0.15385,0.04936,0.01786,2.06178,11.0292,2.67868,0.00505,0.00505,0.00505
17,2548.06,2.04755,2.20527,1.80355,0.11724,0.07692,0.03092,0.01174,2.33183,64.2656,4.6133,0.00472,0.00472,0.00472
18,2565.05,1.92062,2.17462,1.83152,0.00962,0.23077,0.00573,0.00262,2.33183,64.2656,4.6133,0.00439,0.00439,0.00439
19,2604.24,1.83402,2.28656,1.84539,0.11915,0.15385,0.0261,0.0131,2.32543,40.3703,4.22352,0.00406,0.00406,0.00406
20,2680.88,2.17965,2.48013,1.97452,0.18262,0.15385,0.13022,0.05751,1.72919,13.905,2.29279,0.00373,0.00373,0.00373
21,2717.92,1.76439,1.94163,1.76455,0.30013,0.23077,0.21371,0.09343,1.72919,13.905,2.29279,0.0034,0.0034,0.0034
22,2805.67,1.59942,1.80801,1.65189,0.63234,0.15385,0.19441,0.06503,1.73623,4.84952,2.15594,0.00307,0.00307,0.00307
23,3162.15,1.56808,1.82005,1.61946,0.16822,0.30769,0.14918,0.06352,2.20035,2.66962,2.40025,0.00274,0.00274,0.00274
24,4169.53,1.71257,1.7475,1.6934,0.31014,0.15385,0.10563,0.06104,1.9993,2.62721,2.29309,0.00241,0.00241,0.00241
25,4412.62,1.68191,1.67452,1.67651,0.31014,0.15385,0.07411,0.04382,1.9993,2.62721,2.29309,0.00208,0.00208,0.00208
26,5435.89,1.56857,1.59509,1.56941,0.45333,0.15385,0.12509,0.07055,1.72524,2.35689,2.07642,0.00175,0.00175,0.00175
27,6110.77,1.57712,1.6841,1.54882,0.36819,0.23077,0.19757,0.09035,1.68834,2.17789,2.01665,0.00142,0.00142,0.00142
28,6143.61,1.42015,1.58457,1.45315,0.36819,0.23077,0.19303,0.08783,1.68834,2.17789,2.01665,0.00109,0.00109,0.00109
29,7175.7,1.62195,1.66803,1.54982,0.24485,0.38462,0.1983,0.09457,1.70133,2.09973,2.02752,0.00076,0.00076,0.00076
30,8009.37,1.68577,1.65814,1.65946,0.30245,0.38462,0.1945,0.10224,1.69444,1.88772,2.0087,0.00043,0.00043,0.00043
