epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.90599,1.61648,4.26887,1.34891,0.008,0.92308,0.1648,0.07907,1.27153,3.38078,1.07016,0.0955,0.0005,0.0005
2,7.66869,1.28146,3.65807,1.15492,0.008,0.92308,0.1815,0.08648,1.24802,3.33737,1.02914,0.0900782,0.00107822,0.00107822
3,14.0116,1.22884,3.53569,1.13507,0.00778,0.53846,0.01174,0.00631,1.21328,3.32046,1.01943,0.0846327,0.00163268,0.00163268
4,26.2867,1.24765,3.39911,1.09344,0.00733,0.84615,0.23118,0.14618,1.25054,3.19618,0.98323,0.0791634,0.00216338,0.00216338
5,29.9423,1.0411,2.90668,0.99869,0.00867,1,0.37477,0.24924,1.17249,3.13266,0.9437,0.0736703,0.00267032,0.00267032
6,44.711,1.15021,2.40466,1.04477,0.01,0.69231,0.30257,0.19697,1.18619,3.01654,0.92048,0.0681535,0.0031535,0.0031535
7,48.9176,1.10017,2.07698,1.05879,1,0.67241,0.92279,0.51818,1.13164,2.70106,0.89109,0.0626129,0.00361292,0.00361292
8,54.3804,1.056,1.75136,1.04387,1,0.36101,0.92494,0.61163,1.04938,2.49757,0.86467,0.0570486,0.00404858,0.00404858
9,60.5886,1.05944,1.61018,0.98178,1,0.28967,0.74351,0.53696,1.02767,2.59102,0.92345,0.0514605,0.00446048,0.00446048
10,75.4301,1.0817,1.99898,1.07096,0.01333,0.30769,0.21015,0.13301,1.23445,2.8573,1.02446,0.0458486,0.00484862,0.00484862
11,91.7991,1.17561,1.63322,1.06199,0.02916,0.30769,0.25298,0.18479,1.1285,2.55847,0.97679,0.040213,0.005213,0.005213
12,107.699,1.09524,1.41319,0.99194,1,0.21435,0.29565,0.17564,1.19278,2.46876,0.98289,0.0345536,0.00555362,0.00555362
