epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.11044,1.47377,3.76028,1.21913,0.008,0.92308,0.1875,0.09048,1.26313,3.36535,1.05481,0.091,0.001,0.001
2,8.08393,1.25972,3.88476,1.18411,0.008,0.92308,0.19745,0.09615,1.23385,3.3504,1.01818,0.0810307,0.0020307,0.0020307
3,13.8069,1.13252,3.48438,1.14193,0.00867,1,0.22253,0.10685,1.27546,3.25196,1.0067,0.0709888,0.0029888,0.0029888
4,20.1544,1.2249,3.35094,1.08281,0.00867,1,0.23627,0.14911,1.21713,3.19364,0.97697,0.0608743,0.0038743,0.0038743
5,29.9924,1.22887,3.1625,1.09279,0.00867,1,0.29536,0.20126,1.12498,3.10122,0.96018,0.0506872,0.0046872,0.0046872
6,35.7241,1.32974,3.16396,1.1612,0.008,0.92308,0.459,0.31179,1.21256,2.97838,0.96968,0.0404275,0.0054275,0.0054275
7,41.6376,1.08757,2.4793,1.09958,1,0.31862,0.73379,0.46773,1.10044,2.7579,0.92626,0.0300952,0.0060952,0.0060952
8,48.4611,1.16342,2.11557,1.05588,0.92744,0.46154,0.587,0.23888,1.28565,1.9425,0.96613,0.0196903,0.0066903,0.0066903
9,58.6593,1.16721,5.18213,0.99308,0.94068,0.53846,0.66762,0.31557,1.28565,1.9425,0.96613,0.0092128,0.0072128,0.0072128
10,65.3213,1.16236,2.48559,1.01191,0.30966,0.07692,0.18187,0.09711,1.17903,1.95495,0.95999,0.00703,0.00703,0.00703
11,74.8239,1.23111,2.35025,1.07745,0.82336,0.36159,0.50669,0.29144,1.20334,2.03147,0.97263,0.0067,0.0067,0.0067
12,82.1944,1.02047,1.85492,0.96932,0.88456,0.59144,0.8227,0.52443,1.20334,2.03147,0.97263,0.00637,0.00637,0.00637
13,93.0454,1.06875,1.70421,1.006,0.76837,0.25903,0.26365,0.16848,1.179,1.8626,0.99461,0.00604,0.00604,0.00604
14,99.978,1.19034,1.90877,1.16826,1,0.5222,0.54261,0.33906,1.09733,1.46665,0.99098,0.00571,0.00571,0.00571
15,106.674,1.08852,1.68285,1.06774,0.9744,0.76923,0.82793,0.52465,1.09733,1.46665,0.99098,0.00538,0.00538,0.00538
16,113.899,1.19658,1.49003,1.075,0.79358,0.30769,0.29565,0.15983,1.07441,1.4805,0.9791,0.00505,0.00505,0.00505
17,120.4,1.08313,1.55531,1.02737,0.86309,0.53846,0.52196,0.36397,0.99399,1.41616,0.94922,0.00472,0.00472,0.00472
18,127.213,1.06981,1.6171,1.03099,1,0.3043,0.30965,0.1485,1.13789,1.45277,0.99196,0.00439,0.00439,0.00439
19,134.073,1.15828,1.5265,1.07312,0.96452,0.53846,0.53895,0.30359,1.13789,1.45277,0.99196,0.00406,0.00406,0.00406
20,140.883,1.07665,1.91316,1.04868,1,0.30353,0.30965,0.1842,0.99977,1.32895,0.96026,0.00373,0.00373,0.00373
21,148.001,0.87156,1.62126,0.96982,1,0.30607,0.30965,0.21447,1.05365,1.35749,0.9566,0.0034,0.0034,0.0034
22,159.277,0.87726,1.52447,0.99874,0.94657,0.53846,0.53878,0.37443,1.05365,1.35749,0.9566,0.00307,0.00307,0.00307
23,166.3,0.90781,1.5599,0.96986,1,0.30769,0.30965,0.17591,1.08999,1.34715,0.95681,0.00274,0.00274,0.00274
24,173.771,0.89806,1.4836,0.98521,0.96686,0.30769,0.30965,0.19662,1.01895,1.30035,0.93451,0.00241,0.00241,0.00241
25,181.562,0.89739,1.6016,0.96839,0.76803,0.53846,0.53012,0.35367,1.01895,1.30035,0.93451,0.00208,0.00208,0.00208
26,189.04,0.88211,1.60683,0.97414,0.9683,0.30769,0.30965,0.21402,0.99999,1.28192,0.91817,0.00175,0.00175,0.00175
27,195.794,0.90282,1.56828,1.0106,0.9729,0.30769,0.30965,0.20637,0.9491,1.22802,0.9148,0.00142,0.00142,0.00142
28,202.28,0.83454,1.5157,0.9698,1,0.52853,0.53895,0.36187,0.9491,1.22802,0.9148,0.00109,0.00109,0.00109
29,209.835,0.81171,1.40075,0.93593,1,0.52866,0.53975,0.36246,0.94949,1.21422,0.91532,0.00076,0.00076,0.00076
30,216.644,0.83517,1.41349,0.94244,0.97867,0.30769,0.30965,0.20637,0.94881,1.20311,0.91527,0.00043,0.00043,0.00043
