epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97118,1.61648,4.26888,1.34891,0.008,0.92308,0.1648,0.07907,1.27146,3.38084,1.07015,0.0955,0.0005,0.0005
2,12.3296,1.28114,3.65864,1.15485,0.008,0.92308,0.18142,0.08646,1.24892,3.33663,1.02888,0.0900782,0.00107822,0.00107822
3,20.7501,1.22755,3.54718,1.13767,0.00917,0.84615,0.15308,0.08168,1.23394,3.31438,1.02388,0.0846327,0.00163268,0.00163268
4,27.5506,1.23545,3.39911,1.09244,0.01167,0.53846,0.03486,0.01886,1.24454,3.22684,0.99256,0.0791634,0.00216338,0.00216338
5,34.3588,1.05813,2.92397,1.01657,0.01333,0.30769,0.10675,0.07972,1.25183,3.16424,0.97546,0.0736703,0.00267032,0.00267032
6,39.1509,1.1445,2.45043,1.04638,0.00867,1,0.53553,0.32547,1.3156,3.10314,0.96929,0.0681535,0.0031535,0.0031535
7,46.7466,1.10325,2.15538,1.06647,0.01333,0.30769,0.28632,0.20163,1.14824,2.72257,0.91773,0.0626129,0.00361292,0.00361292
8,53.5916,1.05341,1.70554,1.03848,0.01333,0.30769,0.30965,0.19474,1.19088,2.42677,0.90591,0.0570486,0.00404858,0.00404858
9,60.3133,1.07525,1.67892,0.99322,0.98143,0.53846,0.68051,0.41843,1.1456,2.36456,0.91639,0.0514605,0.00446048,0.00446048
10,68.3989,1.09074,1.93487,1.05329,0.01333,0.30769,0.22511,0.1519,0.92285,2.49251,0.89168,0.0458486,0.00484862,0.00484862
11,106.22,1.34255,1.68611,1.12915,0.01333,0.30769,0.29565,0.20959,0.9314,2.32686,0.87177,0.040213,0.005213,0.005213
12,146.76,1.08344,1.35794,1.01079,0.01333,0.30769,0.29565,0.20959,1.06414,2.20319,0.90881,0.0345536,0.00555362,0.00555362
13,182.636,1.04327,1.33327,1.00456,1,0.14763,0.27076,0.22653,1.21781,2.01881,0.94142,0.0288705,0.00587048,0.00587048
14,220.132,1.32826,1.68752,1.15911,0.55869,0.07692,0.26365,0.19105,1.13529,2.05625,0.92359,0.0231636,0.00616358,0.00616358
15,239.186,1.08578,1.52199,1.02429,1,0.52396,0.89536,0.60599,1.13529,2.05625,0.92359,0.0174329,0.00643292,0.00643292
16,243.501,0.86973,1.2886,0.96304,1,0.89258,0.99,0.68246,1.11277,1.75868,0.92873,0.0116785,0.0066785,0.0066785
