epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.695,1.48363,3.06423,1.26029,0.01092,0.53846,0.0833,0.02238,2.17094,3.43373,1.77112,0.0811,0.0021,0.0021
2,745.654,1.98815,3.54929,1.81599,0.00216,0.07692,0.00186,0.00129,2.28958,3.87012,2.34483,0.0612149,0.00421486,0.00421486
3,756.183,2.37688,3.37143,2.11971,0.24666,0.07692,0.07833,0.03123,3.71371,17.3386,16.4798,0.0412426,0.0062426,0.0062426
4,766.812,2.44783,3.04252,2.2036,0.00779,0.07692,0.00518,0.00145,3.39375,379.31,11.2527,0.0211832,0.00818322,0.00818322
5,774.933,2.41352,3.85607,2.27774,0.0042,0.15385,0.00177,0.00062,3.39375,379.31,11.2527,0.009208,0.009208,0.009208
6,785.215,2.52552,4.45524,2.10041,0,0,0,0,3.96961,838.567,16.4039,0.00901,0.00901,0.00901
7,795.224,2.68177,4.40242,2.51328,0.00237,0.07692,0.00319,0.00109,2.85881,487.988,8.86149,0.008812,0.008812,0.008812
8,806.886,2.54025,4.14921,2.3191,0,0,0,0,4.51668,1627.92,47.3199,0.008614,0.008614,0.008614
9,814.566,2.25865,3.68445,2.07061,0,0,0,0,4.51668,1627.92,47.3199,0.008416,0.008416,0.008416
10,824.603,2.29966,3.46765,2.14963,0.00221,0.07692,0.00096,0.00019,4.70519,129.956,61.2685,0.008218,0.008218,0.008218
11,835.691,2.43586,3.54702,2.14936,0,0,0,0,5.3774,2277.28,95.2417,0.00802,0.00802,0.00802
12,843.914,2.52422,3.51077,2.24096,0,0,0,0,5.3774,2277.28,95.2417,0.007822,0.007822,0.007822
13,854.885,2.25654,3.16843,2.10979,0,0,0,0,3.66413,4266.6,149.147,0.007624,0.007624,0.007624
14,873.111,2.07329,3.12506,2.17782,0.00364,0.07692,0.00518,0.00149,2.29777,2143.1,24.4388,0.007426,0.007426,0.007426
15,883.749,2.22371,2.96267,2.1518,0.00174,0.07692,0.0008,0.00048,2.29777,2143.1,24.4388,0.007228,0.007228,0.007228
16,911.582,2.0785,2.76205,2.03622,0.0121,0.30769,0.00938,0.00344,2.53777,499.611,6.74678,0.00703,0.00703,0.00703
17,943.02,1.98275,2.80576,1.85801,0.00801,0.30769,0.00739,0.00459,2.22367,1101.02,4.61842,0.006832,0.006832,0.006832
18,961.353,2.14804,2.66883,2.13759,0.00604,0.30769,0.0061,0.00364,2.22367,1101.02,4.61842,0.006634,0.006634,0.006634
19,996.762,2.00507,2.91931,1.9966,0.01067,0.23077,0.00655,0.00415,2.17506,628.313,3.12894,0.006436,0.006436,0.006436
20,1041.43,2.33965,3.04561,2.23877,0.03062,0.07692,0.01833,0.00839,1.9852,54.9901,2.56866,0.006238,0.006238,0.006238
21,1079.81,2.16529,2.85925,2.21077,0.02556,0.15385,0.01571,0.00723,1.9852,54.9901,2.56866,0.00604,0.00604,0.00604
22,1117.45,1.70885,2.34155,1.77404,0.16652,0.07692,0.09178,0.03834,1.99947,12.4812,2.6599,0.005842,0.005842,0.005842
