epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94515,1.4668,3.58502,1.2033,0.008,0.92308,0.37483,0.22545,1.05174,3.28637,0.94906,0.0002,0.0002,0.0002
2,8.61365,1.29729,3.28303,1.17568,0.008,0.92308,0.4573,0.24885,1.05426,3.21736,0.93461,0.000415842,0.000415842,0.000415842
3,14.0019,1.18292,2.47041,1.11134,0.008,0.92308,0.4906,0.27604,1.08953,3.12539,0.96174,0.000627328,0.000627328,0.000627328
4,19.4338,1.15271,2.4766,1.0779,0.00867,1,0.5284,0.3058,1.06073,3.20946,0.97686,0.000834458,0.000834458,0.000834458
5,26.9834,1.25681,2.39213,1.18685,0.00733,0.84615,0.41454,0.24547,1.15304,3.23175,1.07432,0.00103723,0.00103723,0.00103723
6,33.0099,1.25922,2.44711,1.22401,0.01144,0.61538,0.43349,0.24869,1.21572,3.0451,1.09299,0.00123565,0.00123565,0.00123565
7,38.4249,1.21616,2.31741,1.29733,1,0.21933,0.45178,0.28834,1.19624,2.98453,1.12421,0.00142971,0.00142971,0.00142971
8,46.6011,1.24047,2.0812,1.25126,0.96337,0.46154,0.53458,0.40585,1.2144,2.68202,1.10724,0.00161942,0.00161942,0.00161942
9,50.5102,1.14541,4.75142,1.06696,0.96337,0.46154,0.53458,0.40585,1.2144,2.68202,1.10724,0.00180477,0.00180477,0.00180477
10,56.5326,1.16468,2.65167,1.17364,0.90052,0.46154,0.51838,0.38873,1.23434,2.83409,1.16965,0.0018218,0.0018218,0.0018218
11,64.9446,1.29059,2.80257,1.22491,0.88805,0.61074,0.70657,0.3823,1.35116,2.22908,1.52861,0.001802,0.001802,0.001802
12,68.9157,1.30876,2.41877,1.22783,0.88805,0.61074,0.70657,0.3823,1.35116,2.22908,1.52861,0.0017822,0.0017822,0.0017822
13,76.4938,1.23148,1.89512,1.23696,0.89358,0.76923,0.82973,0.49687,1.29687,1.97023,1.33355,0.0017624,0.0017624,0.0017624
14,82.4997,1.28557,2.06355,1.2499,0.69647,0.76923,0.69667,0.41929,1.43619,2.11948,1.208,0.0017426,0.0017426,0.0017426
15,86.482,1.25182,1.90607,1.21466,0.69647,0.76923,0.69667,0.41929,1.43619,2.11948,1.208,0.0017228,0.0017228,0.0017228
16,92.8158,1.15057,1.56364,1.12187,0.8198,0.70051,0.80778,0.53764,1.31455,1.8758,1.09539,0.001703,0.001703,0.001703
17,99.4748,1.2482,1.83341,1.18946,0.96377,0.69231,0.79564,0.55197,1.27241,1.72601,1.10786,0.0016832,0.0016832,0.0016832
18,106.571,1.27882,1.81183,1.25266,0.89528,0.69231,0.67501,0.39817,1.44378,2.03675,1.20155,0.0016634,0.0016634,0.0016634
19,110.366,1.37813,1.81277,1.31817,0.89528,0.69231,0.67501,0.39817,1.44378,2.03675,1.20155,0.0016436,0.0016436,0.0016436
20,117.64,1.24611,2.36444,1.20667,1,0.68697,0.7099,0.44791,1.32596,1.65127,1.15374,0.0016238,0.0016238,0.0016238
21,123.883,1.28338,2.16048,1.23364,0.8988,0.69231,0.72406,0.50955,1.3072,1.66286,1.11666,0.001604,0.001604,0.001604
22,127.917,1.22732,1.76687,1.2242,0.8988,0.69231,0.72406,0.50955,1.3072,1.66286,1.11666,0.0015842,0.0015842,0.0015842
23,137.827,1.08741,1.76439,1.1129,0.84896,0.69231,0.81867,0.55715,1.22362,1.94179,1.09783,0.0015644,0.0015644,0.0015644
24,145.104,1.17441,1.78115,1.11274,1,0.82876,0.89108,0.59195,1.05241,1.41083,1.01955,0.0015446,0.0015446,0.0015446
25,150.427,1.10777,1.7516,1.18986,1,0.90175,0.96457,0.66411,1.05241,1.41083,1.01955,0.0015248,0.0015248,0.0015248
26,158.176,1.16106,1.52473,1.1491,0.95142,0.92308,0.9614,0.62583,1.12141,1.54352,1.03205,0.001505,0.001505,0.001505
27,165.336,1.26599,2.22908,1.27715,0.85069,0.87793,0.87103,0.59213,1.08577,1.59977,0.99732,0.0014852,0.0014852,0.0014852
