epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.92894,1.47377,3.76028,1.21913,0.008,0.92308,0.1875,0.09048,1.26313,3.36535,1.05481,0.091,0.001,0.001
2,7.74015,1.26094,3.88239,1.18407,0.008,0.92308,0.1972,0.09608,1.23662,3.34849,1.01852,0.0810584,0.00205842,0.00205842
3,13.2275,1.12683,3.48937,1.14054,0.00867,1,0.21757,0.09958,1.25671,3.27394,1.00636,0.0710733,0.00307328,0.00307328
4,19.1652,1.20016,3.31114,1.06898,0.00867,1,0.22707,0.14127,1.25975,3.20734,0.97651,0.0610446,0.00404458,0.00404458
5,25.2824,1.18972,3.10709,1.0537,0.00867,1,0.26634,0.18403,1.20574,3.10177,0.95462,0.0509723,0.00497232,0.00497232
6,32.1271,1.31666,3.00123,1.14966,0.01333,0.61538,0.3747,0.22856,1.21611,2.91239,0.95235,0.0408565,0.0058565,0.0058565
7,38.7712,1.14558,2.4814,1.10681,1,0.27722,0.46934,0.26225,1.25393,2.56914,0.93531,0.0306971,0.00669712,0.00669712
8,43.1984,1.12068,2.09327,1.01079,0.96639,0.76923,0.94061,0.50789,1.37109,1.9223,0.98029,0.0204942,0.00749418,0.00749418
9,46.8304,1.20783,5.25808,0.99191,0.96639,0.76923,0.94061,0.50789,1.37109,1.9223,0.98029,0.0102477,0.00824768,0.00824768
10,57.7665,1.18713,2.49317,1.01369,0.35506,0.07692,0.04978,0.02627,1.35643,2.43312,1.07765,0.008218,0.008218,0.008218
11,64.5029,1.37559,2.40383,1.14058,0.02806,0.30769,0.27965,0.20656,1.16084,2.17213,1.02723,0.00802,0.00802,0.00802
12,71.3434,1.07684,1.97783,1.00821,1,0.27783,0.43612,0.27446,1.16084,2.17213,1.02723,0.007822,0.007822,0.007822
13,83.6683,1.20783,1.78181,1.03183,0.49189,0.38462,0.32477,0.14832,1.59016,1.9026,1.15353,0.007624,0.007624,0.007624
14,91.6222,1.32138,2.03471,1.13855,0.79983,0.30743,0.27965,0.18975,1.19642,1.51805,0.99197,0.007426,0.007426,0.007426
15,98.7187,1.24463,1.82649,1.14334,0.82744,0.53846,0.53007,0.35338,1.19642,1.51805,0.99197,0.007228,0.007228,0.007228
16,105.831,1.28542,1.64424,1.0913,0.93992,0.23077,0.27076,0.15887,1.22224,1.75867,0.98353,0.00703,0.00703,0.00703
17,112.754,1.12365,1.76458,1.03703,0.97837,0.23077,0.28632,0.20212,1.11395,1.352,0.95173,0.006832,0.006832,0.006832
18,123.885,1.14668,1.64504,1.05134,0.71775,0.23077,0.23965,0.14928,1.17061,1.44589,0.98802,0.006634,0.006634,0.006634
19,130.565,1.16624,1.64324,1.08897,0.85279,0.44747,0.50971,0.31213,1.17061,1.44589,0.98802,0.006436,0.006436,0.006436
20,137.626,1.08195,2.01415,1.01148,0.68392,0.23077,0.24765,0.12742,1.2164,1.43164,1.01465,0.006238,0.006238,0.006238
21,144.502,1.06967,1.92325,1.05572,0.76239,0.24983,0.29565,0.18716,1.16028,1.32403,0.97989,0.00604,0.00604,0.00604
22,151.645,1.20835,1.66458,1.12716,1,0.52101,0.60157,0.39038,1.16028,1.32403,0.97989,0.005842,0.005842,0.005842
23,158.778,1.06467,1.66082,1.03519,0.8755,0.61538,0.60868,0.41077,1.08942,1.23961,0.95956,0.005644,0.005644,0.005644
24,165.899,1.07662,1.64838,1.01345,0.78499,0.61538,0.58282,0.42219,1.06812,1.22532,0.96151,0.005446,0.005446,0.005446
25,172.614,1.04418,1.58881,1.06263,0.80486,0.69231,0.6653,0.47179,1.06812,1.22532,0.96151,0.005248,0.005248,0.005248
26,183.776,1.11292,1.35665,1.03886,0.76184,0.61538,0.58757,0.37042,1.22782,1.29091,1.02499,0.00505,0.00505,0.00505
27,190.602,1.09882,1.67105,1.07286,0.97825,0.30769,0.30965,0.23867,0.89846,1.13547,0.91519,0.004852,0.004852,0.004852
28,197.394,0.96737,1.44263,1.0016,0.79885,0.61538,0.59282,0.44036,0.89846,1.13547,0.91519,0.004654,0.004654,0.004654
29,204.332,1.00853,1.34365,1.05422,1,0.30486,0.30965,0.24032,0.98764,1.11245,0.92695,0.004456,0.004456,0.004456
30,211.464,0.97096,1.38586,1.01034,0.98968,0.53846,0.6559,0.47632,0.93386,1.1362,0.91924,0.004258,0.004258,0.004258
31,218.245,0.93116,1.2346,1.04206,0.99542,0.76923,0.88639,0.66781,0.93386,1.1362,0.91924,0.00406,0.00406,0.00406
32,225.242,1.01622,1.42128,1.07079,0.98355,0.23077,0.29565,0.20905,0.98357,1.162,0.91537,0.003862,0.003862,0.003862
33,231.906,1.0496,1.3818,1.08973,0.98399,0.30769,0.30965,0.21037,1.02382,1.11926,0.93327,0.003664,0.003664,0.003664
34,244.036,1.08404,1.74123,1.04221,0.87648,0.54664,0.60868,0.41766,1.01186,1.22516,0.93471,0.003466,0.003466,0.003466
35,252.983,1.01481,1.34773,1.02853,0.88983,0.6219,0.68851,0.47996,1.01186,1.22516,0.93471,0.003268,0.003268,0.003268
36,263.07,1.0019,1.21636,1.04986,0.85124,0.61538,0.6009,0.42296,0.9878,1.10668,0.91536,0.00307,0.00307,0.00307
37,270.06,1.04943,1.36448,1.05098,0.98096,0.30769,0.30965,0.21773,0.95372,1.02323,0.90744,0.002872,0.002872,0.002872
38,276.985,0.84187,1.16552,0.94404,0.97506,0.69231,0.69651,0.51601,0.95372,1.02323,0.90744,0.002674,0.002674,0.002674
39,284.118,0.97377,1.37636,1.05675,0.9753,0.69231,0.69651,0.51863,0.93037,0.93654,0.91162,0.002476,0.002476,0.002476
40,291.163,0.84988,1.18018,0.9736,0.99621,0.61538,0.61757,0.45063,0.92564,0.88462,0.91933,0.002278,0.002278,0.002278
41,298.166,0.84848,1.24596,0.95243,0.99847,0.69231,0.69651,0.52336,0.92564,0.88462,0.91933,0.00208,0.00208,0.00208
42,304.781,0.77549,1.18915,0.95349,0.97931,0.30769,0.30965,0.2139,0.95559,0.92504,0.92942,0.001882,0.001882,0.001882
43,311.716,0.86793,1.24915,1.00495,0.99891,0.69231,0.69651,0.50303,0.96878,0.93389,0.92435,0.001684,0.001684,0.001684
44,318.454,0.77556,1.11416,0.94024,1,0.91212,0.92536,0.65905,0.96878,0.93389,0.92435,0.001486,0.001486,0.001486
45,325.51,0.87089,1.34151,0.96908,0.99277,0.61538,0.61757,0.43743,0.96515,0.91414,0.9171,0.001288,0.001288,0.001288
46,333.078,0.77334,1.20506,0.91608,0.99546,0.69231,0.69651,0.52424,0.95386,0.90177,0.91484,0.00109,0.00109,0.00109
47,339.875,0.79935,1.29957,0.96732,1,0.91819,0.92536,0.67839,0.95386,0.90177,0.91484,0.000892,0.000892,0.000892
48,346.942,0.78857,1.15527,0.94815,1,0.6894,0.69651,0.51487,0.94742,0.90907,0.90935,0.000694,0.000694,0.000694
49,358.686,0.83769,1.10806,0.98386,0.85471,0.69231,0.68851,0.50572,0.95621,0.91877,0.91321,0.000496,0.000496,0.000496
50,365.525,0.73188,1.21291,0.93772,0.8795,0.69231,0.68851,0.49822,0.95092,0.91366,0.9107,0.000298,0.000298,0.000298
