epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00841,1.61648,4.26888,1.34891,0.008,0.92308,0.1648,0.07907,1.27146,3.38084,1.07015,0.0955,0.0005,0.0005
2,12.7851,1.2801,3.6645,1.15426,0.01,0.23077,0.01024,0.00568,1.24342,3.33902,1.03225,0.0900637,0.0010637,0.0010637
3,17.08,1.22431,3.54928,1.13775,0.008,0.92308,0.17224,0.09929,1.22245,3.28892,1.02099,0.0845878,0.0015878,0.0015878
4,23.6795,1.23607,3.38212,1.08555,0.00917,0.84615,0.2087,0.10923,1.30222,3.24177,0.99491,0.0790723,0.0020723,0.0020723
5,36.4327,1.06063,2.92034,1.01167,0.01,0.23077,0.10524,0.08317,1.21826,3.15227,0.96374,0.0735172,0.0025172,0.0025172
6,43.2067,1.1578,2.52349,1.05542,0.01333,0.61538,0.24424,0.17879,1.32115,3.08014,0.9595,0.0679225,0.0029225,0.0029225
7,61.7729,1.08353,2.17936,1.06784,0.01333,0.30769,0.24632,0.17442,1.1681,2.7477,0.92345,0.0622882,0.0032882,0.0032882
8,66.0535,1.03708,1.75045,1.03098,1,0.71739,0.94027,0.60325,1.09375,2.46974,0.88378,0.0566143,0.0036143,0.0036143
9,97.2892,1.13597,1.62768,0.98652,0.21353,0.61538,0.56082,0.3757,1.03233,2.36003,0.8668,0.0509008,0.0039008,0.0039008
10,105.351,1.03267,1.92194,0.99567,0.01333,0.61538,0.5625,0.40609,0.82678,2.34734,0.84756,0.0451477,0.0041477,0.0041477
11,120.697,1.2561,1.70991,1.09097,0.01333,0.30769,0.26765,0.19448,0.83826,2.25089,0.85555,0.039355,0.004355,0.004355
12,138.696,1.14744,1.49476,1.01409,0.7351,0.30769,0.30965,0.21188,1.013,2.08679,0.88597,0.0335227,0.0045227,0.0045227
13,159.408,1.00822,1.35436,0.97773,1,0.52165,0.68851,0.44942,1.0979,1.87975,0.92109,0.0276508,0.0046508,0.0046508
14,280.399,1.3311,1.667,1.14599,1,0.20617,0.30965,0.21897,1.08447,2.13427,0.91979,0.0217393,0.0047393,0.0047393
15,288.537,0.99481,1.42925,0.97648,1,0.28529,0.59575,0.35763,1.08447,2.13427,0.91979,0.0157882,0.0047882,0.0047882
16,321.329,0.8452,1.27968,0.95613,1,0.22673,0.30965,0.21437,1.20417,1.92707,0.95432,0.0097975,0.0047975,0.0047975
17,347.038,1.06166,1.48591,0.9749,1,0.47236,0.6246,0.42097,1.09564,1.85021,0.95358,0.00472,0.00472,0.00472
18,355.323,0.92956,1.30626,0.97338,1,0.836,0.87965,0.56085,1.21297,1.56414,0.95027,0.00439,0.00439,0.00439
19,359.465,0.99174,1.46446,0.99911,1,0.91293,0.95638,0.63313,1.21297,1.56414,0.95027,0.00406,0.00406,0.00406
20,390.104,0.96018,1.47554,0.96571,0.93823,0.30769,0.30965,0.20289,1.19291,1.554,0.98103,0.00373,0.00373,0.00373
21,425.137,0.91553,1.30724,0.97443,1,0.52912,0.57757,0.39661,1.09541,1.4353,0.94793,0.0034,0.0034,0.0034
22,462.16,0.82465,1.24823,0.98072,1,0.78506,0.87736,0.54649,1.17236,1.49749,1.01066,0.00307,0.00307,0.00307
23,466.239,0.77735,1.27308,0.89506,1,0.85302,0.95435,0.62268,1.17236,1.49749,1.01066,0.00274,0.00274,0.00274
24,489.827,0.86204,1.18141,0.92683,1,0.60214,0.66794,0.44391,1.13287,1.3538,0.98521,0.00241,0.00241,0.00241
25,526.02,0.82587,1.4184,0.9107,1,0.6579,0.69651,0.46949,1.07208,1.20691,0.97284,0.00208,0.00208,0.00208
26,554.519,0.79092,1.21829,0.92534,0.92824,0.30769,0.30965,0.23412,1.03567,1.08214,0.94758,0.00175,0.00175,0.00175
27,561.637,0.84337,1.39327,0.97267,1,0.68083,0.69651,0.48665,1.03567,1.08214,0.94758,0.00142,0.00142,0.00142
28,600.462,0.77345,1.14751,0.92567,0.86138,0.61538,0.60868,0.41949,0.99374,1.04583,0.92978,0.00109,0.00109,0.00109
29,640.723,0.80955,1.19226,0.91283,0.96497,0.30769,0.30965,0.24121,0.92109,1.02244,0.90725,0.00076,0.00076,0.00076
30,678.222,0.76001,1.13967,0.91771,0.92421,1,0.995,0.75033,0.8834,0.98476,0.89647,0.00043,0.00043,0.00043
