epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.794,1.61648,4.26887,1.34891,0.008,0.92308,0.1648,0.07907,1.27153,3.38078,1.07016,0.0955,0.0005,0.0005
2,232.798,1.28028,3.66401,1.15436,0.008,0.92308,0.18138,0.08644,1.24191,3.3396,1.03197,0.0900637,0.0010637,0.0010637
3,349.956,1.22449,3.55192,1.13679,0.00889,0.61538,0.01724,0.00864,1.20798,3.30204,1.02162,0.0845878,0.0015878,0.0015878
4,507.047,1.23253,3.38253,1.08365,0.00867,1,0.26062,0.14912,1.26826,3.24316,0.98835,0.0790723,0.0020723,0.0020723
5,566.691,1.04317,2.92811,1.00208,0.008,0.92308,0.48368,0.30013,1.20861,3.14243,0.95565,0.0735172,0.0025172,0.0025172
6,622.075,1.15168,2.51228,1.0491,0.00867,1,0.58884,0.37508,1.24433,3.04198,0.93728,0.0679225,0.0029225,0.0029225
7,707.137,1.10938,2.27141,1.07159,0.00867,1,0.89019,0.46347,1.20097,2.74019,0.92982,0.0622882,0.0032882,0.0032882
8,798.97,1.08663,1.78303,1.04989,1,0.57557,0.94449,0.57065,1.10262,2.51393,0.88163,0.0566143,0.0036143,0.0036143
9,874.285,1.13023,1.64788,0.98662,1,0.41138,0.92106,0.59531,1.08342,2.34626,0.88538,0.0509008,0.0039008,0.0039008
10,902.432,1.00598,1.85018,1.00338,0.01333,0.30769,0.26765,0.18973,0.82234,2.29232,0.85108,0.0451477,0.0041477,0.0041477
11,967.995,1.26718,1.71026,1.10339,0.01333,0.61538,0.60157,0.4288,0.80859,2.13901,0.85085,0.039355,0.004355,0.004355
12,1112.75,1.07246,1.42666,1.003,1,0.52362,0.995,0.71044,1.01755,2.03385,0.88937,0.0335227,0.0045227,0.0045227
13,1208.39,1.0183,1.33828,0.9879,1,0.38218,0.61757,0.39214,1.19707,1.9108,0.91201,0.0276508,0.0046508,0.0046508
14,1264.68,1.28218,1.61105,1.12565,1,0.14786,0.30965,0.20093,1.05108,1.95115,0.90157,0.0217393,0.0047393,0.0047393
15,1324.15,0.9951,1.42177,0.97771,1,0.32001,0.57125,0.36771,1.05108,1.95115,0.90157,0.0157882,0.0047882,0.0047882
16,1370.62,0.87288,1.30333,0.95207,1,0.2232,0.30965,0.21631,1.0945,1.79544,0.91541,0.0097975,0.0047975,0.0047975
17,1416.99,0.99996,1.54022,0.94649,1,0.25596,0.30965,0.22682,1.08849,1.73815,0.92535,0.00472,0.00472,0.00472
18,1471.56,0.99344,1.29874,1.00989,1,0.30503,0.30965,0.20294,1.17277,1.60894,0.94529,0.00439,0.00439,0.00439
19,1511.71,0.97272,1.4414,0.99899,0.99787,0.53846,0.53773,0.33632,1.17277,1.60894,0.94529,0.00406,0.00406,0.00406
20,1583.02,0.92938,1.45947,0.967,0.82509,0.30769,0.30965,0.22082,1.1351,1.49819,0.95493,0.00373,0.00373,0.00373
21,1647.73,0.88158,1.28898,0.98281,0.91905,0.53846,0.53773,0.39247,1.07472,1.45936,0.93235,0.0034,0.0034,0.0034
22,1694.46,0.76959,1.21634,0.95271,1,0.59529,0.61671,0.46876,1.05461,1.44111,0.92565,0.00307,0.00307,0.00307
23,1744.26,0.75989,1.25454,0.90794,1,0.84261,0.92529,0.67566,1.05461,1.44111,0.92565,0.00274,0.00274,0.00274
24,1779.92,0.84182,1.17966,0.92095,1,0.27638,0.30965,0.25642,1.00297,1.40067,0.90735,0.00241,0.00241,0.00241
25,1826.39,0.75552,1.35401,0.89809,0.9333,0.53846,0.53874,0.41009,0.90541,1.22215,0.88641,0.00208,0.00208,0.00208
26,1882.09,0.78209,1.26207,0.9154,0.91585,0.30769,0.30965,0.24832,0.95506,1.14521,0.88767,0.00175,0.00175,0.00175
27,1931.11,0.79513,1.33246,0.96043,0.94849,0.53846,0.53899,0.41678,0.95506,1.14521,0.88767,0.00142,0.00142,0.00142
28,1979.73,0.75555,1.14867,0.92444,0.97162,0.61538,0.61832,0.48329,0.94245,1.08827,0.8821,0.00109,0.00109,0.00109
29,2041.35,0.77308,1.22519,0.9072,0.97893,0.53846,0.54299,0.41734,0.9275,1.04912,0.87573,0.00076,0.00076,0.00076
30,2091.37,0.76091,1.096,0.89997,0.9936,0.84615,0.85679,0.64883,0.93345,1.01583,0.87885,0.00043,0.00043,0.00043
