epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94499,1.4668,3.58502,1.2033,0.008,0.92308,0.37483,0.22545,1.05176,3.28636,0.94906,0.0002,0.0002,0.0002
2,8.27399,1.29722,3.28286,1.17566,0.008,0.92308,0.45733,0.24886,1.05408,3.21746,0.9346,0.000415842,0.000415842,0.000415842
3,13.4959,1.18199,2.47319,1.11105,0.008,0.92308,0.49052,0.276,1.09073,3.12177,0.96217,0.000627328,0.000627328,0.000627328
4,19.2654,1.15301,2.47839,1.07785,0.00867,1,0.52846,0.31426,1.05179,3.20801,0.97712,0.000834458,0.000834458,0.000834458
5,24.3051,1.24914,2.39981,1.18184,0.00733,0.84615,0.41741,0.24756,1.14243,3.22043,1.06745,0.00103723,0.00103723,0.00103723
6,29.2557,1.26323,2.45541,1.23072,0.01052,0.53846,0.4037,0.23089,1.22607,3.07231,1.09112,0.00123565,0.00123565,0.00123565
7,34.2573,1.24021,2.34546,1.32127,1,0.27296,0.44803,0.29678,1.26491,2.97274,1.21872,0.00142971,0.00142971,0.00142971
8,41.0053,1.25937,2.08557,1.30002,1,0.38276,0.55589,0.3889,1.22329,2.72676,1.09776,0.00161942,0.00161942,0.00161942
9,44.8468,1.22153,4.86767,1.10604,1,0.38276,0.55589,0.3889,1.22329,2.72676,1.09776,0.00180477,0.00180477,0.00180477
10,51.1236,1.22219,2.72701,1.19569,1,0.44852,0.50412,0.36258,1.11921,2.78184,1.14359,0.0018218,0.0018218,0.0018218
11,57.8238,1.25383,2.91395,1.246,1,0.45823,0.66435,0.43867,1.26027,2.20454,1.24555,0.001802,0.001802,0.001802
12,61.8132,1.3551,2.57551,1.30112,1,0.45823,0.66435,0.43867,1.26027,2.20454,1.24555,0.0017822,0.0017822,0.0017822
13,68.841,1.2413,1.91449,1.17675,0.88714,0.6057,0.71437,0.44861,1.21009,2.07823,1.167,0.0017624,0.0017624,0.0017624
14,75.8577,1.29245,2.08865,1.26059,0.9957,0.76923,0.81045,0.52936,1.27898,1.62204,1.08441,0.0017426,0.0017426,0.0017426
15,79.8409,1.26181,1.82952,1.19766,0.9957,0.76923,0.81045,0.52936,1.27898,1.62204,1.08441,0.0017228,0.0017228,0.0017228
16,84.5967,1.17466,1.60956,1.1438,0.79775,0.60759,0.65903,0.39517,1.37245,2.05574,1.12488,0.001703,0.001703,0.001703
17,90.1178,1.24395,1.81537,1.16266,0.79159,0.61538,0.64207,0.43265,1.35916,2.0957,1.13902,0.0016832,0.0016832,0.0016832
18,96.5275,1.24905,1.80375,1.2291,0.96008,0.61538,0.62138,0.36438,1.42625,2.28036,1.16893,0.0016634,0.0016634,0.0016634
19,100.593,1.30535,1.75814,1.31872,0.96491,0.69231,0.70047,0.43291,1.42625,2.28036,1.16893,0.0016436,0.0016436,0.0016436
20,105.908,1.26418,2.26726,1.24231,0.78878,0.61538,0.62985,0.3772,1.34823,2.21854,1.14564,0.0016238,0.0016238,0.0016238
21,112.007,1.24998,2.1159,1.26012,0.8783,0.61538,0.71139,0.43615,1.35629,2.23811,1.16356,0.001604,0.001604,0.001604
22,116.014,1.25576,1.71912,1.28408,0.8783,0.61538,0.71139,0.43615,1.35629,2.23811,1.16356,0.0015842,0.0015842,0.0015842
23,122.389,1.12382,1.74397,1.13378,0.77585,0.80011,0.81809,0.49229,1.31544,1.68639,1.14347,0.0015644,0.0015644,0.0015644
24,129.006,1.20007,1.90058,1.17839,0.89584,0.76923,0.82092,0.53394,1.1595,1.74837,1.09991,0.0015446,0.0015446,0.0015446
25,132.984,1.19204,1.81949,1.23734,0.90101,0.84615,0.89766,0.60922,1.1595,1.74837,1.09991,0.0015248,0.0015248,0.0015248
26,139.583,1.21377,1.57027,1.18285,0.8887,0.76923,0.85177,0.58136,1.22232,1.7489,1.14815,0.001505,0.001505,0.001505
27,144.665,1.13707,2.21655,1.15499,0.95226,0.84615,0.91978,0.63532,1.09401,1.38169,1.00457,0.0014852,0.0014852,0.0014852
28,148.643,1.08657,1.63348,1.15533,0.95226,0.84615,0.91978,0.63532,1.09401,1.38169,1.00457,0.0014654,0.0014654,0.0014654
29,153.412,1.1535,1.43078,1.18744,1,0.9181,0.9373,0.6983,1.05555,1.24791,0.96644,0.0014456,0.0014456,0.0014456
30,159.186,1.08537,1.40919,1.13073,0.98439,0.92308,0.9587,0.71657,0.99848,1.11942,0.95835,0.0014258,0.0014258,0.0014258
31,163.204,1.01772,1.33583,1.13729,0.98439,0.92308,0.9587,0.71657,0.99848,1.11942,0.95835,0.001406,0.001406,0.001406
32,168.995,1.05333,1.54575,1.16045,0.99548,0.92308,0.95435,0.68417,1.01515,1.11531,0.9754,0.0013862,0.0013862,0.0013862
33,175.675,1.13542,1.54067,1.17901,0.90327,0.84615,0.92627,0.66074,1.01333,1.21043,0.98427,0.0013664,0.0013664,0.0013664
34,181.385,1.20076,1.8186,1.15242,0.9586,0.76923,0.89797,0.67231,0.97864,1.34028,0.97727,0.0013466,0.0013466,0.0013466
35,185.506,0.97075,1.55208,1.09026,0.9586,0.76923,0.89797,0.67231,0.97864,1.34028,0.97727,0.0013268,0.0013268,0.0013268
36,191.108,1.1092,1.36214,1.16484,0.90138,0.76923,0.88525,0.65738,0.9794,1.29497,0.96785,0.001307,0.001307,0.001307
37,196.561,1.08746,1.43254,1.13621,0.88612,0.76923,0.87662,0.60734,1.03246,1.28247,0.98437,0.0012872,0.0012872,0.0012872
38,200.506,0.9412,1.22956,1.05902,0.88612,0.76923,0.87662,0.60734,1.03246,1.28247,0.98437,0.0012674,0.0012674,0.0012674
39,206.206,1.04497,1.42034,1.15559,0.88249,0.76923,0.86728,0.6066,1.06541,1.23281,0.99924,0.0012476,0.0012476,0.0012476
40,212.836,0.99717,1.31842,1.09303,0.7827,0.84615,0.86961,0.61542,1.05415,1.20165,0.99122,0.0012278,0.0012278,0.0012278
41,216.892,1.08647,1.30032,1.15421,0.7827,0.84615,0.86961,0.61542,1.05415,1.20165,0.99122,0.001208,0.001208,0.001208
42,223.973,0.93815,1.15801,1.07324,0.64276,0.61538,0.55813,0.40748,0.94889,1.15571,0.9723,0.0011882,0.0011882,0.0011882
43,231.061,1.08181,1.34255,1.17812,0.68814,0.67981,0.60061,0.4003,1.06356,1.13397,1.00963,0.0011684,0.0011684,0.0011684
44,237.422,0.96585,1.1983,1.07375,0.84467,0.83725,0.91726,0.62098,1.06356,1.13397,1.00963,0.0011486,0.0011486,0.0011486
45,244.71,0.94148,1.11034,1.10087,0.96333,0.84615,0.90936,0.6169,1.0971,1.12677,1.02692,0.0011288,0.0011288,0.0011288
46,254.724,1.0607,1.18185,1.12796,0.98891,0.92308,0.97853,0.73607,0.95687,1.00902,0.97655,0.001109,0.001109,0.001109
47,258.832,0.88794,1.00671,1.0439,0.98891,0.92308,0.97853,0.73607,0.95687,1.00902,0.97655,0.0010892,0.0010892,0.0010892
48,265.766,0.98052,1.10993,1.12046,0.98682,0.84615,0.90536,0.68925,0.93827,0.91038,0.96298,0.0010694,0.0010694,0.0010694
49,272.884,1.06576,1.21059,1.15416,0.9858,0.84615,0.91394,0.65534,1.01226,0.92126,0.97344,0.0010496,0.0010496,0.0010496
50,279.868,0.99843,1.17689,1.08773,0.98506,0.61538,0.68197,0.46341,1.08355,0.93344,0.99121,0.0010298,0.0010298,0.0010298
51,286.13,0.88305,1.10185,1.08262,0.99183,0.92308,0.98567,0.69884,1.08355,0.93344,0.99121,0.00101,0.00101,0.00101
52,292.773,0.89249,1.08384,1.04145,0.98975,0.53846,0.60157,0.38411,1.15053,0.97587,1.02352,0.0009902,0.0009902,0.0009902
53,299.987,0.93709,1.06796,1.08302,1,0.67934,0.69651,0.42625,1.16214,0.95804,1.05259,0.0009704,0.0009704,0.0009704
54,308.521,1.14233,1.49545,1.10425,1,0.98675,0.995,0.66189,1.16214,0.95804,1.05259,0.0009506,0.0009506,0.0009506
55,315.045,0.91366,1.13356,1.06892,0.99181,0.61538,0.66794,0.40726,1.14892,0.96522,1.07251,0.0009308,0.0009308,0.0009308
56,323.559,1.03204,1.01341,1.10225,1,0.61399,0.65251,0.3962,1.08696,0.9745,1.02472,0.000911,0.000911,0.000911
57,329.989,0.92328,1.0134,1.03149,0.99824,0.92308,0.96,0.64505,1.08696,0.9745,1.02472,0.0008912,0.0008912,0.0008912
58,337.087,0.90909,0.95883,1.05098,1,0.61237,0.64531,0.42265,1.05744,0.9469,1.01038,0.0008714,0.0008714,0.0008714
59,344.25,0.94963,1.10293,1.04139,1,0.61145,0.64531,0.43199,1.04822,0.90771,1.00707,0.0008516,0.0008516,0.0008516
60,351.012,0.87938,1.09832,1.02939,1,0.91775,0.95533,0.69201,1.04822,0.90771,1.00707,0.0008318,0.0008318,0.0008318
61,358.174,0.865,1.13437,1.09816,1,0.84064,0.87633,0.6607,0.95063,0.88643,0.97373,0.000812,0.000812,0.000812
62,372.55,0.83136,0.94173,0.98287,0.9826,0.30769,0.30965,0.22744,0.96874,0.89488,0.96753,0.0007922,0.0007922,0.0007922
63,406.816,0.92096,0.9816,1.06055,1,0.61095,0.62018,0.47111,0.96874,0.89488,0.96753,0.0007724,0.0007724,0.0007724
64,414.02,0.89523,0.98209,1.0758,1,0.61067,0.62371,0.45568,1.01654,0.99023,1.04614,0.0007526,0.0007526,0.0007526
65,421.555,0.81355,0.99584,1.02502,0.87528,0.61538,0.63642,0.45617,1.06851,0.96654,1.08145,0.0007328,0.0007328,0.0007328
66,430.726,0.84733,0.89429,1.03081,0.8758,0.61538,0.65262,0.45993,1.05254,0.93583,1.05876,0.000713,0.000713,0.000713
67,436.398,0.9589,1.02578,1.06828,0.91423,0.92308,0.95676,0.66287,1.05254,0.93583,1.05876,0.0006932,0.0006932,0.0006932
68,443.991,0.92361,0.96416,1.08779,1,0.59846,0.68197,0.46765,1.01747,0.88944,1.00114,0.0006734,0.0006734,0.0006734
69,450.368,0.94025,0.92756,1.10387,0.99968,0.92308,0.98567,0.68044,1.01844,0.83745,0.98767,0.0006536,0.0006536,0.0006536
70,454.51,0.93469,0.98998,1.0561,0.99968,0.92308,0.98567,0.68044,1.01844,0.83745,0.98767,0.0006338,0.0006338,0.0006338
71,461.374,0.86835,0.97706,1.02707,0.9858,0.61538,0.68197,0.45197,0.99581,0.80653,0.97524,0.000614,0.000614,0.000614
72,468.492,0.90464,1.18598,1.04823,0.9878,0.61538,0.68197,0.45304,0.96739,0.79184,0.96728,0.0005942,0.0005942,0.0005942
73,474.69,0.73176,1.54051,0.90885,0.9971,0.92308,0.98567,0.69726,0.96739,0.79184,0.96728,0.0005744,0.0005744,0.0005744
74,481.024,0.87113,0.94364,1.04457,0.7976,0.60708,0.59282,0.37448,0.96635,0.83519,0.96986,0.0005546,0.0005546,0.0005546
75,487.398,0.74293,1.12723,0.99338,0.85618,0.91636,0.90144,0.63651,0.94163,0.84221,0.95566,0.0005348,0.0005348,0.0005348
76,492.88,0.90252,0.94384,1.04343,0.86576,0.99264,0.97336,0.70764,0.94163,0.84221,0.95566,0.000515,0.000515,0.000515
77,500.268,0.91818,1.27281,1.11179,0.8658,0.99299,0.97336,0.70609,0.92847,0.83481,0.95348,0.0004952,0.0004952,0.0004952
78,506.823,0.8053,0.95315,1.0277,0.86585,0.99341,0.96433,0.68608,0.93833,0.84059,0.95121,0.0004754,0.0004754,0.0004754
79,511.023,0.90465,0.89302,1.03594,0.86585,0.99341,0.96433,0.68608,0.93833,0.84059,0.95121,0.0004556,0.0004556,0.0004556
80,519.712,0.74418,0.85006,1.0047,0.86615,0.9958,0.96433,0.70783,0.97962,0.85465,0.96337,0.0004358,0.0004358,0.0004358
