epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56979,1.64206,3.79231,1.36427,0.008,0.92308,0.19221,0.09332,1.22432,3.38734,1.05415,4e-05,4e-05,4e-05
2,8.52064,1.2731,3.54005,1.17931,0.008,0.92308,0.21465,0.13448,1.0808,3.34656,0.98759,9.901e-05,9.901e-05,9.901e-05
3,12.1991,1.14501,2.90716,1.11601,0.008,0.92308,0.28192,0.19871,1.01652,3.19128,0.93738,0.000156832,0.000156832,0.000156832
4,16.0627,1.25039,2.24817,1.06972,0.008,0.92308,0.30599,0.19113,1.01402,3.09573,0.90153,0.000213466,0.000213466,0.000213466
5,19.8437,1.17708,2.23785,1.06493,0.008,0.92308,0.41304,0.29254,0.88261,2.97376,0.85942,0.000268912,0.000268912,0.000268912
6,23.6632,1.09488,1.61981,1.01551,0.008,0.92308,0.42145,0.27581,0.85854,3.01928,0.87522,0.00032317,0.00032317,0.00032317
7,28.1828,1.09436,1.64545,1.05826,0.008,0.92308,0.30229,0.217,1.0047,3.15138,0.91815,0.00037624,0.00037624,0.00037624
8,33.1016,1.0581,1.62331,1.0304,0.008,0.92308,0.27195,0.20367,0.96247,3.1435,0.91423,0.000428122,0.000428122,0.000428122
9,37.1675,1.14113,1.75337,1.10795,0.01318,0.92308,0.24801,0.2118,0.89833,3.06623,0.89712,0.000478816,0.000478816,0.000478816
10,42.2351,1.05564,1.49735,1.01159,0.008,0.92308,0.2475,0.21044,0.96077,3.12458,0.9369,0.000528322,0.000528322,0.000528322
11,46.1045,1.1193,1.42352,0.99506,0.008,0.92308,0.24639,0.20476,0.9672,3.18584,0.92479,0.00057664,0.00057664,0.00057664
12,49.604,1.11588,1.78553,1.04301,0.008,0.92308,0.2455,0.19115,0.98823,3.20546,0.91841,0.00062377,0.00062377,0.00062377
13,53.0943,0.95037,1.56619,1.01611,1,0.12883,0.21385,0.15444,1.13705,3.14793,0.94444,0.000669712,0.000669712,0.000669712
14,56.753,1.20844,1.79204,1.10206,1,0.1347,0.29795,0.21748,1.17983,3.06261,0.94808,0.000714466,0.000714466,0.000714466
15,60.4435,1.05097,1.3969,1.00924,0.76003,0.24619,0.44973,0.33694,1.18247,2.93205,0.9591,0.000758032,0.000758032,0.000758032
16,64.2252,1.04937,1.48264,1.06188,0.91208,0.23077,0.39874,0.30056,1.11418,2.86177,0.95265,0.00080041,0.00080041,0.00080041
17,67.8881,1.10025,1.71117,1.08108,0.83063,0.23077,0.41765,0.29878,1.23742,2.95744,1.05102,0.0008416,0.0008416,0.0008416
18,71.3696,1.14705,1.65118,1.07828,1,0.29156,0.53066,0.40224,1.28327,2.85914,1.03382,0.000881602,0.000881602,0.000881602
