epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61706,1.4668,3.58502,1.2033,0.008,0.92308,0.37483,0.22545,1.05174,3.28637,0.94906,0.0002,0.0002,0.0002
2,14.8392,1.29679,3.28372,1.17502,0.008,0.92308,0.45731,0.24885,1.05992,3.21322,0.93497,0.000411684,0.000411684,0.000411684
3,21.1416,1.17443,2.42702,1.10947,0.008,0.92308,0.48709,0.27357,1.06717,3.16955,0.95188,0.000614656,0.000614656,0.000614656
4,27.6116,1.13715,2.39017,1.07198,0.00867,1,0.45615,0.27998,1.09069,3.19506,0.96593,0.000808916,0.000808916,0.000808916
5,33.6337,1.23516,2.29966,1.15598,0.01254,0.61538,0.41757,0.26526,1.21901,3.11994,1.06148,0.000994464,0.000994464,0.000994464
6,39.8545,1.23015,2.36827,1.20321,0.00733,0.84615,0.5331,0.29557,1.22762,2.93484,1.08567,0.0011713,0.0011713,0.0011713
7,45.6633,1.21383,2.31216,1.28024,0.00689,0.69231,0.49353,0.31414,1.15626,3.02855,1.08741,0.00133942,0.00133942,0.00133942
8,51.6417,1.28074,2.02903,1.26793,0.85796,0.46504,0.56859,0.39996,1.10685,2.6012,1.08237,0.00149884,0.00149884,0.00149884
9,57.2674,1.07605,5.20257,1.129,0.85796,0.46504,0.56859,0.39996,1.10685,2.6012,1.08237,0.00164954,0.00164954,0.00164954
10,63.2415,1.3023,2.64709,1.25534,1,0.27983,0.40936,0.24577,1.41008,2.8956,1.23479,0.0016436,0.0016436,0.0016436
11,70.058,1.38847,2.7645,1.26163,0.7231,0.76923,0.7944,0.49493,1.31969,2.19798,1.29255,0.001604,0.001604,0.001604
12,75.5769,1.23379,2.46585,1.19087,0.7231,0.76923,0.7944,0.49493,1.31969,2.19798,1.29255,0.0015644,0.0015644,0.0015644
13,82.1095,1.22486,1.98332,1.17047,0.53767,0.7166,0.57474,0.34908,1.19585,2.48475,1.17227,0.0015248,0.0015248,0.0015248
14,88.8107,1.34721,2.17911,1.25035,0.92461,0.69231,0.85985,0.45951,1.28109,2.36296,1.20223,0.0014852,0.0014852,0.0014852
15,95.072,1.25942,1.91082,1.1716,0.92461,0.69231,0.85985,0.45951,1.28109,2.36296,1.20223,0.0014456,0.0014456,0.0014456
16,102.457,1.19934,1.58824,1.10211,1,0.83812,0.90393,0.51446,1.23847,1.96546,1.10074,0.001406,0.001406,0.001406
17,110.033,1.2011,1.96649,1.11497,0.98485,0.69231,0.85734,0.56016,1.24445,1.65728,1.08309,0.0013664,0.0013664,0.0013664
18,117.43,1.19637,1.79389,1.15633,0.8327,0.766,0.83183,0.45285,1.48813,1.73486,1.20501,0.0013268,0.0013268,0.0013268
19,125.8,1.33306,1.79008,1.24094,0.8327,0.766,0.83183,0.45285,1.48813,1.73486,1.20501,0.0012872,0.0012872,0.0012872
20,132.718,1.2364,2.13323,1.1576,1,0.69099,0.86115,0.5194,1.31289,1.56372,1.09176,0.0012476,0.0012476,0.0012476
21,141.363,1.2309,2.03719,1.17619,0.87623,0.76923,0.90337,0.56192,1.19954,1.48992,1.04679,0.001208,0.001208,0.001208
22,150.226,1.17793,1.66963,1.21413,0.87623,0.76923,0.90337,0.56192,1.19954,1.48992,1.04679,0.0011684,0.0011684,0.0011684
23,158.987,1.15134,1.70783,1.12072,0.85643,1,0.93667,0.58767,1.27999,1.41217,1.13301,0.0011288,0.0011288,0.0011288
24,168.517,1.17522,1.92039,1.1373,0.97703,0.84615,0.97045,0.67056,1.11043,1.36769,1.04452,0.0010892,0.0010892,0.0010892
25,175.475,1.11465,1.78776,1.17563,0.97703,0.84615,0.97045,0.67056,1.11043,1.36769,1.04452,0.0010496,0.0010496,0.0010496
26,187.391,1.08942,1.45034,1.10875,1,0.91359,0.97853,0.68479,1.13213,1.2036,1.03302,0.00101,0.00101,0.00101
27,196.317,1.05689,2.14578,1.13872,0.9877,0.84615,0.97572,0.69063,1.04421,1.29757,0.98742,0.0009704,0.0009704,0.0009704
28,205.761,1.01255,1.69979,1.08203,0.9877,0.84615,0.97572,0.69063,1.04421,1.29757,0.98742,0.0009308,0.0009308,0.0009308
29,214.72,1.10593,1.46371,1.15834,0.9276,0.98636,0.98429,0.73267,1.02787,1.18739,0.98759,0.0008912,0.0008912,0.0008912
30,224.793,1.05787,1.4431,1.12427,1,0.99565,0.995,0.75489,0.968,1.12725,0.97034,0.0008516,0.0008516,0.0008516
31,233.33,1.02543,1.35189,1.15775,1,0.99565,0.995,0.75489,0.968,1.12725,0.97034,0.000812,0.000812,0.000812
