epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.04766,1.57526,4.19655,1.32606,0.008,0.92308,0.25189,0.14581,1.13863,3.30335,0.9595,0.0001,0.0001,0.0001
2,8.26438,1.18504,3.19317,1.09992,0.00733,0.84615,0.62938,0.35912,1.12724,3.25903,0.93923,0.000217822,0.000217822,0.000217822
3,13.3794,1.273,2.4323,1.11337,0.01736,0.92308,0.43254,0.25294,1.16387,3.10169,0.95618,0.000333268,0.000333268,0.000333268
4,17.8481,1.20157,1.73038,1.04073,0.49993,0.30769,0.37915,0.23983,1.15413,3.08075,0.94856,0.000446338,0.000446338,0.000446338
5,22.368,1.05221,1.73534,1.03992,0.008,0.92308,0.4457,0.30899,1.08463,3.08843,0.90685,0.000557032,0.000557032,0.000557032
6,28.9604,1.12125,1.63096,1.07698,0.683,0.38462,0.45444,0.28727,1.06289,3.04214,0.92186,0.00066535,0.00066535,0.00066535
7,33.29,1.09319,1.74065,1.1237,0.01195,0.68927,0.54551,0.30208,1.2344,2.96359,1.01319,0.000771292,0.000771292,0.000771292
8,37.7421,1.16604,1.7551,1.15264,0.01341,0.76304,0.38548,0.23486,1.15523,3.09797,1.00706,0.000874858,0.000874858,0.000874858
9,42.2277,1.08059,1.78446,1.06741,0.48755,0.38462,0.37856,0.23275,1.19153,3.04781,1.03034,0.000976048,0.000976048,0.000976048
10,47.6282,1.05385,2.45938,1.11521,1,0.16623,0.51553,0.31825,1.17311,2.82453,1.00829,0.00107486,0.00107486,0.00107486
11,54.2086,1.38423,1.83398,1.21397,0.76841,0.53846,0.55445,0.36463,1.10241,2.72026,0.9711,0.0011713,0.0011713,0.0011713
12,63.3128,1.17876,1.55663,1.06643,0.75459,0.47424,0.62787,0.43127,1.15218,2.5754,0.97042,0.00126536,0.00126536,0.00126536
13,73.5959,1.15499,1.5925,1.0538,0.71595,0.58344,0.67572,0.43244,1.35775,2.29332,1.0124,0.00135705,0.00135705,0.00135705
14,78.0753,1.3594,1.96207,1.21892,0.62981,0.53846,0.5906,0.41662,1.21323,2.2192,0.98648,0.00144636,0.00144636,0.00144636
15,81.8186,1.22101,1.70413,1.08915,0.62981,0.53846,0.5906,0.41662,1.21323,2.2192,0.98648,0.00153329,0.00153329,0.00153329
16,87.6226,1.008,1.54339,1.05464,0.40106,0.30769,0.32952,0.22908,1.17868,1.92833,0.96927,0.00161785,0.00161785,0.00161785
17,94.0061,1.20874,1.85852,1.06955,0.56131,0.76923,0.6936,0.4992,1.16581,1.76917,0.95863,0.0016832,0.0016832,0.0016832
18,99.5201,1.12512,1.60884,1.06382,1,0.79297,0.85065,0.59641,1.23255,1.82741,0.97048,0.0016634,0.0016634,0.0016634
19,105.708,1.17812,1.86848,1.15127,1,0.79297,0.85065,0.59641,1.23255,1.82741,0.97048,0.0016436,0.0016436,0.0016436
20,111.072,1.08557,2.04309,1.05829,0.77329,0.78819,0.7758,0.57239,1.21788,1.83514,0.968,0.0016238,0.0016238,0.0016238
21,116.644,1.16274,1.69575,1.14082,0.91179,0.79659,0.86222,0.59273,1.2861,1.62024,1.02858,0.001604,0.001604,0.001604
22,122.671,1.25896,1.69559,1.15989,0.91421,0.76923,0.93022,0.6367,1.3374,1.54078,1.08279,0.0015842,0.0015842,0.0015842
23,126.634,1.0967,1.63168,1.09584,0.91421,0.76923,0.93022,0.6367,1.3374,1.54078,1.08279,0.0015644,0.0015644,0.0015644
24,132.827,1.15097,1.78618,1.08334,0.77357,0.5268,0.55347,0.41954,1.14818,1.52773,0.99678,0.0015446,0.0015446,0.0015446
25,138.241,1.25783,1.74161,1.21753,0.87054,0.69231,0.83133,0.60235,1.03057,1.42591,0.95843,0.0015248,0.0015248,0.0015248
26,143.691,1.17453,1.4957,1.08651,1,0.76135,0.89892,0.61568,1.12803,1.47199,0.99592,0.001505,0.001505,0.001505
27,147.54,1.0769,1.56241,1.09452,1,0.76135,0.89892,0.61568,1.12803,1.47199,0.99592,0.0014852,0.0014852,0.0014852
28,153.575,1.10944,1.48064,1.13214,1,0.67929,0.69651,0.42792,1.22655,1.37085,1.02743,0.0014654,0.0014654,0.0014654
