epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03002,1.57525,4.19656,1.32606,0.008,0.92308,0.25189,0.14581,1.13864,3.30335,0.9595,0.0001,0.0001,0.0001
2,7.7943,1.18504,3.19317,1.09992,0.00733,0.84615,0.62938,0.35912,1.12723,3.25904,0.93923,0.000217822,0.000217822,0.000217822
3,12.2474,1.27301,2.43232,1.11337,0.01736,0.92308,0.43254,0.25294,1.16391,3.10167,0.95618,0.000333268,0.000333268,0.000333268
4,16.7014,1.20173,1.73045,1.04089,0.49809,0.30769,0.3783,0.23944,1.15385,3.08133,0.94859,0.000446338,0.000446338,0.000446338
5,21.1313,1.0523,1.73504,1.03998,0.008,0.92308,0.44578,0.30928,1.08249,3.09052,0.90802,0.000557032,0.000557032,0.000557032
6,25.6407,1.12166,1.62653,1.07553,0.77161,0.30769,0.45464,0.29846,1.06214,3.05093,0.91997,0.00066535,0.00066535,0.00066535
7,29.4937,1.10222,1.74986,1.12314,0.008,0.92308,0.54482,0.29856,1.24992,2.97168,0.99684,0.000771292,0.000771292,0.000771292
8,32.9869,1.15259,1.76402,1.13935,0.008,0.92308,0.36067,0.2236,1.15603,3.11678,1.01554,0.000874858,0.000874858,0.000874858
9,36.4707,1.10385,1.81118,1.06734,0.74087,0.22234,0.37264,0.23829,1.16684,3.01976,1.02937,0.000976048,0.000976048,0.000976048
10,40.2449,1.17838,2.25173,1.16031,0.85801,0.46526,0.66566,0.43471,1.13591,2.79482,0.97785,0.00107486,0.00107486,0.00107486
11,44.1438,1.34863,1.81582,1.19271,0.01342,0.84615,0.81934,0.55768,1.11835,2.6709,0.98431,0.0011713,0.0011713,0.0011713
12,49.4139,1.19637,1.5463,1.08661,1,0.47969,0.77675,0.51281,1.26898,2.54386,1.05538,0.00126536,0.00126536,0.00126536
13,53.9927,1.1502,1.60501,1.0899,0.72145,0.53846,0.73651,0.40213,1.37829,2.26136,1.05649,0.00135705,0.00135705,0.00135705
14,59.4907,1.3324,2.00238,1.21607,0.66943,0.62369,0.73146,0.43761,1.29648,2.21442,1.00891,0.00144636,0.00144636,0.00144636
15,63.1492,1.16081,1.67626,1.10798,0.66943,0.62369,0.73146,0.43761,1.29648,2.21442,1.00891,0.00153329,0.00153329,0.00153329
16,68.4267,0.93453,1.48578,1.01532,1,0.68326,0.85207,0.57073,1.29061,1.90745,0.98321,0.00161785,0.00161785,0.00161785
17,72.8548,1.05829,1.81762,1.01921,0.93234,0.69231,0.79476,0.58334,1.11037,1.88634,0.9386,0.0016832,0.0016832,0.0016832
18,76.6172,1.02952,1.58339,1.0475,0.79826,0.69231,0.73332,0.50323,1.21764,2.14531,1.03478,0.0016634,0.0016634,0.0016634
19,79.9185,1.09864,1.72868,1.09153,0.79826,0.69231,0.73332,0.50323,1.21764,2.14531,1.03478,0.0016436,0.0016436,0.0016436
20,85.4035,1.08244,1.83723,1.0645,0.79251,0.76923,0.74706,0.49886,1.2542,2.09646,1.04656,0.0016238,0.0016238,0.0016238
21,89.4117,1.24499,1.63455,1.1817,0.76532,0.75357,0.71844,0.4272,1.37271,1.77393,1.12453,0.001604,0.001604,0.001604
22,93.1059,1.26992,1.59554,1.20849,0.7791,0.61538,0.70811,0.47618,1.29607,1.6652,1.08348,0.0015842,0.0015842,0.0015842
23,96.7303,1.07942,1.49655,1.09034,0.7791,0.61538,0.70811,0.47618,1.29607,1.6652,1.08348,0.0015644,0.0015644,0.0015644
24,100.411,1.19797,1.95421,1.11895,0.7209,0.5974,0.74843,0.5133,1.26854,1.85981,1.04534,0.0015446,0.0015446,0.0015446
25,106.374,1.2317,1.74749,1.21767,0.53504,0.61538,0.52604,0.37254,1.13508,1.48599,1.01018,0.0015248,0.0015248,0.0015248
26,112.546,1.1608,1.33643,1.08089,1,0.61378,0.6442,0.51272,1.03466,1.3692,1.00992,0.001505,0.001505,0.001505
27,118.812,1.16048,1.47442,1.21163,0.91066,0.92308,0.94051,0.64326,1.03466,1.3692,1.00992,0.0014852,0.0014852,0.0014852
28,125.271,1.03397,1.41679,1.10723,1,0.60795,0.64531,0.48211,1.03065,1.32276,0.97458,0.0014654,0.0014654,0.0014654
29,131.924,0.93499,1.50035,1.07712,0.97307,0.46154,0.55966,0.41075,1.01833,1.17908,0.96344,0.0014456,0.0014456,0.0014456
30,138.035,1.08483,1.27921,1.13946,1,0.60891,0.61757,0.42958,0.98553,1.08663,0.95054,0.0014258,0.0014258,0.0014258
31,144.05,0.99869,1.2903,1.12578,1,0.68198,0.69651,0.49475,0.98553,1.08663,0.95054,0.001406,0.001406,0.001406
32,165.787,1.09405,1.35488,1.1161,0.80549,1,0.91002,0.67098,0.95273,1.13571,0.93461,0.0013862,0.0013862,0.0013862
33,174,0.97175,1.1817,1.06928,0.73647,0.69231,0.56851,0.44248,0.90244,1.12581,0.89969,0.0013664,0.0013664,0.0013664
34,180.589,1.06708,1.39844,1.11704,0.7983,0.6095,0.55407,0.44171,0.95943,1.03524,0.9079,0.0013466,0.0013466,0.0013466
35,187.445,1.0866,1.25986,1.0956,0.83464,0.84615,0.8737,0.58945,0.95943,1.03524,0.9079,0.0013268,0.0013268,0.0013268
36,195.013,1.04381,1.1206,1.05963,0.98527,1,0.995,0.72031,1.06307,1.01103,0.98603,0.001307,0.001307,0.001307
37,202.006,1.10659,1.34738,1.13856,0.98711,0.61538,0.61757,0.4325,1.09497,1.04355,1.00144,0.0012872,0.0012872,0.0012872
38,208.399,1.11624,1.3759,1.15783,0.98018,0.92308,0.92536,0.65083,1.04137,1.03183,0.96539,0.0012674,0.0012674,0.0012674
39,213.756,0.99724,1.36059,1.12509,0.98159,1,0.995,0.72999,1.04137,1.03183,0.96539,0.0012476,0.0012476,0.0012476
40,220.072,0.925,1.15744,1.05051,0.8651,0.53846,0.58215,0.4283,1.02475,1.01012,0.9451,0.0012278,0.0012278,0.0012278
41,227.319,1.178,1.22233,1.17267,0.91603,0.83966,0.87858,0.65077,1.0625,1.06738,0.94673,0.001208,0.001208,0.001208
42,233.64,1.0379,1.16954,1.12234,1,0.38373,0.52396,0.32646,1.15649,1.14044,0.9643,0.0011882,0.0011882,0.0011882
43,238.948,0.99285,1.04191,1.06065,1,0.76163,0.92556,0.64867,1.15649,1.14044,0.9643,0.0011684,0.0011684,0.0011684
