epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.42355,1.4668,3.58502,1.2033,0.008,0.92308,0.37483,0.22545,1.05176,3.28636,0.94906,0.0002,0.0002,0.0002
2,9.26646,1.29691,3.28359,1.17501,0.008,0.92308,0.45731,0.24885,1.06023,3.21327,0.93515,0.000411684,0.000411684,0.000411684
3,13.6334,1.17329,2.42882,1.10891,0.008,0.92308,0.47867,0.2579,1.06814,3.17264,0.95126,0.000614656,0.000614656,0.000614656
4,18.6476,1.13963,2.38761,1.07638,0.00867,1,0.49003,0.28853,1.11963,3.19494,0.96926,0.000808916,0.000808916,0.000808916
5,24.4775,1.2425,2.29739,1.16473,0.01187,0.61538,0.4033,0.25806,1.21155,3.13624,1.05521,0.000994464,0.000994464,0.000994464
6,29.5991,1.23979,2.43984,1.21684,0.01124,0.61538,0.52351,0.2752,1.18385,3.06368,1.07069,0.0011713,0.0011713,0.0011713
7,35.2434,1.20397,2.35048,1.26305,1,0.24092,0.48576,0.32034,1.20742,2.96682,1.16817,0.00133942,0.00133942,0.00133942
8,42.0383,1.28606,2.06555,1.26661,0.92225,0.38462,0.54849,0.4124,1.15083,2.66362,1.08317,0.00149884,0.00149884,0.00149884
9,46.5958,1.13098,5.18965,1.13597,0.92225,0.38462,0.54849,0.4124,1.15083,2.66362,1.08317,0.00164954,0.00164954,0.00164954
10,54.1397,1.31228,2.59592,1.24719,0.9237,0.30769,0.33583,0.22535,1.42803,2.96791,1.24795,0.0016436,0.0016436,0.0016436
11,61.923,1.3898,2.68997,1.26894,0.74575,0.45239,0.66049,0.40689,1.31327,2.4335,1.24066,0.001604,0.001604,0.001604
12,66.851,1.19266,2.38504,1.2021,0.74575,0.45239,0.72351,0.44625,1.31327,2.4335,1.24066,0.0015644,0.0015644,0.0015644
