epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0111,1.57526,4.19655,1.32606,0.008,0.92308,0.25189,0.14581,1.13863,3.30335,0.9595,0.0001,0.0001,0.0001
2,47.3259,1.18485,3.1943,1.1,0.00733,0.84615,0.62798,0.35862,1.13007,3.26267,0.93949,0.000215644,0.000215644,0.000215644
3,61.7501,1.27205,2.44107,1.11339,0.01698,0.92308,0.43175,0.25257,1.16873,3.10429,0.95532,0.000326536,0.000326536,0.000326536
4,82.5785,1.20022,1.7323,1.04018,0.47166,0.38462,0.40266,0.25387,1.1488,3.06864,0.94545,0.000432676,0.000432676,0.000432676
5,97.7488,1.05058,1.73903,1.03882,0.008,0.92308,0.49179,0.34298,1.06526,3.07366,0.91113,0.000534064,0.000534064,0.000534064
6,109.831,1.13514,1.6334,1.0858,0.008,0.92308,0.49741,0.3197,1.09364,3.05225,0.93693,0.0006307,0.0006307,0.0006307
7,122.175,1.10367,1.76306,1.11958,0.01132,0.69231,0.56549,0.32038,1.26824,2.94565,1.00775,0.000722584,0.000722584,0.000722584
8,138.039,1.04789,1.64398,1.1024,1,0.47524,0.61108,0.37925,1.23745,2.88719,0.99265,0.000809716,0.000809716,0.000809716
9,148.622,1.07577,1.66536,1.05402,1,0.27738,0.60413,0.46239,1.11124,2.88619,0.99079,0.000892096,0.000892096,0.000892096
10,159.524,1.05648,2.41594,1.12558,1,0.19569,0.60351,0.44386,0.95351,2.75363,0.93422,0.000969724,0.000969724,0.000969724
11,176.555,1.25857,1.69296,1.18888,0.86431,0.53846,0.59867,0.44713,0.98208,2.4855,1.03828,0.0010426,0.0010426,0.0010426
12,196.641,1.0939,1.46662,1.0683,0.95841,0.46154,0.61375,0.43357,1.25068,2.51315,1.15927,0.00111072,0.00111072,0.00111072
13,210.829,1.20863,1.55238,1.11239,0.78043,0.61538,0.71053,0.464,1.35042,2.28973,1.09058,0.0011741,0.0011741,0.0011741
14,220.342,1.34184,1.85458,1.2225,0.75841,0.72594,0.77176,0.50754,1.17811,2.13494,0.98624,0.00123272,0.00123272,0.00123272
15,228.017,1.11629,1.68732,1.05185,0.75841,0.72594,0.77176,0.50754,1.17811,2.13494,0.98624,0.00128658,0.00128658,0.00128658
16,240.276,0.93875,1.50713,1.00078,0.64492,0.69897,0.76502,0.4724,1.24498,1.89654,1.06287,0.0013357,0.0013357,0.0013357
17,251.897,1.05305,1.75573,1.01349,0.83279,0.76648,0.80885,0.57425,1.20143,1.54138,0.99306,0.0013664,0.0013664,0.0013664
18,261.969,1.00177,1.53093,1.03506,0.60959,0.72182,0.59559,0.38631,1.20153,1.72011,1.01884,0.0013268,0.0013268,0.0013268
19,266.923,1.06869,1.6769,1.11232,0.59423,0.78938,0.66459,0.4456,1.20153,1.72011,1.01884,0.0012872,0.0012872,0.0012872
20,280.8,1.1136,1.87238,1.0762,0.63174,0.76923,0.74623,0.51658,1.11839,1.72365,1.00611,0.0012476,0.0012476,0.0012476
21,288.351,1.16374,1.72466,1.12108,0.87373,0.61538,0.83153,0.60512,1.12075,1.5017,1.00851,0.001208,0.001208,0.001208
22,302.753,1.2339,1.66677,1.15475,0.73503,0.92308,0.91093,0.62558,1.10684,1.64168,1.00961,0.0011684,0.0011684,0.0011684
23,313.092,1.02622,1.48439,1.07793,0.73503,0.92308,0.91093,0.62558,1.10684,1.64168,1.00961,0.0011288,0.0011288,0.0011288
24,324.29,1.15749,1.92533,1.14074,0.66623,0.61538,0.5802,0.41885,1.14275,2.36917,1.01576,0.0010892,0.0010892,0.0010892
25,334.817,1.15615,1.60844,1.18362,0.87679,0.69231,0.83471,0.60237,1.04081,2.05498,0.97536,0.0010496,0.0010496,0.0010496
26,344.996,1.07438,1.3563,1.03786,0.75995,0.9751,0.94256,0.66224,1.0394,1.5131,0.9531,0.00101,0.00101,0.00101
27,354.694,1.00023,1.56495,1.04491,0.75995,0.9751,0.94256,0.66224,1.0394,1.5131,0.9531,0.0009704,0.0009704,0.0009704
28,366.512,0.9784,1.50271,1.05687,0.79849,0.69231,0.68197,0.48582,1.04418,1.40428,0.94622,0.0009308,0.0009308,0.0009308
29,377.159,1.01538,1.50104,1.07553,0.88616,0.69231,0.68851,0.4824,1.0957,1.22218,0.95945,0.0008912,0.0008912,0.0008912
30,389.784,1.06497,1.20315,1.12117,0.87905,0.61538,0.60868,0.45445,1.04041,1.11224,0.94133,0.0008516,0.0008516,0.0008516
31,400.707,0.9411,1.33436,1.10306,0.91782,1,0.99,0.72488,1.04041,1.11224,0.94133,0.000812,0.000812,0.000812
32,412.376,1.04982,1.40642,1.12733,1,0.60804,0.61757,0.43915,1.01714,1.00942,0.95187,0.0007724,0.0007724,0.0007724
33,424.159,0.95062,1.18393,1.03261,1,0.61362,0.61757,0.4509,0.96724,0.99202,0.93846,0.0007328,0.0007328,0.0007328
34,435.482,0.99283,1.33707,1.06526,0.92652,1,0.98429,0.74643,0.9566,0.9751,0.9366,0.0006932,0.0006932,0.0006932
35,443.259,0.94836,1.28729,1.04264,0.92652,1,0.98429,0.74643,0.9566,0.9751,0.9366,0.0006536,0.0006536,0.0006536
36,459.788,0.91894,1.08439,0.9927,0.85103,0.92308,0.90727,0.68591,0.90828,0.9601,0.90992,0.000614,0.000614,0.000614
37,470.751,1.00256,1.35987,1.09649,0.90433,0.92308,0.91306,0.69621,0.90313,0.94988,0.90317,0.0005744,0.0005744,0.0005744
38,481.034,0.93248,1.38911,1.06226,0.91584,1,0.99,0.75362,0.94454,0.95021,0.91624,0.0005348,0.0005348,0.0005348
39,490.037,0.98638,1.30868,1.09911,0.91584,1,0.99,0.75362,0.94454,0.95021,0.91624,0.0004952,0.0004952,0.0004952
40,501.788,0.88455,1.13814,1.02443,0.96041,1,0.995,0.74888,0.96912,0.91637,0.92027,0.0004556,0.0004556,0.0004556
41,512.644,0.91651,1.18512,0.97028,0.97342,1,0.995,0.74433,0.9833,0.92099,0.91978,0.000416,0.000416,0.000416
42,525.287,0.79147,1.22794,0.95285,0.97149,0.61538,0.61757,0.4336,0.99105,0.92076,0.92434,0.0003764,0.0003764,0.0003764
43,533.673,0.79352,1.18683,0.95966,0.98388,1,0.995,0.76328,0.99105,0.92076,0.92434,0.0003368,0.0003368,0.0003368
44,542.079,0.71586,1.09403,0.92084,0.99094,1,0.995,0.76647,0.96957,0.92316,0.92094,0.0002972,0.0002972,0.0002972
45,549.795,0.8833,1.39967,0.96604,0.99368,1,0.995,0.77833,0.95056,0.90252,0.9158,0.0002576,0.0002576,0.0002576
46,559.422,0.8235,1.21442,0.97097,0.99594,1,0.995,0.77906,0.9369,0.88941,0.91036,0.000218,0.000218,0.000218
47,569.055,0.80131,1.15645,0.9677,0.99594,1,0.995,0.77906,0.9369,0.88941,0.91036,0.0001784,0.0001784,0.0001784
48,581.146,0.76975,1.1047,0.93784,0.98973,0.61538,0.61757,0.46679,0.92168,0.88611,0.90543,0.0001388,0.0001388,0.0001388
49,592.355,0.78255,1.06568,0.96725,1,0.68858,0.69651,0.51583,0.91159,0.88758,0.90329,9.92e-05,9.92e-05,9.92e-05
50,598.511,0.75731,1.16215,0.94605,1,0.98538,0.995,0.77235,0.90328,0.8907,0.90207,5.96e-05,5.96e-05,5.96e-05
