epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7558,1.64206,3.79231,1.36427,0.008,0.92308,0.19221,0.09332,1.22432,3.38734,1.05415,4e-05,4e-05,4e-05
2,72.6632,1.27341,3.54087,1.17937,0.008,0.92308,0.21425,0.13437,1.08055,3.34608,0.98808,9.802e-05,9.802e-05,9.802e-05
3,91.8112,1.146,2.91335,1.11594,0.008,0.92308,0.28511,0.20852,1.01445,3.19119,0.93961,0.000153664,0.000153664,0.000153664
4,114.137,1.24644,2.26362,1.06737,0.008,0.92308,0.30826,0.1888,1.01581,3.11383,0.90128,0.000206932,0.000206932,0.000206932
5,135.894,1.16475,2.21199,1.05897,0.008,0.92308,0.36318,0.251,0.89233,2.99813,0.85948,0.000257824,0.000257824,0.000257824
6,155.524,1.10673,1.61234,1.01732,0.008,0.92308,0.34838,0.23332,0.89174,3.06241,0.88058,0.00030634,0.00030634,0.00030634
7,175.411,1.10243,1.62294,1.0551,0.008,0.92308,0.29364,0.22127,1.05206,3.11549,0.9176,0.00035248,0.00035248,0.00035248
8,194.241,1.04426,1.62835,1.02478,0.00867,1,0.27523,0.21502,1.05109,3.14465,0.93757,0.000396244,0.000396244,0.000396244
9,211.982,1.1705,1.81058,1.11851,0.01861,0.84615,0.26536,0.21199,1.00706,3.04477,0.9089,0.000437632,0.000437632,0.000437632
10,227.266,1.02189,1.46606,1.00175,0.21834,0.25898,0.26656,0.20722,1.03453,3.05444,0.92232,0.000476644,0.000476644,0.000476644
11,247.223,1.08397,1.39901,0.9921,0.008,0.92308,0.25154,0.19229,1.05088,3.08454,0.92591,0.00051328,0.00051328,0.00051328
12,261.389,1.06599,1.77313,1.0191,0.008,0.92308,0.24731,0.19205,1.04042,3.19837,0.94835,0.00054754,0.00054754,0.00054754
13,278.233,0.95239,1.62311,0.99765,1,0.22,0.25061,0.18543,1.15135,3.11611,0.9852,0.000579424,0.000579424,0.000579424
14,294.333,1.15551,1.76593,1.0434,0.97761,0.23077,0.30545,0.21849,1.20913,3.00781,0.98717,0.000608932,0.000608932,0.000608932
15,313.246,1.04254,1.36333,0.99107,0.91482,0.23077,0.33211,0.22196,1.29427,2.88624,0.98745,0.000636064,0.000636064,0.000636064
16,326.134,1.05088,1.4715,1.0707,0.92066,0.23077,0.36464,0.27536,1.21188,2.86989,0.97566,0.00066082,0.00066082,0.00066082
17,340.831,1.0068,1.66992,1.03473,0.9413,0.23077,0.28365,0.22536,1.26037,2.91928,1.0604,0.0006832,0.0006832,0.0006832
18,352.057,1.19415,1.65523,1.1024,0.94795,0.23077,0.28594,0.21116,1.25152,2.81295,1.04216,0.000703204,0.000703204,0.000703204
19,372.726,0.98924,1.3805,0.9889,0.96753,0.23077,0.31953,0.24097,1.20075,2.71861,1.01191,0.000720832,0.000720832,0.000720832
20,386.526,1.08096,1.314,1.08029,0.43058,0.53846,0.43518,0.31792,1.21729,2.53235,1.00341,0.000736084,0.000736084,0.000736084
21,398.391,0.90691,1.21385,1.01749,0.88458,0.53846,0.59613,0.45664,1.22185,2.29462,1.00817,0.00074896,0.00074896,0.00074896
22,412.551,1.02057,1.23385,1.04691,0.79438,0.53846,0.60481,0.43178,1.30083,2.30311,1.04525,0.00075946,0.00075946,0.00075946
23,424.666,1.10576,1.19237,1.01508,0.77072,0.53846,0.57682,0.40157,1.254,2.35347,1.0057,0.000767584,0.000767584,0.000767584
24,440.141,0.98902,1.14922,0.98956,0.83065,0.53846,0.64537,0.4481,1.14278,2.37233,0.9639,0.000773332,0.000773332,0.000773332
25,454.367,1.05503,1.20305,1.0038,0.88624,0.53846,0.82852,0.52485,1.14869,2.16174,0.95969,0.000776704,0.000776704,0.000776704
26,469.138,1.03511,1.21436,1.02106,0.8414,0.61538,0.85543,0.53529,1.26322,2.05578,1.00118,0.0007777,0.0007777,0.0007777
27,489.707,0.98763,1.26212,0.96134,1,0.20156,0.30965,0.17292,1.28295,2.08432,1.00871,0.00077632,0.00077632,0.00077632
28,504.296,0.94686,1.22421,0.99539,0.86479,0.53846,0.76278,0.50548,1.19537,2.05835,0.95858,0.000772564,0.000772564,0.000772564
29,518.53,0.88937,1.18463,0.96151,0.86479,0.53846,0.76278,0.50548,1.19537,2.05835,0.95858,0.000766432,0.000766432,0.000766432
30,532.511,0.86035,1.31664,0.97885,0.79179,0.53846,0.80493,0.56515,1.06261,1.85422,0.91348,0.000757924,0.000757924,0.000757924
31,545.912,0.88427,1.2312,1.00919,0.89931,0.68755,0.83913,0.5954,1.06131,1.70182,0.91927,0.00074704,0.00074704,0.00074704
32,553.905,0.93725,1.3186,1.00323,1,0.76298,0.88085,0.61072,1.18146,1.625,0.964,0.00073378,0.00073378,0.00073378
33,562.852,0.91153,1.30767,1.03793,1,0.76298,0.88085,0.61072,1.18146,1.625,0.964,0.000718144,0.000718144,0.000718144
34,575.496,0.94311,1.23603,0.96452,1,0.83252,0.8937,0.61847,1.22164,1.57948,1.00408,0.0006932,0.0006932,0.0006932
35,592.452,0.91207,1.25644,1.01662,0.97478,0.84615,0.90989,0.61915,1.21798,1.58766,1.00637,0.0006536,0.0006536,0.0006536
36,606.81,0.92868,1.24419,1.04612,0.97089,0.84615,0.91975,0.61752,1.17625,1.5741,0.98667,0.000614,0.000614,0.000614
37,621.294,0.86368,1.13385,0.97199,0.97089,0.84615,0.91975,0.61752,1.17625,1.5741,0.98667,0.0005744,0.0005744,0.0005744
38,632.599,0.88543,1.15031,1.00435,0.99701,0.92308,0.92604,0.64394,1.10942,1.56624,0.95695,0.0005348,0.0005348,0.0005348
39,646.842,0.88503,1.03577,0.96415,0.97643,0.92308,0.94478,0.66928,1.05045,1.49057,0.93452,0.0004952,0.0004952,0.0004952
