epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14666,1.57525,4.19656,1.32606,0.008,0.92308,0.25189,0.14581,1.13864,3.30335,0.9595,0.0001,0.0001,0.0001
2,8.13198,1.18485,3.1943,1.1,0.00733,0.84615,0.62798,0.35862,1.13007,3.26267,0.93948,0.000215644,0.000215644,0.000215644
3,12.6172,1.27205,2.44107,1.11339,0.01698,0.92308,0.43175,0.25257,1.16882,3.10424,0.95534,0.000326536,0.000326536,0.000326536
4,17.3085,1.20024,1.73232,1.04018,0.47166,0.38462,0.40267,0.25388,1.14886,3.06898,0.94544,0.000432676,0.000432676,0.000432676
5,22.0057,1.05058,1.73928,1.03884,0.008,0.92308,0.49179,0.34299,1.06016,3.08102,0.91132,0.000534064,0.000534064,0.000534064
6,26.0787,1.13589,1.63351,1.08589,0.008,0.92308,0.49759,0.31668,1.0953,3.05411,0.93776,0.0006307,0.0006307,0.0006307
7,29.9364,1.1041,1.76215,1.11933,0.01252,0.76923,0.56896,0.32226,1.27053,2.94342,1.0079,0.000722584,0.000722584,0.000722584
8,34.3775,1.04813,1.6499,1.10029,0.97807,0.53846,0.61112,0.38747,1.23266,2.8952,0.99436,0.000809716,0.000809716,0.000809716
9,38.2584,1.0728,1.66274,1.05061,1,0.27989,0.59832,0.43548,1.11136,2.87462,0.99573,0.000892096,0.000892096,0.000892096
10,43.0157,1.07035,2.54332,1.14782,1,0.21343,0.57785,0.41062,1.01923,2.76334,0.92675,0.000969724,0.000969724,0.000969724
11,47.1554,1.27211,1.71456,1.1769,1,0.50841,0.6264,0.43499,0.9764,2.49496,0.91625,0.0010426,0.0010426,0.0010426
12,52.5821,1.11404,1.53537,1.06354,1,0.50798,0.68003,0.488,1.17181,2.43684,0.98449,0.00111072,0.00111072,0.00111072
13,60.2434,1.17619,1.53843,1.06872,0.87845,0.61538,0.69925,0.44698,1.31437,2.18652,1.02992,0.0011741,0.0011741,0.0011741
14,64.281,1.31417,1.85056,1.17734,0.7547,0.71112,0.79373,0.5541,1.1865,2.04568,0.96979,0.00123272,0.00123272,0.00123272
15,67.8675,1.11732,1.58391,1.05153,0.7547,0.71112,0.79373,0.5541,1.1865,2.04568,0.96979,0.00128658,0.00128658,0.00128658
16,73.7871,0.89681,1.48017,1.00064,0.86538,0.49703,0.55757,0.38365,1.243,1.70909,1.00161,0.0013357,0.0013357,0.0013357
17,79.6513,1.02138,1.77243,1.00547,0.72971,0.83152,0.79892,0.48983,1.32604,1.67392,1.13307,0.0013664,0.0013664,0.0013664
