epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.63297,1.64206,3.79231,1.36427,0.008,0.92308,0.19221,0.09332,1.22432,3.38734,1.05415,4e-05,4e-05,4e-05
2,9.45966,1.2731,3.54005,1.17931,0.008,0.92308,0.21465,0.13448,1.0808,3.34656,0.98759,9.901e-05,9.901e-05,9.901e-05
3,13.2488,1.14501,2.90716,1.11601,0.008,0.92308,0.28192,0.19871,1.01651,3.19128,0.93738,0.000156832,0.000156832,0.000156832
4,17.156,1.25039,2.24817,1.06972,0.008,0.92308,0.30599,0.19113,1.01399,3.09572,0.90152,0.000213466,0.000213466,0.000213466
5,21.8144,1.17708,2.23788,1.06493,0.008,0.92308,0.41382,0.29306,0.88258,2.97376,0.85941,0.000268912,0.000268912,0.000268912
6,34.8738,1.09488,1.61972,1.01552,0.008,0.92308,0.42147,0.27582,0.85769,3.01916,0.87513,0.00032317,0.00032317,0.00032317
7,39.0535,1.09333,1.64605,1.05813,0.008,0.92308,0.30237,0.21704,1.00135,3.15232,0.91768,0.00037624,0.00037624,0.00037624
8,43.0065,1.05838,1.62347,1.03065,0.008,0.92308,0.27219,0.2037,0.97189,3.1355,0.9137,0.000428122,0.000428122,0.000428122
9,46.8123,1.14054,1.75369,1.10839,0.01729,0.84615,0.24821,0.21208,0.88298,3.06952,0.89711,0.000478816,0.000478816,0.000478816
10,55.1954,1.06001,1.48682,1.01365,0.008,0.92308,0.24761,0.21049,0.9622,3.12013,0.93412,0.000528322,0.000528322,0.000528322
11,63.2034,1.11598,1.41984,0.99218,0.008,0.92308,0.24647,0.19162,0.98775,3.17678,0.92714,0.00057664,0.00057664,0.00057664
12,67.0289,1.16588,1.80868,1.07952,0.008,0.92308,0.24428,0.18439,1.06358,3.29214,0.9693,0.00062377,0.00062377,0.00062377
13,71.3958,0.98798,1.60352,1.03101,1,0.13692,0.21239,0.14197,1.20753,3.24201,0.98858,0.000669712,0.000669712,0.000669712
14,76.247,1.18476,1.78006,1.11124,0.79758,0.23077,0.31616,0.25098,1.19439,3.17175,0.98668,0.000714466,0.000714466,0.000714466
15,80.1884,1.09956,1.4429,1.03753,0.67803,0.23077,0.37292,0.25443,1.20573,3.00917,0.99083,0.000758032,0.000758032,0.000758032
16,87.3752,1.07263,1.49911,1.08958,0.8931,0.23077,0.37964,0.27204,1.10152,2.89926,0.96908,0.00080041,0.00080041,0.00080041
17,91.1136,1.08745,1.77342,1.08857,1,0.26599,0.47974,0.31539,1.37132,2.9865,1.12062,0.0008416,0.0008416,0.0008416
18,98.6222,1.24591,1.67748,1.11501,1,0.24407,0.53361,0.36654,1.25118,2.85396,1.05572,0.000881602,0.000881602,0.000881602
19,102.566,1.05125,1.40811,1.00352,1,0.34714,0.52645,0.37587,1.2237,2.668,1.02325,0.000920416,0.000920416,0.000920416
20,107.076,1.11913,1.36844,1.10504,0.62801,0.46154,0.47268,0.33665,1.29741,2.52939,1.04244,0.000958042,0.000958042,0.000958042
21,110.813,1.13268,1.34514,1.11711,0.52447,0.51047,0.42905,0.29148,1.34559,2.45491,1.0527,0.00099448,0.00099448,0.00099448
22,118.16,1.12756,1.33245,1.1185,0.51004,0.38462,0.41797,0.29736,1.34155,2.34702,1.05391,0.00102973,0.00102973,0.00102973
23,125.696,1.20651,1.34372,1.03682,0.5746,0.31225,0.45526,0.33457,1.38418,2.3162,1.05418,0.00106379,0.00106379,0.00106379
24,129.26,1.17475,1.27289,1.03053,0.6769,0.46154,0.52699,0.37459,1.18627,2.18654,1.00907,0.00109667,0.00109667,0.00109667
25,136.446,1.09581,1.20204,1.03015,0.90928,0.46154,0.68268,0.55672,0.89122,1.87199,0.93463,0.00112835,0.00112835,0.00112835
26,142.358,1.08376,1.34096,1.06115,1,0.52122,0.75665,0.57592,1.01698,1.80559,0.95469,0.00115885,0.00115885,0.00115885
27,149.587,1.20302,1.37842,1.02688,1,0.52735,0.7451,0.53647,1.1612,1.87825,0.96775,0.00118816,0.00118816,0.00118816
28,158.68,1.06084,1.37451,1.02379,0.75227,0.46783,0.66265,0.47625,1.20001,1.96291,0.94899,0.00121628,0.00121628,0.00121628
29,162.499,0.93355,1.25997,0.9986,0.75227,0.46783,0.66265,0.47625,1.20001,1.96291,0.94899,0.00124322,0.00124322,0.00124322
30,167.8,0.95667,1.37218,1.03002,0.55256,0.57136,0.65126,0.47326,1.16026,1.71521,0.92337,0.00126896,0.00126896,0.00126896
31,176.721,0.98673,1.29657,1.05739,0.90127,0.92308,0.88375,0.59177,1.10679,1.54613,0.94914,0.00129352,0.00129352,0.00129352
32,182.842,1.02163,1.31421,1.02185,0.92102,0.30769,0.30965,0.20432,1.25006,1.59701,1.01791,0.00131689,0.00131689,0.00131689
33,189.423,1.0478,1.35463,1.09347,0.86241,0.61538,0.60093,0.38224,1.25006,1.59701,1.01791,0.00133907,0.00133907,0.00133907
34,193.973,1.01997,1.24206,1.0075,0.85457,0.90508,0.88577,0.57871,1.29075,1.52048,1.02198,0.0013466,0.0013466,0.0013466
35,197.566,1.02529,1.22548,1.08627,0.75472,0.71117,0.83267,0.53572,1.22321,1.50238,0.99467,0.0013268,0.0013268,0.0013268
36,201.285,1.08587,1.29689,1.14802,0.8304,0.92308,0.88152,0.56641,1.23603,1.52777,1.00994,0.001307,0.001307,0.001307
37,208.145,1.04075,1.15839,1.0481,0.8304,0.92308,0.88152,0.56641,1.23603,1.52777,1.00994,0.0012872,0.0012872,0.0012872
38,214.708,1.00843,1.18515,1.04526,0.90983,0.77675,0.90262,0.62018,1.15965,1.52276,0.96913,0.0012674,0.0012674,0.0012674
