epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.14738,1.64206,3.79231,1.36427,0.008,0.92308,0.19221,0.09332,1.22432,3.38734,1.05415,4e-05,4e-05,4e-05
2,9.76871,1.27341,3.54087,1.17937,0.008,0.92308,0.21425,0.13437,1.08055,3.34608,0.98808,9.802e-05,9.802e-05,9.802e-05
3,13.8449,1.146,2.91335,1.11594,0.008,0.92308,0.28511,0.20852,1.01446,3.19119,0.93961,0.000153664,0.000153664,0.000153664
4,17.8899,1.24644,2.26362,1.06737,0.008,0.92308,0.30826,0.1888,1.01581,3.11383,0.90128,0.000206932,0.000206932,0.000206932
5,22.9166,1.16474,2.21196,1.05897,0.008,0.92308,0.36319,0.25101,0.89242,2.99823,0.85948,0.000257824,0.000257824,0.000257824
6,27.7472,1.10675,1.61229,1.01736,0.008,0.92308,0.34691,0.23287,0.89194,3.06238,0.88066,0.00030634,0.00030634,0.00030634
7,31.4382,1.10244,1.62296,1.05506,0.008,0.92308,0.29334,0.22124,1.05353,3.11586,0.91828,0.00035248,0.00035248,0.00035248
8,35.0616,1.04502,1.6286,1.02506,0.00867,1,0.27514,0.21479,1.05547,3.14437,0.93652,0.000396244,0.000396244,0.000396244
9,38.9113,1.17463,1.80937,1.1196,0.00867,1,0.26474,0.21075,1.01412,3.04778,0.9104,0.000437632,0.000437632,0.000437632
10,42.4983,1.0176,1.47338,0.99974,0.01609,0.74333,0.26423,0.19994,1.06478,3.0602,0.92554,0.000476644,0.000476644,0.000476644
11,46.5485,1.07298,1.40722,0.99153,0.00867,1,0.25814,0.20744,1.06008,3.07069,0.91941,0.00051328,0.00051328,0.00051328
12,50.1819,1.08876,1.79015,1.03593,0.008,0.92308,0.24776,0.19599,1.05488,3.1782,0.94409,0.00054754,0.00054754,0.00054754
13,53.8545,0.9641,1.58878,1.0021,0.88295,0.23077,0.25293,0.19633,1.13446,3.16102,0.97645,0.000579424,0.000579424,0.000579424
14,61.1208,1.17744,1.71098,1.04976,0.92531,0.23077,0.29234,0.20229,1.20935,3.05535,0.98809,0.000608932,0.000608932,0.000608932
15,64.964,1.04295,1.37947,1.01318,0.82087,0.23077,0.38094,0.26921,1.30555,2.89858,0.98984,0.000636064,0.000636064,0.000636064
16,68.6514,1.02223,1.43263,1.0799,0.79471,0.23077,0.40603,0.30707,1.25135,2.85315,1.00113,0.00066082,0.00066082,0.00066082
17,72.2582,1.04723,1.68419,1.05416,0.94154,0.23077,0.35305,0.25612,1.15097,2.78263,0.99846,0.0006832,0.0006832,0.0006832
18,75.8421,1.13072,1.58384,1.10345,0.96703,0.23077,0.37077,0.2736,1.21052,2.67781,0.99474,0.000703204,0.000703204,0.000703204
19,80.5357,0.98579,1.37131,0.98846,0.97379,0.23077,0.38942,0.26721,1.27599,2.65847,1.0121,0.000720832,0.000720832,0.000720832
20,87.9313,1.04067,1.30333,1.07805,0.76854,0.46154,0.48784,0.35577,1.21995,2.51634,1.03139,0.000736084,0.000736084,0.000736084
21,91.3992,0.96939,1.26691,1.04278,0.89574,0.46154,0.54275,0.42524,1.17303,2.51451,1.00651,0.00074896,0.00074896,0.00074896
22,98.5793,0.967,1.22231,1.03649,0.86292,0.46154,0.53973,0.42746,1.20036,2.59612,1.0109,0.00075946,0.00075946,0.00075946
23,102.228,0.97574,1.14602,1.00294,1,0.29201,0.44861,0.35938,1.20731,2.69959,1.00007,0.000767584,0.000767584,0.000767584
24,105.848,0.98233,1.14902,1.00149,0.62137,0.30769,0.43061,0.34168,1.20111,2.67955,1.02653,0.000773332,0.000773332,0.000773332
25,109.668,1.02252,1.20941,1.02768,0.73017,0.30769,0.56852,0.45791,1.31264,2.52987,1.09526,0.000776704,0.000776704,0.000776704
26,113.263,0.90651,1.19742,0.99528,1,0.45764,0.72915,0.52887,1.48627,2.35557,1.1433,0.0007777,0.0007777,0.0007777
27,117.695,1.12985,1.28158,1.01231,0.8926,0.64107,0.73491,0.55208,1.29101,2.17423,1.03436,0.00077632,0.00077632,0.00077632
28,121.727,1.02641,1.28232,1.01421,0.73714,0.64877,0.72508,0.52152,1.09762,2.10829,0.95621,0.000772564,0.000772564,0.000772564
29,125.243,0.88729,1.17881,0.96672,0.73714,0.64877,0.72508,0.52152,1.09762,2.10829,0.95621,0.000766432,0.000766432,0.000766432
30,128.86,0.84535,1.2853,0.95337,0.66946,0.62377,0.68574,0.50748,1.10473,1.94385,0.94383,0.000757924,0.000757924,0.000757924
31,132.657,0.85837,1.21232,0.99167,0.73851,0.6534,0.74696,0.528,1.12272,1.86377,0.95106,0.00074704,0.00074704,0.00074704
32,136.169,0.95394,1.32352,0.99544,0.90861,0.76514,0.83913,0.59593,1.10869,1.79357,0.95673,0.00073378,0.00073378,0.00073378
