epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16735,1.58778,3.84957,1.27787,0.008,0.92308,0.20274,0.09758,1.21661,3.41129,1.05544,4e-05,4e-05,4e-05
2,8.31503,1.31231,3.48707,1.13733,0.00733,0.84615,0.28156,0.16261,1.15479,3.27478,1.00826,9.802e-05,9.802e-05,9.802e-05
3,12.3744,1.18213,2.98854,1.08862,0.008,0.92308,0.75454,0.47514,1.10116,3.15544,0.90525,0.000153664,0.000153664,0.000153664
4,16.5529,1.31956,2.21498,1.04051,0.00733,0.84615,0.77763,0.47352,1.06164,2.99227,0.87811,0.000206932,0.000206932,0.000206932
5,20.9302,1.19215,1.8071,1.04504,0.00867,1,0.82452,0.52231,1.05999,2.89913,0.90755,0.000257824,0.000257824,0.000257824
6,25.4009,1.14692,1.58883,1.04851,0.00867,1,0.72822,0.46705,1.19693,2.94178,0.96495,0.00030634,0.00030634,0.00030634
7,29.1564,1.16253,1.95279,1.13125,0.00867,1,0.67775,0.47177,1.09105,3.06021,0.94387,0.00035248,0.00035248,0.00035248
8,33.3154,1.11108,1.87788,1.08188,0.00867,1,0.70673,0.49425,0.99886,3.03415,0.90818,0.000396244,0.000396244,0.000396244
9,37.7735,1.0879,1.71821,1.02309,0.00867,1,0.5719,0.37997,1.126,3.03267,0.92935,0.000437632,0.000437632,0.000437632
10,42.2624,0.96743,1.87277,1.01788,0.0155,0.84615,0.48678,0.31911,1.19226,2.97669,0.96226,0.000476644,0.000476644,0.000476644
11,46.3338,1.16918,1.42379,1.07787,0.00874,1,0.32775,0.25676,1.03107,3.01053,0.92107,0.00051328,0.00051328,0.00051328
12,53.2038,1.07687,1.33539,1.00045,0.56076,0.15385,0.2865,0.22235,1.02699,3.10491,0.92837,0.00054754,0.00054754,0.00054754
13,58.5852,1.07693,1.48908,1.00767,1,0.14693,0.32838,0.24621,1.16807,3.04143,0.94692,0.000579424,0.000579424,0.000579424
14,62.6456,1.20276,1.6514,1.09038,1,0.19949,0.31706,0.23722,1.13801,3.08265,0.95969,0.000608932,0.000608932,0.000608932
15,66.6443,0.95253,1.39283,0.98923,0.92797,0.23077,0.28499,0.1777,1.19621,3.10229,1.00801,0.000636064,0.000636064,0.000636064
