epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17481,1.58778,3.84957,1.27787,0.008,0.92308,0.20274,0.09758,1.21661,3.41129,1.05544,4e-05,4e-05,4e-05
2,8.07791,1.31193,3.48621,1.13703,0.00733,0.84615,0.28387,0.16398,1.15377,3.27254,1.00774,9.901e-05,9.901e-05,9.901e-05
3,12.3168,1.18478,2.97694,1.08777,0.008,0.92308,0.77692,0.49288,1.10896,3.1465,0.91118,0.000156832,0.000156832,0.000156832
4,16.302,1.30899,2.17203,1.03557,0.00733,0.84615,0.77834,0.48527,1.07271,2.97898,0.88205,0.000213466,0.000213466,0.000213466
5,19.9368,1.15471,1.76865,1.02802,0.00867,1,0.80765,0.51332,1.13883,2.92088,0.92626,0.000268912,0.000268912,0.000268912
6,23.6278,1.16432,1.55525,1.05729,0.00867,1,0.76927,0.44797,1.10903,2.97885,0.92706,0.00032317,0.00032317,0.00032317
7,27.397,1.20841,1.92636,1.14981,0.00867,1,0.7692,0.45362,1.03908,3.06741,0.9171,0.00037624,0.00037624,0.00037624
8,31.3999,1.08449,1.86186,1.07549,0.00867,1,0.76897,0.48682,1.01169,3.02596,0.90284,0.000428122,0.000428122,0.000428122
9,35.3131,1.10432,1.67183,1.04851,0.01288,0.84615,0.67538,0.40988,1.07316,2.96547,0.92185,0.000478816,0.000478816,0.000478816
10,39.5889,0.93927,1.74876,0.99661,0.00867,1,0.55735,0.37714,1.05918,2.95071,0.92927,0.000528322,0.000528322,0.000528322
11,44.1038,1.14017,1.42965,1.05226,0.00867,1,0.49406,0.29109,0.98327,3.08403,0.93065,0.00057664,0.00057664,0.00057664
12,47.9614,1.09118,1.40554,1.00721,0.00867,1,0.4566,0.24069,1.00833,3.14763,0.95992,0.00062377,0.00062377,0.00062377
13,52.2576,1.12213,1.49918,1.03786,0.69529,0.18026,0.3956,0.20664,1.18735,3.10245,0.99715,0.000669712,0.000669712,0.000669712
14,56.9688,1.24171,1.65865,1.10183,0.60707,0.23077,0.3674,0.20282,1.14417,3.04625,0.97249,0.000714466,0.000714466,0.000714466
15,60.7393,1.06733,1.49976,1.00301,1,0.22702,0.39917,0.22002,1.06123,3.09635,0.94647,0.000758032,0.000758032,0.000758032
16,64.5436,0.97149,1.39214,0.9825,1,0.23074,0.38695,0.20297,1.15771,3.0199,0.93894,0.00080041,0.00080041,0.00080041
17,68.1403,1.0713,1.60387,0.96956,0.76061,0.15385,0.22797,0.15964,1.09825,3.14576,0.94712,0.0008416,0.0008416,0.0008416
18,71.9866,1.00253,1.49348,1.00413,0.91203,0.15385,0.16419,0.12882,1.06397,3.1903,0.98131,0.000881602,0.000881602,0.000881602
19,75.6084,1.06523,1.6975,1.039,0.94034,0.15385,0.16939,0.13255,1.09777,3.16487,0.99081,0.000920416,0.000920416,0.000920416
20,80.2125,1.06825,1.53935,1.02997,1,0.14419,0.19719,0.15262,1.09418,3.15054,0.98274,0.000958042,0.000958042,0.000958042
21,84.303,0.9918,1.39664,1.02024,0.69518,0.15385,0.3268,0.25909,1.08786,3.04024,0.99252,0.00099448,0.00099448,0.00099448
22,88.9777,1.18335,1.43272,1.12159,0.95344,0.15385,0.29155,0.24541,1.1143,3.00387,1.02474,0.00102973,0.00102973,0.00102973
23,93.139,1.01762,1.33468,1.0325,0.95044,0.15385,0.29264,0.24148,1.13805,3.0458,1.07172,0.00106379,0.00106379,0.00106379
24,97.0665,1.00736,1.39324,0.99415,0.70604,0.19019,0.3105,0.25172,1.12971,2.98766,1.0263,0.00109667,0.00109667,0.00109667
25,100.941,1.15851,1.54764,1.12132,1,0.30154,0.36046,0.24615,1.22377,2.80223,1.07627,0.00112835,0.00112835,0.00112835
26,105.611,1.10575,1.33721,1.04264,1,0.3041,0.36447,0.24426,1.2208,2.57108,1.11038,0.00115885,0.00115885,0.00115885
27,109.983,1.12572,1.45178,1.08074,0.98203,0.23077,0.33678,0.25978,1.05524,2.41241,0.96924,0.00118816,0.00118816,0.00118816
28,114.411,0.99039,1.43888,1.06241,0.64552,0.28329,0.33371,0.27516,0.94569,2.4045,0.89383,0.00121628,0.00121628,0.00121628
