epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46794,1.58778,3.84957,1.27787,0.008,0.92308,0.20274,0.09758,1.21661,3.41129,1.05544,4e-05,4e-05,4e-05
2,8.91526,1.31193,3.48621,1.13703,0.00733,0.84615,0.28387,0.16398,1.15377,3.27254,1.00774,9.901e-05,9.901e-05,9.901e-05
3,15.8246,1.18478,2.97694,1.08777,0.008,0.92308,0.77692,0.49288,1.10897,3.1465,0.91118,0.000156832,0.000156832,0.000156832
4,21.6063,1.30899,2.17202,1.03557,0.00733,0.84615,0.77834,0.48527,1.07272,2.97898,0.88206,0.000213466,0.000213466,0.000213466
5,28.4388,1.1547,1.76863,1.02802,0.00867,1,0.80766,0.51332,1.13885,2.92078,0.92635,0.000268912,0.000268912,0.000268912
6,33.4466,1.16444,1.55526,1.05737,0.00867,1,0.76928,0.44799,1.11027,2.97817,0.92728,0.00032317,0.00032317,0.00032317
7,38.1679,1.2102,1.92491,1.15099,0.00867,1,0.76919,0.45362,1.03857,3.06765,0.91674,0.00037624,0.00037624,0.00037624
8,42.5335,1.08681,1.85991,1.07444,0.00867,1,0.76895,0.48681,1.00939,3.0211,0.90273,0.000428122,0.000428122,0.000428122
9,46.8699,1.10294,1.67682,1.0484,0.013,0.83672,0.69558,0.40971,1.07155,2.96337,0.92207,0.000478816,0.000478816,0.000478816
10,51.0248,0.93475,1.7518,0.99611,0.01308,0.92308,0.57115,0.38435,1.07241,2.94229,0.9334,0.000528322,0.000528322,0.000528322
11,56.1171,1.13418,1.40587,1.05057,0.00867,1,0.51316,0.32564,0.95308,3.04334,0.91779,0.00057664,0.00057664,0.00057664
12,61.2116,1.09305,1.38864,0.999,0.00867,1,0.49117,0.29666,0.96932,3.10121,0.94676,0.00062377,0.00062377,0.00062377
13,65.545,1.10714,1.4543,1.03368,0.74586,0.38462,0.4091,0.1805,1.11224,3.06001,0.97235,0.000669712,0.000669712,0.000669712
14,69.6284,1.18149,1.6374,1.07008,0.73619,0.21802,0.37438,0.17098,1.13651,3.09857,0.96273,0.000714466,0.000714466,0.000714466
15,73.9023,1.0493,1.46236,1.0019,0.74265,0.23077,0.32431,0.22074,1.09987,3.05251,0.95575,0.000758032,0.000758032,0.000758032
16,78.0181,1.03611,1.44444,1.00495,0.84755,0.23077,0.3754,0.24115,1.16835,3.03082,0.95835,0.00080041,0.00080041,0.00080041
17,82.5775,1.06648,1.63659,0.98012,0.92174,0.23077,0.32839,0.17302,1.21926,3.13458,1.00649,0.0008416,0.0008416,0.0008416
18,86.4888,1.02431,1.4908,1.01222,1,0.22337,0.30461,0.16608,1.34714,3.02811,1.08362,0.000881602,0.000881602,0.000881602
19,90.0915,1.10925,1.68398,1.07936,1,0.20319,0.45551,0.26949,1.45855,3.01809,1.14899,0.000920416,0.000920416,0.000920416
20,94.1145,1.06758,1.53633,1.04203,1,0.20497,0.54115,0.32927,1.43191,2.95061,1.13594,0.000958042,0.000958042,0.000958042
21,98.6001,1.0132,1.36008,1.06284,1,0.22706,0.53248,0.33805,1.30917,2.84082,1.08721,0.00099448,0.00099448,0.00099448
