epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.35308,1.58778,3.84957,1.27787,0.008,0.92308,0.20274,0.09758,1.21661,3.41129,1.05544,4e-05,4e-05,4e-05
2,11.92,1.31231,3.48707,1.13733,0.00733,0.84615,0.28156,0.16261,1.15479,3.27478,1.00826,9.802e-05,9.802e-05,9.802e-05
3,16.2717,1.18213,2.98854,1.08862,0.008,0.92308,0.75454,0.47514,1.10116,3.15544,0.90525,0.000153664,0.000153664,0.000153664
4,21.1064,1.31954,2.21499,1.04051,0.00733,0.84615,0.77763,0.47352,1.06167,2.99231,0.87813,0.000206932,0.000206932,0.000206932
5,26.2484,1.19178,1.80683,1.04491,0.00867,1,0.82452,0.52231,1.06035,2.89906,0.90764,0.000257824,0.000257824,0.000257824
6,31.3584,1.14682,1.58863,1.04839,0.00867,1,0.72826,0.46706,1.19626,2.94153,0.96472,0.00030634,0.00030634,0.00030634
7,35.946,1.16235,1.95297,1.13057,0.00867,1,0.67776,0.47152,1.09262,3.05677,0.93916,0.00035248,0.00035248,0.00035248
8,41.0084,1.10801,1.87905,1.08006,0.00867,1,0.69668,0.4951,0.99719,3.03747,0.90872,0.000396244,0.000396244,0.000396244
9,46.1999,1.0903,1.71353,1.02265,0.00867,1,0.60654,0.40252,1.11459,3.01703,0.93013,0.000437632,0.000437632,0.000437632
10,51.2926,0.96788,1.86721,1.01773,0.03991,0.76923,0.50254,0.33731,1.17266,2.96747,0.9461,0.000476644,0.000476644,0.000476644
11,56.136,1.1635,1.44539,1.07351,0.01954,1,0.298,0.23347,1.02759,3.00846,0.93461,0.00051328,0.00051328,0.00051328
12,60.6894,1.06756,1.33039,0.99718,0.00867,1,0.28318,0.21867,0.97804,3.07969,0.93289,0.00054754,0.00054754,0.00054754
13,65.0285,1.06336,1.47807,1.00413,1,0.17126,0.36692,0.26614,1.15209,3.03017,0.95259,0.000579424,0.000579424,0.000579424
14,69.5182,1.23445,1.6941,1.10427,1,0.20901,0.37652,0.24756,1.21411,3.05591,0.99174,0.000608932,0.000608932,0.000608932
15,73.9608,0.97629,1.39054,0.98811,1,0.21434,0.39867,0.30408,1.16043,3.10947,0.98589,0.000636064,0.000636064,0.000636064
16,78.1913,0.84891,1.32396,0.96714,1,0.2603,0.37332,0.28561,1.13727,3.01068,0.9552,0.00066082,0.00066082,0.00066082
17,83.2205,1.013,1.54969,0.97873,0.97746,0.23077,0.24433,0.18922,0.9629,3.01264,0.92423,0.0006832,0.0006832,0.0006832
18,88.1246,1.07711,1.51294,1.0402,0.97051,0.23077,0.24479,0.19362,0.99022,3.03152,0.92822,0.000703204,0.000703204,0.000703204
19,92.3552,1.07067,1.78886,1.04665,1,0.21451,0.31992,0.23381,1.06836,3.01156,0.95735,0.000720832,0.000720832,0.000720832
20,97.262,1.07591,1.59212,1.03506,1,0.23037,0.46279,0.33934,1.14176,2.89188,0.95749,0.000736084,0.000736084,0.000736084
21,102.403,1.01647,1.33856,1.03696,1,0.26342,0.528,0.37198,1.15466,2.78472,0.94896,0.00074896,0.00074896,0.00074896
22,107.993,1.12661,1.41716,1.07521,1,0.28473,0.50112,0.37158,1.08568,2.75554,0.93192,0.00075946,0.00075946,0.00075946
23,112.761,0.97469,1.35344,1.01191,1,0.26953,0.44371,0.30816,1.13458,2.74115,0.93659,0.000767584,0.000767584,0.000767584
24,117.266,0.99102,1.4405,0.99306,1,0.29228,0.47227,0.30428,1.1529,2.66008,0.973,0.000773332,0.000773332,0.000773332
25,121.639,0.99617,1.50055,1.07451,1,0.30332,0.60215,0.39371,1.12346,2.50849,0.98222,0.000776704,0.000776704,0.000776704
26,126.132,1.08379,1.26612,1.02397,1,0.37646,0.66878,0.46154,1.11468,2.36337,0.99158,0.0007777,0.0007777,0.0007777
27,131.342,1.01283,1.39856,1.01432,0.86105,0.47836,0.67638,0.49407,1.1792,2.35982,1.00553,0.00077632,0.00077632,0.00077632
28,136.158,0.93291,1.44331,1.04574,0.73629,0.38462,0.64466,0.45585,1.17321,2.35723,1.00628,0.000772564,0.000772564,0.000772564
29,140.569,1.03042,1.45199,1.0566,0.73629,0.38462,0.64466,0.45585,1.17321,2.35723,1.00628,0.000766432,0.000766432,0.000766432
30,145.428,1.07532,1.19332,1.07695,0.82091,0.53846,0.6554,0.46502,1.14224,2.26474,0.98452,0.000757924,0.000757924,0.000757924
31,149.931,0.94544,1.25589,1.07219,0.88439,0.59049,0.79608,0.57408,1.08304,1.91351,0.9683,0.00074704,0.00074704,0.00074704
32,154.638,1.00666,1.35105,1.06594,0.96967,0.69231,0.8638,0.62975,1.06769,1.64654,0.96097,0.00073378,0.00073378,0.00073378
33,158.911,0.90994,1.14824,0.98893,0.96967,0.69231,0.8638,0.62975,1.06769,1.64654,0.96097,0.000718144,0.000718144,0.000718144
34,163.763,0.98123,1.17105,0.99605,0.96411,0.69231,0.83951,0.63685,1.02626,1.57989,0.93867,0.0006932,0.0006932,0.0006932
35,168.638,0.93839,1.27183,1.01845,0.98015,0.69231,0.85359,0.63512,1.01228,1.48616,0.91379,0.0006536,0.0006536,0.0006536
36,173.958,0.91469,1.05689,0.97948,0.98127,0.69231,0.88553,0.63991,1.08879,1.37268,0.9302,0.000614,0.000614,0.000614
37,179.656,1.01557,1.23302,1.02006,0.98127,0.69231,0.88553,0.63991,1.08879,1.37268,0.9302,0.0005744,0.0005744,0.0005744
38,184.496,0.98491,1.12638,0.99761,0.79879,0.91657,0.94706,0.6665,1.09,1.29377,0.93148,0.0005348,0.0005348,0.0005348
39,190.509,0.95579,1.23695,1.02147,0.86404,0.97879,0.96833,0.70794,1.00909,1.22496,0.91695,0.0004952,0.0004952,0.0004952
40,196.819,0.88307,1.17399,0.98621,0.89826,1,0.98429,0.70392,0.99029,1.20604,0.89851,0.0004556,0.0004556,0.0004556
41,202.435,0.84918,1.21016,0.94071,0.89826,1,0.98429,0.70392,0.99029,1.20604,0.89851,0.000416,0.000416,0.000416
42,207.776,0.83888,1.19884,0.95456,0.91883,0.87208,0.98429,0.69585,1.02577,1.20794,0.91074,0.0003764,0.0003764,0.0003764
43,212.74,0.79294,1.2326,0.96256,0.80099,1,0.96833,0.69842,1.00444,1.20027,0.90338,0.0003368,0.0003368,0.0003368
44,218.002,0.72799,1.09472,0.91972,0.81038,1,0.96433,0.70136,0.96994,1.14323,0.89031,0.0002972,0.0002972,0.0002972
45,223.391,0.7636,1.15684,0.92028,0.81038,1,0.96433,0.70136,0.96994,1.14323,0.89031,0.0002576,0.0002576,0.0002576
46,229.714,0.74236,1.17804,0.91373,0.82936,1,0.96433,0.69936,0.9658,1.13245,0.88836,0.000218,0.000218,0.000218
47,234.804,0.72748,1.08258,0.91505,0.84462,1,0.96433,0.70228,0.97502,1.11043,0.88834,0.0001784,0.0001784,0.0001784
48,240.492,0.75228,1.1269,0.93215,0.84652,1,0.95797,0.71758,0.98122,1.08081,0.89009,0.0001388,0.0001388,0.0001388
49,245.411,0.76054,1.00632,0.94463,0.84652,1,0.95797,0.71758,0.98122,1.08081,0.89009,9.92e-05,9.92e-05,9.92e-05
50,250.703,0.70299,1.04431,0.90572,0.84387,1,0.9625,0.71744,0.98182,1.05516,0.89219,5.96e-05,5.96e-05,5.96e-05
