epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3838,1.80646,4.47832,1.53444,0.84607,0.84615,0.86539,0.49188,1.36571,3.22373,1.0452,0.0001,0.0001,0.0001
2,21.5894,1.19332,2.4998,1.09795,1,0.84505,0.94038,0.5202,1.42041,2.07277,1.02058,0.000215644,0.000215644,0.000215644
3,31.0736,1.20468,2.13922,1.11968,0.54377,0.84615,0.70403,0.4277,1.2538,2.34394,0.98265,0.000326536,0.000326536,0.000326536
4,41.0819,1.19462,1.70114,1.07505,0.82605,0.69231,0.83455,0.46911,1.34368,2.06439,1.0327,0.000432676,0.000432676,0.000432676
5,50.2446,1.01662,1.32446,1.09242,0.82223,0.76923,0.75612,0.40115,1.5061,1.66046,1.31848,0.000534064,0.000534064,0.000534064
6,59.3888,1.14816,1.27475,1.16108,0.78509,0.84615,0.8445,0.59316,1.07418,2.01358,1.14691,0.0006307,0.0006307,0.0006307
7,67.9789,1.1135,1.55101,1.20436,0.83066,0.75567,0.81257,0.61048,1.04914,1.52255,1.17621,0.000722584,0.000722584,0.000722584
8,77.6768,1.1485,1.3633,1.2581,0.8438,0.76923,0.86218,0.61519,1.05431,1.17935,1.19774,0.000809716,0.000809716,0.000809716
9,86.9929,1.1927,1.35261,1.2865,0.9156,0.83535,0.88351,0.5313,1.21842,1.44514,1.26321,0.000892096,0.000892096,0.000892096
10,95.2972,1.1402,1.54296,1.27661,0.63644,0.69231,0.71612,0.4584,1.14481,1.53169,1.27405,0.000969724,0.000969724,0.000969724
11,104.46,1.21583,1.31484,1.2252,0.66892,0.69231,0.67927,0.43865,1.14057,2.37168,1.22604,0.0010426,0.0010426,0.0010426
12,115.939,1.10783,1.18628,1.12412,0.71748,0.38462,0.45605,0.27688,1.30603,2.10636,1.3104,0.00111072,0.00111072,0.00111072
13,128.302,1.0428,1.06707,1.09655,0.9606,0.69231,0.78431,0.51508,1.15132,1.72427,1.19253,0.0011741,0.0011741,0.0011741
14,139.185,1.26512,1.11596,1.31238,0.25302,0.76923,0.25294,0.16025,1.0694,3.22468,1.06785,0.00123272,0.00123272,0.00123272
15,147.451,1.14147,0.92953,1.17882,0.25302,0.76923,0.25294,0.16025,1.0694,3.22468,1.06785,0.00128658,0.00128658,0.00128658
16,156.166,0.8669,0.85545,1.05524,0.62699,0.64787,0.77525,0.59955,0.92135,2.47341,1.04506,0.0013357,0.0013357,0.0013357
17,164.461,1.09806,1.03288,1.11203,1,0.61216,0.74347,0.54124,1.00689,1.59148,1.19404,0.0013664,0.0013664,0.0013664
18,172.945,1.01953,0.9205,1.12711,0.59287,0.69231,0.659,0.48996,1.05678,2.2958,1.14622,0.0013268,0.0013268,0.0013268
19,180.284,1.03796,1.06051,1.10684,0.59287,0.69231,0.659,0.48996,1.05678,2.2958,1.14622,0.0012872,0.0012872,0.0012872
20,188.645,1.04362,0.97108,1.16644,0.72494,0.76923,0.77822,0.53681,1.17386,1.46346,1.20949,0.0012476,0.0012476,0.0012476
21,199.331,1.01784,0.90261,1.15214,1,0.7592,0.83959,0.56741,1.26285,1.15851,1.27404,0.001208,0.001208,0.001208
22,214.529,1.30522,1.06251,1.24547,0.7261,0.84615,0.78071,0.53943,1.18273,1.40871,1.17809,0.0011684,0.0011684,0.0011684
23,224.029,0.98392,0.92218,1.08727,0.7261,0.84615,0.78071,0.53943,1.18273,1.40871,1.17809,0.0011288,0.0011288,0.0011288
24,234.848,1.2026,1.10191,1.24468,0.87458,0.69231,0.83359,0.56713,1.20676,1.23188,1.17178,0.0010892,0.0010892,0.0010892
25,246.143,1.14363,1.00634,1.27341,0.85162,0.8844,0.90273,0.64744,1.04561,1.01709,1.11644,0.0010496,0.0010496,0.0010496
26,257.261,1.07443,0.8354,1.0875,0.90737,0.92308,0.9482,0.67276,1.06996,1.01527,1.14761,0.00101,0.00101,0.00101
27,266.138,1.07493,0.82785,1.25199,0.90737,0.92308,0.9482,0.67276,1.06996,1.01527,1.14761,0.0009704,0.0009704,0.0009704
28,277.528,1.00973,0.7594,1.14116,0.97098,0.92308,0.9587,0.7201,1.08463,0.85809,1.15315,0.0009308,0.0009308,0.0009308
29,287.671,0.97295,0.74675,1.09813,0.90268,0.92308,0.94485,0.72823,1.02187,0.79798,1.14515,0.0008912,0.0008912,0.0008912
30,299.656,1.00872,0.72105,1.12829,0.93752,0.92308,0.93522,0.74257,0.9491,0.83255,1.08472,0.0008516,0.0008516,0.0008516
31,307.735,1.04187,0.78025,1.19457,0.93752,0.92308,0.93522,0.74257,0.9491,0.83255,1.08472,0.000812,0.000812,0.000812
32,318.34,1.05126,0.76872,1.14318,0.98694,0.92308,0.92575,0.7456,0.90273,0.85419,1.05503,0.0007724,0.0007724,0.0007724
33,329.77,0.93105,0.63203,1.06669,0.98359,0.92308,0.92591,0.75623,0.92613,0.84942,1.03123,0.0007328,0.0007328,0.0007328
34,341.296,0.96053,0.71436,1.07941,0.99475,0.92308,0.92612,0.71326,0.99554,0.80613,1.06361,0.0006932,0.0006932,0.0006932
35,349.411,0.92725,0.67536,1.07925,0.99475,0.92308,0.92612,0.71326,0.99554,0.80613,1.06361,0.0006536,0.0006536,0.0006536
36,361.06,0.91114,0.61077,1.06074,0.98835,0.92308,0.92643,0.69379,1.07241,0.87938,1.1137,0.000614,0.000614,0.000614
37,372.231,1.00241,0.74823,1.1767,0.99501,0.92308,0.92665,0.68566,1.0904,0.83849,1.12253,0.0005744,0.0005744,0.0005744
38,383.672,1.09497,0.91765,1.33582,0.99492,0.92308,0.92683,0.68958,1.05418,0.79823,1.10953,0.0005348,0.0005348,0.0005348
39,392.483,0.9033,0.62664,1.11002,0.99492,0.92308,0.92683,0.68958,1.05418,0.79823,1.10953,0.0004952,0.0004952,0.0004952
40,403.231,0.81297,0.58784,1.08302,0.99464,0.92308,0.92674,0.71134,0.99164,0.75773,1.08011,0.0004556,0.0004556,0.0004556
41,413.954,0.80333,0.61505,1.05009,0.99191,0.92308,0.92699,0.71156,0.94349,0.74736,1.05819,0.000416,0.000416,0.000416
42,424.379,0.74793,0.61887,1.00954,0.98753,0.92308,0.92706,0.74353,0.92595,0.71973,1.04781,0.0003764,0.0003764,0.0003764
43,432.479,0.76278,0.53309,1.03133,0.98753,0.92308,0.92706,0.74353,0.92595,0.71973,1.04781,0.0003368,0.0003368,0.0003368
44,442.642,0.68486,0.48859,0.97866,0.98893,0.92308,0.93017,0.74821,0.91084,0.67918,1.04155,0.0002972,0.0002972,0.0002972
45,453.616,0.79114,0.51828,1.09225,0.98742,0.92308,0.93195,0.75634,0.93079,0.67164,1.05234,0.0002576,0.0002576,0.0002576
46,463.995,0.70419,0.48413,1.00393,0.98377,0.92308,0.93136,0.75301,0.94607,0.67207,1.05075,0.000218,0.000218,0.000218
47,473.044,0.77591,0.50952,1.04316,0.98377,0.92308,0.93136,0.75301,0.94607,0.67207,1.05075,0.0001784,0.0001784,0.0001784
48,483.272,0.72018,0.51389,1.01319,0.97582,0.92308,0.93164,0.74349,0.95831,0.67246,1.05189,0.0001388,0.0001388,0.0001388
49,493.258,0.72558,0.48682,1.05217,0.97326,0.92308,0.9315,0.75939,0.96219,0.67166,1.0508,9.92e-05,9.92e-05,9.92e-05
50,503.869,0.74941,0.49093,0.99685,0.97304,0.92308,0.92803,0.75712,0.96302,0.67074,1.04989,5.96e-05,5.96e-05,5.96e-05
