epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.71529,1.80646,4.47832,1.53444,0.84607,0.84615,0.86539,0.49188,1.36572,3.2237,1.0452,0.0001,0.0001,0.0001
2,17.7212,1.19446,2.49902,1.09754,0.98504,0.61538,0.65251,0.33267,1.43009,2.0704,1.02638,0.000217822,0.000217822,0.000217822
3,27.4345,1.20513,2.14413,1.11883,0.43523,0.61538,0.49031,0.27915,1.36422,2.34194,1.03693,0.000333268,0.000333268,0.000333268
4,37.2564,1.17931,1.61014,1.05618,0.86141,0.61538,0.65984,0.41898,1.25701,1.70765,1.0445,0.000446338,0.000446338,0.000446338
5,46.9808,1.03797,1.42674,1.07649,0.98794,0.76923,0.82776,0.48658,1.34676,1.71489,1.11277,0.000557032,0.000557032,0.000557032
6,59.6682,1.12171,1.39373,1.153,0.96558,0.61538,0.66451,0.44346,1.22767,1.60084,1.15762,0.00066535,0.00066535,0.00066535
7,69.5305,1.10273,1.4814,1.22444,0.77159,0.53846,0.56821,0.39249,1.15795,1.57173,1.14301,0.000771292,0.000771292,0.000771292
8,79.3075,1.15288,1.54939,1.23332,0.86058,0.53846,0.51993,0.35549,1.25045,1.77296,1.175,0.000874858,0.000874858,0.000874858
9,89.0459,1.17895,1.54887,1.16562,0.69894,0.53601,0.52976,0.32667,1.3379,1.90192,1.11912,0.000976048,0.000976048,0.000976048
10,98.1869,0.97874,1.41275,1.17941,0.78376,0.30769,0.36511,0.20799,1.29146,2.96388,1.46879,0.00107486,0.00107486,0.00107486
11,171.516,1.14092,1.29618,1.19211,0.80048,0.38462,0.41799,0.20069,1.41161,3.79128,1.55582,0.0011713,0.0011713,0.0011713
12,186.393,1.13292,1.081,1.11946,0.91613,0.30769,0.36543,0.2559,1.40775,1.97385,1.42217,0.00126536,0.00126536,0.00126536
13,256.753,1.06652,1.13901,1.09795,0.76323,0.30769,0.29565,0.23453,1.13135,1.88073,1.14237,0.00135705,0.00135705,0.00135705
14,267.036,1.2216,1.28648,1.32253,0.9609,0.30769,0.30965,0.22479,1.29481,1.70759,1.28308,0.00144636,0.00144636,0.00144636
15,290.743,1.19154,0.95858,1.20215,0.71205,0.53846,0.57535,0.38918,1.29481,1.70759,1.28308,0.00153329,0.00153329,0.00153329
16,369.09,0.91206,0.82221,1.09802,0.81434,0.67604,0.65867,0.47618,1.21279,1.95817,1.23923,0.00161785,0.00161785,0.00161785
17,378.629,1.14327,0.94804,1.14251,0.80583,0.64006,0.65641,0.48334,1.23849,2.1614,1.41459,0.0016832,0.0016832,0.0016832
18,388.597,1.04475,0.85065,1.13637,0.91765,0.85791,0.91921,0.56664,1.28181,2.15656,1.3771,0.0016634,0.0016634,0.0016634
19,396.722,1.16765,1.10353,1.15766,0.93311,0.92308,0.98567,0.6108,1.28181,2.15656,1.3771,0.0016436,0.0016436,0.0016436
20,407.675,1.15357,1.13448,1.20933,0.5264,0.69231,0.58454,0.38233,1.38735,1.48447,1.3371,0.0016238,0.0016238,0.0016238
21,478.806,1.1764,1.10637,1.20405,0.9477,0.30769,0.44321,0.27376,1.35581,2.57344,1.33029,0.001604,0.001604,0.001604
22,489.276,1.42777,1.31242,1.26645,0.85865,0.69231,0.68059,0.49861,1.21276,2.34892,1.26337,0.0015842,0.0015842,0.0015842
23,498.603,1.12899,0.94596,1.15618,0.88402,1,0.97857,0.69464,1.21276,2.34892,1.26337,0.0015644,0.0015644,0.0015644
24,509.908,1.41643,1.02081,1.45272,0.9209,0.89698,0.90775,0.59302,1.26373,1.37389,1.28003,0.0015446,0.0015446,0.0015446
25,575.611,1.2284,0.99952,1.32853,0.97271,0.30769,0.31275,0.21024,1.27544,0.9453,1.33124,0.0015248,0.0015248,0.0015248
26,588.4,1.08434,0.74371,1.09189,0.97593,0.92308,0.96,0.61526,1.3388,0.90225,1.33237,0.001505,0.001505,0.001505
27,595.127,1.13754,0.83308,1.25458,0.97593,0.92308,0.96,0.61526,1.3388,0.90225,1.33237,0.0014852,0.0014852,0.0014852
28,606.561,1.17952,0.84218,1.23496,0.95966,0.76923,0.8905,0.54261,1.47182,1.00581,1.33705,0.0014654,0.0014654,0.0014654
29,619.092,1.14593,0.79596,1.17604,0.98113,0.84615,0.86302,0.57337,1.3473,1.04284,1.26375,0.0014456,0.0014456,0.0014456
30,630.501,1.17963,0.7775,1.24479,0.90865,0.92308,0.95525,0.67075,1.22795,0.93819,1.23778,0.0014258,0.0014258,0.0014258
31,637.02,1.13937,0.76882,1.33615,0.90865,0.92308,0.95525,0.67075,1.22795,0.93819,1.23778,0.001406,0.001406,0.001406
32,647.202,1.18334,0.81122,1.24199,0.97456,0.84615,0.89929,0.58916,1.30318,0.87155,1.23068,0.0013862,0.0013862,0.0013862
33,717.129,1.02912,0.68583,1.12638,0.89767,0.84615,0.93077,0.65274,1.25894,0.88196,1.25044,0.0013664,0.0013664,0.0013664
34,727.22,1.10063,0.77088,1.1567,0.93729,0.69231,0.91286,0.63443,1.28144,0.90395,1.21565,0.0013466,0.0013466,0.0013466
35,733.81,1.08751,0.70824,1.14848,0.93729,0.69231,0.91286,0.63443,1.28144,0.90395,1.21565,0.0013268,0.0013268,0.0013268
36,748.063,1.03179,0.70336,1.13897,0.81022,0.69231,0.85005,0.57788,1.25669,1.22758,1.20628,0.001307,0.001307,0.001307
37,759.395,1.15656,0.85603,1.22505,0.72307,0.61538,0.78178,0.55321,1.21186,1.43955,1.20415,0.0012872,0.0012872,0.0012872
38,833.002,1.25066,0.81594,1.51046,0.96105,0.61538,0.76928,0.51811,1.0728,1.37246,1.15457,0.0012674,0.0012674,0.0012674
39,839.524,1.08225,0.70314,1.23427,0.96105,0.61538,0.76928,0.51811,1.0728,1.37246,1.15457,0.0012476,0.0012476,0.0012476
40,849.144,0.924,0.74058,1.13611,0.76622,0.69231,0.80474,0.57373,1.04832,1.22524,1.17713,0.0012278,0.0012278,0.0012278
41,858.805,1.21094,0.84589,1.28602,0.72763,0.84615,0.84544,0.60817,1.05922,1.17703,1.13251,0.001208,0.001208,0.001208
42,932.256,0.98162,0.67653,1.14428,0.65655,0.73656,0.72944,0.46104,1.19992,1.02671,1.15384,0.0011882,0.0011882,0.0011882
43,941.469,1.01297,0.65893,1.14021,0.67842,0.81264,0.80406,0.53502,1.19992,1.02671,1.15384,0.0011684,0.0011684,0.0011684
44,953.058,0.94455,0.69231,1.01994,0.81277,0.69231,0.87893,0.60265,1.20947,0.89434,1.17949,0.0011486,0.0011486,0.0011486
45,966.078,0.96682,0.62312,1.08519,0.83529,1,0.94433,0.65012,1.14901,0.8739,1.15624,0.0011288,0.0011288,0.0011288
46,1034.55,1.05041,0.70776,1.12838,0.89414,1,0.995,0.69453,1.08879,0.83015,1.16161,0.001109,0.001109,0.001109
47,1041.35,0.85991,0.64793,1.07682,0.89414,1,0.995,0.69453,1.08879,0.83015,1.16161,0.0010892,0.0010892,0.0010892
48,1054.59,0.98652,0.72366,1.0716,0.98906,1,0.995,0.6827,1.12842,0.69897,1.17494,0.0010694,0.0010694,0.0010694
49,1122.29,0.84217,0.60485,1.05683,1,0.68422,0.70571,0.51123,1.13707,0.70253,1.20048,0.0010496,0.0010496,0.0010496
50,1131.34,0.94621,0.65301,1.11304,0.98693,0.92308,0.97853,0.7298,1.13504,0.76131,1.18045,0.0010298,0.0010298,0.0010298
51,1137.93,0.80595,0.56208,1.04488,0.98693,0.92308,0.97853,0.7298,1.13504,0.76131,1.18045,0.00101,0.00101,0.00101
52,1146.78,0.88855,0.66653,1.10673,0.95928,0.92308,0.97853,0.69391,1.11965,0.78177,1.14989,0.0009902,0.0009902,0.0009902
53,1157.95,0.86626,0.60315,1.07189,0.97849,0.92308,0.98567,0.66772,1.09668,0.6853,1.15861,0.0009704,0.0009704,0.0009704
54,1227.53,0.8547,0.61108,1.09181,0.97867,0.30769,0.32,0.22822,1.08455,0.68033,1.16025,0.0009506,0.0009506,0.0009506
55,1238.48,0.89294,0.62687,1.18441,0.98903,0.92308,0.9587,0.67399,1.08455,0.68033,1.16025,0.0009308,0.0009308,0.0009308
56,1248.47,0.89086,0.60228,1.03714,0.91404,0.92308,0.9211,0.66421,1.09047,0.79363,1.19214,0.000911,0.000911,0.000911
57,1259.68,0.92859,0.63966,1.14733,0.84656,0.84897,0.90901,0.65838,1.09277,0.9497,1.22883,0.0008912,0.0008912,0.0008912
58,1272.55,0.96823,0.6123,1.07118,0.94499,0.92308,0.9275,0.69761,1.06788,0.87319,1.19571,0.0008714,0.0008714,0.0008714
59,1342.27,0.90826,0.59529,1.17541,0.94499,0.92308,0.9275,0.69761,1.06788,0.87319,1.19571,0.0008516,0.0008516,0.0008516
60,1353,0.79987,0.59207,1.03093,1,0.91567,0.92787,0.70256,1.0395,0.7613,1.15844,0.0008318,0.0008318,0.0008318
61,1360.99,0.83889,0.58905,1.06701,1,0.91586,0.92819,0.69663,1.05311,0.77258,1.14275,0.000812,0.000812,0.000812
