epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39859,1.80646,4.47832,1.53444,0.84607,0.84615,0.86539,0.49188,1.36571,3.22373,1.0452,0.0001,0.0001,0.0001
2,16.0876,1.19439,2.49898,1.09752,0.99427,0.84615,0.94038,0.51907,1.4301,2.071,1.02629,0.000217822,0.000217822,0.000217822
3,24.3892,1.209,2.14517,1.11934,0.81295,0.53846,0.73272,0.44634,1.36559,2.3515,1.03685,0.000333268,0.000333268,0.000333268
4,33.6872,1.1897,1.60802,1.05741,0.90379,0.92308,0.95064,0.58372,1.20643,1.85598,1.01335,0.000446338,0.000446338,0.000446338
5,42.271,1.03382,1.41251,1.06944,0.97883,0.76923,0.87124,0.49336,1.39111,1.64234,1.24535,0.000557032,0.000557032,0.000557032
6,51.2359,1.13465,1.29105,1.1342,0.95868,0.92308,0.95533,0.61251,1.1947,1.66759,1.09988,0.00066535,0.00066535,0.00066535
7,60.3316,1.10074,1.42337,1.17934,0.39772,0.84615,0.50041,0.34036,1.1448,2.25641,1.05077,0.000771292,0.000771292,0.000771292
8,70.0268,1.10152,1.45553,1.14418,0.20806,0.70761,0.23045,0.15191,1.21668,3.59307,1.04971,0.000874858,0.000874858,0.000874858
9,79.2735,1.20992,1.49145,1.14368,0.28039,0.46154,0.34817,0.22619,1.341,3.85577,1.14756,0.000976048,0.000976048,0.000976048
10,89.8221,1.1317,1.46547,1.22796,0.79275,0.61538,0.65232,0.38273,1.4001,1.82765,1.21399,0.00107486,0.00107486,0.00107486
11,103.058,1.16119,1.32434,1.13805,0.48801,0.30769,0.31852,0.21491,1.44931,2.4353,1.36675,0.0011713,0.0011713,0.0011713
12,115.87,1.08506,1.03826,1.05089,0.76431,0.53846,0.54482,0.37736,1.28374,1.62066,1.34345,0.00126536,0.00126536,0.00126536
13,131.443,1.03276,1.04371,1.07455,0.9161,0.84615,0.82049,0.54672,1.26514,1.31733,1.29713,0.00135705,0.00135705,0.00135705
14,144.93,1.2704,1.16878,1.28645,0.67044,0.84615,0.80326,0.54623,1.25262,1.32205,1.3133,0.00144636,0.00144636,0.00144636
15,153.457,1.13057,1.01726,1.18069,0.67044,0.84615,0.80326,0.54623,1.25262,1.32205,1.3133,0.00153329,0.00153329,0.00153329
16,165.588,0.96721,0.97784,1.14956,0.86503,0.92308,0.92792,0.59438,1.1659,1.36722,1.28638,0.00161785,0.00161785,0.00161785
17,176.454,1.22129,1.22133,1.19007,0.89627,0.92308,0.91895,0.60331,1.21234,1.06943,1.33028,0.0016832,0.0016832,0.0016832
18,186.902,1.1118,1.21377,1.14873,0.85009,0.87372,0.92274,0.54132,1.41263,1.4666,1.44956,0.0016634,0.0016634,0.0016634
19,194.15,1.21979,1.11493,1.16914,0.85009,0.87372,0.92274,0.54132,1.41263,1.4666,1.44956,0.0016436,0.0016436,0.0016436
20,203.656,1.15502,1.0516,1.21123,0.88913,0.92308,0.94769,0.56271,1.50989,1.95917,1.51489,0.0016238,0.0016238,0.0016238
21,212.88,1.1365,0.91417,1.19345,0.70535,0.73794,0.81105,0.39768,1.44523,1.61281,1.33078,0.001604,0.001604,0.001604
22,223.934,1.26747,1.24874,1.21268,0.95094,0.69231,0.82833,0.51732,1.22045,1.53614,1.22877,0.0015842,0.0015842,0.0015842
23,232.353,1.06679,0.95839,1.13274,0.95094,0.69231,0.82833,0.51732,1.22045,1.53614,1.22877,0.0015644,0.0015644,0.0015644
24,243.903,1.24062,1.06423,1.29293,1,0.82379,0.8977,0.53569,1.18294,1.39076,1.18577,0.0015446,0.0015446,0.0015446
25,256.481,1.19295,1.04048,1.28135,0.90342,0.92308,0.91597,0.60008,1.1501,1.2168,1.1108,0.0015248,0.0015248,0.0015248
26,268.504,1.06015,0.7393,1.07383,0.84117,0.81625,0.87724,0.6505,1.22178,1.36336,1.25881,0.001505,0.001505,0.001505
27,276.014,1.0795,0.80597,1.17801,0.84117,0.81625,0.87724,0.6505,1.22178,1.36336,1.25881,0.0014852,0.0014852,0.0014852
28,289.499,1.13425,0.81522,1.21681,0.91924,0.87704,0.92106,0.61466,1.45709,1.12315,1.35458,0.0014654,0.0014654,0.0014654
29,301.114,1.09921,0.81109,1.14135,0.61968,0.84615,0.79503,0.52918,1.29568,1.17817,1.22755,0.0014456,0.0014456,0.0014456
30,313.087,1.11505,0.8993,1.19027,0.62941,0.91491,0.73312,0.42232,1.2189,1.32983,1.18831,0.0014258,0.0014258,0.0014258
31,321.517,1.18563,0.86898,1.24089,0.62941,0.91491,0.73312,0.42232,1.2189,1.32983,1.18831,0.001406,0.001406,0.001406
32,333.049,1.10075,0.82656,1.19036,0.93255,0.69231,0.90525,0.52043,1.25091,1.47299,1.16097,0.0013862,0.0013862,0.0013862
33,345.523,0.93663,0.69439,1.07426,0.97433,0.76923,0.89407,0.58484,1.21636,1.15525,1.15071,0.0013664,0.0013664,0.0013664
34,357.059,1.10419,0.82509,1.17963,0.69619,0.88253,0.86157,0.51494,1.21284,1.14485,1.21844,0.0013466,0.0013466,0.0013466
35,364.476,1.08736,0.80827,1.16235,0.69619,0.88253,0.86157,0.51494,1.21284,1.14485,1.21844,0.0013268,0.0013268,0.0013268
36,376.908,1.08561,0.74698,1.14386,0.87363,0.76923,0.81652,0.52937,1.21241,1.08171,1.23901,0.001307,0.001307,0.001307
37,389.498,1.18148,0.88675,1.22204,0.98355,0.76923,0.78637,0.5869,1.10476,1.10222,1.17794,0.0012872,0.0012872,0.0012872
38,403.163,1.09577,0.8531,1.18635,0.99075,0.76923,0.85113,0.60149,1.08911,0.92643,1.20092,0.0012674,0.0012674,0.0012674
39,410.954,1.09814,0.76422,1.18845,0.99075,0.76923,0.85113,0.60149,1.08911,0.92643,1.20092,0.0012476,0.0012476,0.0012476
40,423.476,0.94689,0.82979,1.11525,0.98743,0.92308,0.94396,0.64075,1.05596,0.83637,1.15838,0.0012278,0.0012278,0.0012278
41,439.054,1.11812,0.79296,1.2002,0.9807,0.84615,0.93166,0.61923,1.18074,0.92899,1.1748,0.001208,0.001208,0.001208
42,452.481,0.9889,0.70492,1.15383,0.91384,0.81741,0.89638,0.61269,1.19627,1.09159,1.18684,0.0011882,0.0011882,0.0011882
43,464.242,1.00418,0.7054,1.09542,0.91384,0.81741,0.89638,0.61269,1.19627,1.09159,1.18684,0.0011684,0.0011684,0.0011684
44,478.219,0.85245,0.62803,0.98907,0.91595,0.83888,0.90867,0.63698,1.14242,0.97775,1.12415,0.0011486,0.0011486,0.0011486
45,493.405,0.89562,0.62098,1.06272,0.97904,0.92308,0.9575,0.65909,1.16871,0.78679,1.11037,0.0011288,0.0011288,0.0011288
46,506.488,1.14782,0.77352,1.17848,0.98616,0.92308,0.99,0.64267,1.2457,0.72627,1.13076,0.001109,0.001109,0.001109
47,518.049,0.91298,0.67193,1.09715,0.98616,0.92308,0.99,0.64267,1.2457,0.72627,1.13076,0.0010892,0.0010892,0.0010892
48,535.501,1.05509,0.7444,1.11271,0.97954,0.92308,0.94568,0.68018,1.19188,0.75518,1.14252,0.0010694,0.0010694,0.0010694
49,550.951,0.84995,0.6338,1.06613,0.97421,0.92308,0.92575,0.65167,1.19996,1.25221,1.17106,0.0010496,0.0010496,0.0010496
50,564.624,0.96861,0.69597,1.09225,0.91422,0.92308,0.91378,0.61603,1.21666,0.94474,1.18107,0.0010298,0.0010298,0.0010298
51,574.995,0.79025,0.59791,1.04214,0.91422,0.92308,0.91378,0.61603,1.21666,0.94474,1.18107,0.00101,0.00101,0.00101
52,590.039,0.95577,0.66339,1.12198,0.91145,0.92308,0.92051,0.61735,1.22478,0.91763,1.16306,0.0009902,0.0009902,0.0009902
53,604.901,0.89126,0.58985,1.09607,0.98563,0.92308,0.92736,0.63233,1.2102,0.85802,1.12397,0.0009704,0.0009704,0.0009704
54,617.507,0.81137,0.59071,1.03467,0.98671,0.92308,0.92805,0.63338,1.25738,0.87694,1.1784,0.0009506,0.0009506,0.0009506
55,631.114,0.89431,0.62151,1.15137,0.98671,0.92308,0.92805,0.63338,1.25738,0.87694,1.1784,0.0009308,0.0009308,0.0009308
56,645.365,0.7975,0.5684,1.00248,0.98768,0.92308,0.92924,0.64195,1.20531,0.84615,1.18668,0.000911,0.000911,0.000911
57,659.983,0.96907,0.63996,1.0397,1,0.91809,0.92991,0.65947,1.14172,0.80808,1.19658,0.0008912,0.0008912,0.0008912
58,675.466,0.92203,0.57016,1.04482,0.99176,0.84615,0.93953,0.67536,1.06998,0.73436,1.16163,0.0008714,0.0008714,0.0008714
59,688.532,0.92064,0.66995,1.15617,0.99176,0.84615,0.93953,0.67536,1.06998,0.73436,1.16163,0.0008516,0.0008516,0.0008516
60,705.674,0.82268,0.55822,1.02169,0.98643,0.84615,0.97238,0.68994,1.09101,0.64092,1.13645,0.0008318,0.0008318,0.0008318
61,719.325,0.78453,0.53111,1.0503,0.92811,0.99353,0.99,0.68499,1.11447,0.60823,1.12179,0.000812,0.000812,0.000812
62,733.477,0.93005,0.61684,1.00724,0.91812,1,0.99,0.68538,1.08608,0.57485,1.11567,0.0007922,0.0007922,0.0007922
63,746.003,0.86847,0.55313,0.98098,0.91812,1,0.99,0.68538,1.08608,0.57485,1.11567,0.0007724,0.0007724,0.0007724
64,763.727,0.87205,0.65054,1.08235,0.99255,0.92308,0.99,0.67276,1.06506,0.55346,1.10304,0.0007526,0.0007526,0.0007526
65,777.999,0.91088,0.62603,1.15037,0.98931,0.92308,0.98567,0.68705,1.08195,0.53232,1.10607,0.0007328,0.0007328,0.0007328
66,793.432,0.94019,0.58171,1.10853,0.98852,0.92308,0.99,0.68569,1.07676,0.55644,1.12287,0.000713,0.000713,0.000713
67,806.807,0.80664,0.55149,1.07258,0.98852,0.92308,0.99,0.68569,1.07676,0.55644,1.12287,0.0006932,0.0006932,0.0006932
68,819.326,0.85384,0.52616,1.0622,0.91144,1,0.99,0.70075,1.07276,0.56841,1.1111,0.0006734,0.0006734,0.0006734
69,830.415,0.83707,0.6208,1.05221,0.99606,1,0.995,0.67962,1.10548,0.59002,1.07811,0.0006536,0.0006536,0.0006536
70,843.97,0.83855,0.58765,0.99178,0.92776,0.98859,0.98429,0.6369,1.15038,0.62567,1.07192,0.0006338,0.0006338,0.0006338
71,860.263,0.95329,0.69014,1.04536,0.92776,0.98859,0.98429,0.6369,1.15038,0.62567,1.07192,0.000614,0.000614,0.000614
72,877.049,1.03886,0.65549,1.13276,0.92727,0.98183,0.99,0.64345,1.13091,0.632,1.07006,0.0005942,0.0005942,0.0005942
73,889.506,0.8955,0.59488,1.03019,0.92617,0.96637,0.99,0.6835,1.0676,0.61176,1.07883,0.0005744,0.0005744,0.0005744
74,903.3,0.81675,0.53704,1.03498,0.94425,1,0.995,0.70879,1.03315,0.56958,1.10138,0.0005546,0.0005546,0.0005546
75,913.796,0.7476,0.5754,1.00233,0.94425,1,0.995,0.70879,1.03315,0.56958,1.10138,0.0005348,0.0005348,0.0005348
76,926.549,0.86555,0.56872,1.04142,1,0.98239,0.995,0.72899,1.02651,0.52407,1.10639,0.000515,0.000515,0.000515
77,943.288,0.8654,0.54051,1.02506,0.98146,0.92308,0.98567,0.73176,1.01262,0.519,1.09234,0.0004952,0.0004952,0.0004952
78,955.687,0.72841,0.48189,0.97018,0.98746,0.92308,0.98567,0.72326,0.97823,0.51605,1.06757,0.0004754,0.0004754,0.0004754
79,967.939,0.80703,0.5055,1.01545,0.98746,0.92308,0.98567,0.72326,0.97823,0.51605,1.06757,0.0004556,0.0004556,0.0004556
80,981.143,0.71362,0.49667,0.9865,0.98771,0.92308,0.99,0.73614,0.96767,0.51956,1.05854,0.0004358,0.0004358,0.0004358
81,995.108,0.86653,0.6303,1.13674,0.92793,0.99096,0.99,0.74504,0.96273,0.51697,1.05059,0.000416,0.000416,0.000416
82,1007.78,0.70587,0.46216,0.91475,0.92795,0.99124,0.99,0.72918,0.96318,0.51815,1.04466,0.0003962,0.0003962,0.0003962
83,1016.9,0.74657,0.54741,1.01907,0.92795,0.99124,0.99,0.72918,0.96318,0.51815,1.04466,0.0003764,0.0003764,0.0003764
84,1028.52,0.69038,0.46033,0.93362,0.97863,0.92308,0.98567,0.73244,0.9807,0.5177,1.05613,0.0003566,0.0003566,0.0003566
85,1040.48,0.72679,0.45824,0.98687,0.98695,0.92308,0.97556,0.74025,1.01254,0.53116,1.07109,0.0003368,0.0003368,0.0003368
86,1054.01,0.81638,0.50763,0.97999,1,0.9042,0.9575,0.71385,1.04411,0.5515,1.08065,0.000317,0.000317,0.000317
87,1067.2,0.73396,0.48655,1.01602,1,0.9042,0.9575,0.71385,1.04411,0.5515,1.08065,0.0002972,0.0002972,0.0002972
88,1083.99,0.77212,0.4759,1.0045,0.91818,0.92308,0.94561,0.70395,1.04934,0.56005,1.08504,0.0002774,0.0002774,0.0002774
89,1098.06,0.8651,0.56688,1.03433,0.91847,0.92308,0.92776,0.69846,1.04116,0.56358,1.07992,0.0002576,0.0002576,0.0002576
90,1110.71,0.72072,0.49937,0.95618,0.91831,0.92308,0.92758,0.71418,1.02608,0.5648,1.07045,0.0002378,0.0002378,0.0002378
91,1123.48,0.63411,0.44949,0.93923,0.91831,0.92308,0.92758,0.71418,1.02608,0.5648,1.07045,0.000218,0.000218,0.000218
92,1138.87,0.64537,0.44225,0.95113,1,0.9044,0.9324,0.7134,1.01202,0.55163,1.06535,0.0001982,0.0001982,0.0001982
93,1150.78,0.69066,0.43518,0.97382,1,0.89936,0.93205,0.71303,1.00827,0.55711,1.06428,0.0001784,0.0001784,0.0001784
94,1162.24,0.61112,0.42372,0.92925,0.91625,0.92308,0.92527,0.71644,1.00877,0.57055,1.06093,0.0001586,0.0001586,0.0001586
95,1173.94,0.65116,0.44148,0.96561,0.91625,0.92308,0.92527,0.71644,1.00877,0.57055,1.06093,0.0001388,0.0001388,0.0001388
96,1184.49,0.67697,0.43425,0.95846,0.99399,0.92308,0.93067,0.72215,1.02417,0.6005,1.06708,0.000119,0.000119,0.000119
97,1195.14,0.69384,0.42668,0.98013,0.99379,0.92308,0.93098,0.72132,1.0463,0.63619,1.07431,9.92e-05,9.92e-05,9.92e-05
98,1208.68,0.57054,0.40441,0.95199,0.99346,0.92308,0.9309,0.70934,1.04818,0.6273,1.07554,7.94e-05,7.94e-05,7.94e-05
99,1219.69,0.62897,0.39629,0.92354,0.99346,0.92308,0.9309,0.70934,1.04818,0.6273,1.07554,5.96e-05,5.96e-05,5.96e-05
100,1232.73,0.65772,0.42621,0.91672,0.99304,0.92308,0.93075,0.70667,1.05278,0.62793,1.07796,3.98e-05,3.98e-05,3.98e-05
