epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0221,1.80646,4.47832,1.53444,0.84607,0.84615,0.86539,0.49188,1.36572,3.2237,1.0452,0.0001,0.0001,0.0001
2,18.4096,1.19332,2.49983,1.09795,1,0.84504,0.94038,0.5202,1.42045,2.07267,1.0206,0.000215644,0.000215644,0.000215644
3,27.0637,1.20467,2.13885,1.11934,0.54228,0.84615,0.70403,0.4277,1.25537,2.35026,0.98329,0.000326536,0.000326536,0.000326536
4,36.7958,1.19592,1.69887,1.07515,0.82411,0.69231,0.84686,0.45324,1.35015,2.12158,1.03738,0.000432676,0.000432676,0.000432676
5,47.2178,1.01478,1.32976,1.08872,0.78934,0.61538,0.59496,0.36843,1.44964,1.61603,1.28013,0.000534064,0.000534064,0.000534064
6,57.8284,1.13964,1.24471,1.15225,0.97225,0.76923,0.84536,0.59592,1.07277,1.65399,1.10799,0.0006307,0.0006307,0.0006307
7,67.0264,1.12739,1.51307,1.21496,0.82806,0.84615,0.82704,0.57603,0.95505,1.46276,1.16194,0.000722584,0.000722584,0.000722584
8,76.0593,1.12751,1.26448,1.22147,0.96562,0.84615,0.84829,0.59331,1.01257,1.05294,1.1251,0.000809716,0.000809716,0.000809716
9,85.9559,1.13998,1.28224,1.21406,0.84139,0.84615,0.79816,0.48337,1.2262,1.36952,1.17026,0.000892096,0.000892096,0.000892096
10,94.8222,1.22118,1.40391,1.39763,0.62954,0.46154,0.44094,0.18584,1.67069,3.20357,1.77293,0.000969724,0.000969724,0.000969724
11,106.332,1.29683,1.27949,1.37744,0.93791,0.46154,0.51129,0.23842,1.6348,2.44022,1.66422,0.0010426,0.0010426,0.0010426
12,117.291,1.12852,1.08108,1.12642,0.51179,0.61538,0.52048,0.33183,1.22224,1.94049,1.30106,0.00111072,0.00111072,0.00111072
13,129.325,1.06772,1.08308,1.1075,0.81437,0.6762,0.5811,0.33879,1.22624,2.0696,1.30191,0.0011741,0.0011741,0.0011741
14,139.251,1.17911,1.40894,1.29686,0.88805,0.61075,0.65203,0.38704,1.46801,1.71028,1.52191,0.00123272,0.00123272,0.00123272
15,145.907,1.10373,0.99963,1.15145,0.88805,0.61075,0.65203,0.38704,1.46801,1.71028,1.52191,0.00128658,0.00128658,0.00128658
16,157.2,0.967,1.00552,1.06425,0.0561,0.61538,0.05095,0.02952,1.57253,20.5865,1.35854,0.0013357,0.0013357,0.0013357
17,168.522,1.0888,0.99421,1.08959,0.89693,0.67102,0.80459,0.38159,1.66255,1.56167,1.54751,0.0013664,0.0013664,0.0013664
18,181.229,0.95518,0.7503,1.09511,0.98497,0.38462,0.51466,0.2774,1.63244,2.07237,1.5171,0.0013268,0.0013268,0.0013268
19,188.402,1.1223,0.96031,1.10676,0.98497,0.38462,0.51466,0.2774,1.63244,2.07237,1.5171,0.0012872,0.0012872,0.0012872
20,198.471,1.1265,1.14473,1.17456,0.86191,0.48206,0.60939,0.28631,1.77156,2.63773,1.7402,0.0012476,0.0012476,0.0012476
21,209.96,1.20305,1.0496,1.2216,0.92286,1,0.98429,0.60354,1.47721,1.16831,1.37652,0.001208,0.001208,0.001208
22,220.212,1.35826,1.03832,1.36808,1,0.83716,0.93436,0.62104,1.29078,1.55988,1.34638,0.0011684,0.0011684,0.0011684
23,226.97,1.10468,0.94532,1.1356,1,0.83716,0.93436,0.62104,1.29078,1.55988,1.34638,0.0011288,0.0011288,0.0011288
24,238.345,1.23107,1.13687,1.34616,0.97812,0.84615,0.975,0.7119,1.22106,1.2204,1.26107,0.0010892,0.0010892,0.0010892
25,247.668,1.24471,1.01859,1.34715,0.98507,0.92308,0.95533,0.66438,1.17307,1.14634,1.18229,0.0010496,0.0010496,0.0010496
26,258.248,1.0563,0.81798,1.11031,0.90598,0.84615,0.85403,0.53823,1.32184,1.29911,1.32178,0.00101,0.00101,0.00101
27,266.168,1.10043,0.86875,1.29476,0.91473,0.92308,0.92994,0.60331,1.32184,1.29911,1.32178,0.0009704,0.0009704,0.0009704
28,277.528,1.04503,0.80528,1.18702,0.90903,0.84615,0.8863,0.54701,1.27447,1.00014,1.26037,0.0009308,0.0009308,0.0009308
29,288.24,1.01832,0.78374,1.14799,0.86444,0.98198,0.95567,0.64238,1.19845,0.84736,1.20881,0.0008912,0.0008912,0.0008912
30,300.401,1.03797,0.78928,1.16553,0.92059,0.92308,0.97572,0.71575,1.16292,0.80379,1.17253,0.0008516,0.0008516,0.0008516
31,308.164,1.03097,0.81075,1.3241,0.92059,0.92308,0.97572,0.71575,1.16292,0.80379,1.17253,0.000812,0.000812,0.000812
32,318.947,1.10489,0.79015,1.20231,0.98404,0.92308,0.98188,0.72031,1.15464,0.74632,1.15828,0.0007724,0.0007724,0.0007724
33,329.619,0.9196,0.64516,1.09632,0.99211,0.92308,0.99,0.70391,1.14824,0.68446,1.12309,0.0007328,0.0007328,0.0007328
34,338.948,1.03166,0.6931,1.13568,0.99423,0.92308,0.96457,0.70904,1.13403,0.71725,1.11931,0.0006932,0.0006932,0.0006932
35,345.966,0.97617,0.63583,1.10985,0.99423,0.92308,0.96457,0.70904,1.13403,0.71725,1.11931,0.0006536,0.0006536,0.0006536
36,355.762,0.85766,0.59463,1.06897,0.99267,0.92308,0.93992,0.67277,1.16595,0.80192,1.13896,0.000614,0.000614,0.000614
37,364.844,0.9228,0.72445,1.13251,0.9854,0.92308,0.92598,0.67923,1.06682,0.79509,1.11784,0.0005744,0.0005744,0.0005744
38,373.83,1.12448,0.71921,1.38993,0.99519,0.92308,0.92615,0.71235,1.02847,0.77561,1.12139,0.0005348,0.0005348,0.0005348
39,380.555,0.89473,0.6146,1.14821,0.99519,0.92308,0.92615,0.71235,1.02847,0.77561,1.12139,0.0004952,0.0004952,0.0004952
40,391.471,0.8607,0.61608,1.11551,1,0.91503,0.92616,0.72503,1.00298,0.77925,1.12527,0.0004556,0.0004556,0.0004556
41,402.387,0.7734,0.56407,1.04332,0.98688,0.84615,0.92004,0.70696,1.00082,0.79937,1.11104,0.000416,0.000416,0.000416
42,415.498,0.76016,0.5488,1.02651,0.91316,0.92308,0.92018,0.68879,1.0935,0.82274,1.13984,0.0003764,0.0003764,0.0003764
43,425.143,0.74705,0.49302,1.01121,0.91316,0.92308,0.92018,0.68879,1.0935,0.82274,1.13984,0.0003368,0.0003368,0.0003368
44,436.347,0.73117,0.48589,0.99698,1,0.91627,0.92659,0.68539,1.09475,0.75575,1.1343,0.0002972,0.0002972,0.0002972
45,447.827,0.72816,0.52184,1.00834,1,0.92044,0.92691,0.69412,1.09418,0.71376,1.13144,0.0002576,0.0002576,0.0002576
46,459.118,0.80366,0.5096,1.01978,1,0.91909,0.92732,0.68996,1.10133,0.70079,1.12747,0.000218,0.000218,0.000218
47,468.051,0.80968,0.50503,1.04619,1,0.91909,0.92732,0.68996,1.10133,0.70079,1.12747,0.0001784,0.0001784,0.0001784
48,480.212,0.73817,0.49518,1.01766,0.91463,0.92308,0.92174,0.7018,1.10068,0.69719,1.12486,0.0001388,0.0001388,0.0001388
49,490.583,0.69348,0.49312,1.01324,0.92086,0.92308,0.9224,0.70353,1.08692,0.72104,1.11916,9.92e-05,9.92e-05,9.92e-05
50,501.169,0.70926,0.48058,1.00168,1,0.91712,0.92912,0.71997,1.07262,0.72823,1.11154,5.96e-05,5.96e-05,5.96e-05
