epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5137,1.78719,4.34931,1.36262,0.008,0.92308,0.15571,0.07285,1.36478,3.35217,1.08958,0.0811,0.0021,0.0021
2,28.9586,1.34216,4.33999,1.19394,0.008,0.92308,0.19063,0.11331,1.46838,3.49528,1.11039,0.0611581,0.0041581,0.0041581
3,39.7164,1.36771,3.95992,1.16379,0.008,0.92308,0.21898,0.10337,1.33393,3.32753,1.03733,0.041071,0.006071,0.006071
4,47.8913,1.26882,3.71251,1.0777,0.008,0.92308,0.39093,0.23178,1.09169,3.1467,0.88758,0.0208387,0.0078387,0.0078387
5,55.9462,1.32499,4.64737,1.07044,0.008,0.92308,0.39093,0.23178,1.09169,3.1467,0.88758,0.00868,0.00868,0.00868
6,66.4119,1.17948,3.92517,1.00314,1,0.37789,0.68091,0.34169,1.29916,2.77853,0.90504,0.00835,0.00835,0.00835
7,75.6307,1.4609,2.92117,1.1776,0.55552,0.53846,0.59012,0.32485,1.19051,2.25557,0.81777,0.00802,0.00802,0.00802
8,84.8175,1.24862,3.99318,1.05282,0.83963,0.61538,0.7124,0.30738,1.03102,2.53115,0.76198,0.00769,0.00769,0.00769
9,94.8009,1.33379,2.84709,1.08559,0.83963,0.61538,0.7124,0.30738,1.03102,2.53115,0.76198,0.00736,0.00736,0.00736
10,104.69,1.07381,3.72383,0.91172,0.90414,0.92308,0.97238,0.54394,1.02239,1.6088,0.76521,0.00703,0.00703,0.00703
11,116.556,1.1631,2.9637,1.04771,0.90505,0.76923,0.87619,0.53797,1.07692,1.70815,0.83069,0.0067,0.0067,0.0067
12,125.415,1.26495,2.64983,1.0719,0.90505,0.76923,0.87619,0.53797,1.07692,1.70815,0.83069,0.00637,0.00637,0.00637
13,136.277,1.19516,1.97313,1.03949,0.98376,0.84615,0.90077,0.5813,1.10811,1.72298,0.84712,0.00604,0.00604,0.00604
14,146.369,1.1605,2.26113,1.09238,0.98492,0.84615,0.9251,0.585,1.01927,2.15634,0.82504,0.00571,0.00571,0.00571
15,158.093,1.05074,2.27381,0.99219,0.98492,0.84615,0.9251,0.585,1.01927,2.15634,0.82504,0.00538,0.00538,0.00538
16,168.581,1.1732,2.33238,1.07603,0.98908,0.84615,0.92867,0.58799,1.02839,1.48064,0.83311,0.00505,0.00505,0.00505
17,182.703,1.18082,2.65107,1.05504,0.96879,0.84615,0.93344,0.68877,0.93396,1.50472,0.8239,0.00472,0.00472,0.00472
18,194.162,1.10429,1.90948,1.04543,0.96879,0.84615,0.93344,0.68877,0.93396,1.50472,0.8239,0.00439,0.00439,0.00439
19,204.003,0.9649,2.36871,1.01763,1,0.84604,0.94918,0.67433,0.99459,1.40238,0.83541,0.00406,0.00406,0.00406
20,214.158,1.20372,2.02203,1.12933,0.99742,0.84615,0.95023,0.64978,1.00059,1.37148,0.83735,0.00373,0.00373,0.00373
21,225.033,0.90566,2.14204,0.93423,0.99742,0.84615,0.95023,0.64978,1.00059,1.37148,0.83735,0.0034,0.0034,0.0034
22,235.062,0.89609,2.19585,0.91982,0.99582,0.84615,0.94293,0.67385,1.02256,1.38013,0.85646,0.00307,0.00307,0.00307
23,245.661,0.87351,2.25602,0.87617,1,0.90927,0.95028,0.65545,1.05112,1.3575,0.87075,0.00274,0.00274,0.00274
